Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 200 | 1 - S235;;;;;;;;;;;
1;26;3;0.0000000000000000;L | M;;-6.67;-1.94;40.38;0.00;-23.29;-1.62;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.4444444444444444;E;;-6.64;-1.55;33.22;0.00;-6.89;-1.46;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.8888888888888888;E;;-6.68;-1.16;25.32;0.00;6.16;-1.31;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.3333333333333333;R | E;;-6.75;-0.77;16.67;0.00;15.52;-1.15;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.7777777777777777;E;;-6.80;-0.38;7.27;0.00;20.87;-0.98;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.0000000000000000;E;;-6.81;-0.18;2.29;0.00;21.94;-0.90;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.2222222222222223;E;;-6.81;0.01;-2.88;0.00;21.87;-0.82;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.6666666666666665;R | E;;-6.77;0.41;-13.76;0.00;18.20;-0.66;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.1111111111111116;E;;-6.70;0.81;-25.38;0.00;9.52;-0.50;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.5555555555555562;E;;-6.64;1.21;-37.73;-0.01;-4.49;-0.34;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;;-6.65;1.61;-50.81;-0.01;-24.15;-0.19;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;;-9.05;0.04;42.53;-0.07;-26.48;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.4444444444444444;E;;-9.01;-0.04;35.38;-0.07;-9.13;0.09;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.8888888888888888;E;;-9.05;-0.12;27.47;-0.07;4.86;0.11;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.3333333333333333;R | E;;-9.12;-0.19;18.80;-0.06;15.17;0.14;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.7777777777777777;E;;-9.18;-0.27;9.39;-0.06;21.47;0.16;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.0000000000000000;E;;-9.19;-0.31;4.41;-0.06;23.00;0.17;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;;-9.20;-0.35;-0.76;-0.06;23.41;0.18;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.6666666666666665;R | E;;-9.17;-0.43;-11.66;-0.06;20.67;0.21;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.1111111111111116;E;;-9.10;-0.51;-23.29;-0.06;12.93;0.23;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.5555555555555562;E;;-9.01;-0.59;-35.66;-0.05;-0.14;0.25;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;24;4.0000000000000000;L | M;;-8.99;-0.67;-48.74;-0.05;-18.88;0.28;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;9;0.0000000000000000;L | M;;-9.73;0.02;40.29;0.00;-25.23;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.4444444444444444;E;;-9.69;0.01;33.14;0.00;-8.88;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.8888888888888888;E;;-9.72;0.01;25.23;0.00;4.12;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.3333333333333333;R | E;;-9.77;0.00;16.57;0.00;13.44;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.7777777777777777;E;;-9.82;0.00;7.16;0.00;18.74;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.0000000000000000;E;;-9.83;0.00;2.17;0.00;19.78;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.2222222222222223;E;;-9.83;0.00;-3.00;0.00;19.69;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.6666666666666665;R | E;;-9.80;-0.01;-13.89;0.00;15.97;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.1111111111111116;E;;-9.74;-0.01;-25.52;0.00;7.24;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.5555555555555562;E;;-9.69;-0.02;-37.88;0.00;-6.83;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;27;4.0000000000000000;L | M;;-9.74;-0.02;-50.96;0.00;-26.54;0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;12;0.0000000000000000;L | M;;-9.74;-0.01;40.29;0.00;-25.23;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.4444444444444444;E;;-9.70;-0.01;33.14;0.00;-8.88;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.8888888888888888;E;;-9.72;-0.01;25.23;0.00;4.12;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.3333333333333333;R | E;;-9.78;0.00;16.57;0.00;13.44;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.7777777777777777;E;;-9.83;0.00;7.16;0.00;18.74;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.0000000000000000;E;;-9.84;0.00;2.17;0.00;19.78;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;;-9.84;0.00;-3.00;0.00;19.69;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.6666666666666665;R | E;;-9.81;0.01;-13.89;0.00;15.96;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.1111111111111116;E;;-9.75;0.01;-25.52;0.00;7.23;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.5555555555555562;E;;-9.70;0.01;-37.88;0.00;-6.83;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;15;0.0000000000000000;L | M;;-9.71;-0.04;40.29;0.00;-25.22;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.4444444444444444;E;;-9.67;-0.03;33.14;0.00;-8.87;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.8888888888888888;E;;-9.70;-0.02;25.23;0.00;4.13;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.3333333333333333;R | E;;-9.75;-0.01;16.57;0.00;13.45;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.7777777777777777;E;;-9.80;0.00;7.16;0.00;18.75;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.0000000000000000;E;;-9.81;0.01;2.17;0.00;19.79;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.2222222222222223;E;;-9.81;0.01;-3.00;0.00;19.70;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.6666666666666665;R | E;;-9.78;0.02;-13.89;0.00;15.97;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.1111111111111116;E;;-9.72;0.03;-25.52;0.00;7.24;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.5555555555555562;E;;-9.67;0.04;-37.88;0.00;-6.82;-0.02;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;33;4.0000000000000000;L | M;;-9.71;0.05;-50.96;0.00;-26.54;-0.03;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;18;0.0000000000000000;L | M;;-9.53;1.30;40.38;-0.01;-25.27;0.24;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.4444444444444444;E;;-9.49;0.87;33.23;-0.01;-8.87;0.42;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.8888888888888888;E;;-9.52;0.45;25.33;-0.01;4.19;0.59;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.3333333333333333;R | E;;-9.58;0.02;16.68;-0.01;13.56;0.78;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.7777777777777777;E;;-9.62;-0.40;7.28;-0.01;18.91;0.96;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.0000000000000000;E;;-9.63;-0.61;2.30;-0.01;19.98;1.05;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.2222222222222223;E;;-9.63;-0.82;-2.87;-0.01;19.92;1.15;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.6666666666666665;R | E;;-9.60;-1.23;-13.75;-0.01;16.25;1.33;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.1111111111111116;E;;-9.54;-1.65;-25.37;-0.01;7.57;1.51;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.5555555555555562;E;;-9.49;-2.06;-37.72;-0.01;-6.44;1.69;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Extremes;26;;3.5555555555555562;E;N;-6.64;1.21;-37.73;-0.01;-4.49;-0.34;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;N;-9.84;0.00;-3.00;0.00;19.69;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;L | M;V_y;-6.65;1.61;-50.81;-0.01;-24.15;-0.19;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;V_y;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;V_z;-9.05;0.04;42.53;-0.07;-26.48;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;V_z;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_T;-6.67;-1.94;40.38;0.00;-23.29;-1.62;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;L | M;M_T;-9.05;0.04;42.53;-0.07;-26.48;0.06;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;M_y;-9.20;-0.35;-0.76;-0.06;23.41;0.18;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;L | M;M_y;-9.74;0.02;-50.96;0.00;-26.55;-0.01;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;L | M;M_z;-9.53;-2.47;-50.79;-0.01;-26.11;1.87;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;L | M;M_z;-6.67;-1.94;40.38;0.00;-23.29;-1.62;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Total;;;;;;-6.64;1.61;42.53;0.00;23.41;1.87;
1;;;;;;-9.84;-2.47;-50.96;-0.07;-26.55;-1.62;
;;;;;;;;;;;;
2;R_M1 500/1000 | 2 - C20/25;;;;;;;;;;;
2;25;2;0.0000000000000000;L | M;;-6.34;-41.61;46.53;53.64;-48.66;5.34;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.4444444444444444;E;;-18.48;-10.59;47.87;28.05;-22.76;12.24;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;-19.99;-6.72;48.04;24.85;-19.52;13.10;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
