Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.0000000000000000;L | M;;483.9;-483.9;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;;483.9;-483.9;0.0;0.0;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;;483.9;-483.9;0.0;0.1;0.0;-0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;;484.0;-484.0;0.1;0.2;0.0;-0.3;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;;484.0;-484.0;0.2;0.3;0.0;-0.3;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;;484.0;-484.0;0.2;0.4;0.0;-0.2;0.2;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;;484.0;-484.0;0.3;0.5;0.0;-0.1;0.3;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;;484.0;-484.0;0.4;0.5;0.0;0.1;0.3;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;;484.1;-484.1;0.6;0.4;0.0;0.4;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;;484.1;-484.1;0.7;0.2;0.0;0.6;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;;484.1;-484.1;0.9;-0.1;0.0;1.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;1;0.0000000000000000;L | M;u_x;483.9;-483.9;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_x;484.1;-484.1;0.9;-0.1;0.0;1.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_y;484.1;-484.1;0.9;-0.1;0.0;1.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;u_y;483.9;-483.9;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;u_z;484.0;-484.0;0.3;0.5;0.0;-0.1;0.3;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_z;484.1;-484.1;0.9;-0.1;0.0;1.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;φ_x;484.1;-484.1;0.9;-0.1;0.0;1.0;0.4;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
