Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;483.9;0.0;0.0;483.9;0.0;0.0;0.0;concrete part
2;484.1;-0.1;0.9;484.1;0.4;1.0;0.0;concrete top + steel bottom
3;484.9;-9.1;-1.4;484.8;3.4;-39.4;-0.1;steel top
4;480.5;0.0;0.0;480.5;0.0;0.0;0.0;concrete part
5;480.7;0.0;0.9;480.7;0.6;0.8;0.0;concrete top + steel bottom
6;481.0;-3.4;4.7;480.9;3.4;0.9;3.4;steel top
7;478.5;0.0;0.0;478.5;0.0;0.0;0.0;concrete part
8;478.7;0.0;0.9;478.7;0.6;0.3;0.0;concrete top + steel bottom
9;478.9;-1.4;2.6;478.9;2.5;0.4;0.0;steel top
10;478.4;0.0;0.0;478.4;0.0;0.0;0.0;concrete part
11;478.6;0.0;0.9;478.6;0.6;-0.3;0.0;concrete top + steel bottom
12;478.8;1.2;2.5;478.8;2.5;-0.3;0.0;steel top
13;480.3;0.0;0.0;480.3;0.0;0.0;0.0;concrete part
14;480.5;0.0;0.9;480.5;0.6;-0.8;0.0;concrete top + steel bottom
15;480.8;3.5;2.5;480.8;2.5;-0.9;0.0;steel top
16;483.7;0.0;0.0;483.7;0.0;0.0;0.0;concrete part
17;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;concrete top + steel bottom
18;484.7;-9.4;2.4;484.6;2.6;41.8;0.3;steel top
19;485.6;0.0;0.0;485.6;0.0;0.0;0.0;concrete part
20;485.8;-0.1;0.9;485.8;0.4;0.9;0.0;concrete top + steel bottom
21;486.5;-2.9;-1.4;486.4;-3.1;-38.5;0.2;steel top
22;482.7;0.0;0.0;482.7;0.0;0.0;0.0;concrete part
23;482.9;0.0;0.9;482.9;0.4;0.7;0.0;concrete top + steel bottom
24;483.6;-17.8;4.6;483.3;-4.2;14.0;3.7;steel top
25;480.6;0.0;0.0;480.6;0.0;0.0;0.0;concrete part
26;480.8;0.0;0.9;480.8;0.4;0.3;0.0;concrete top + steel bottom
27;481.1;-1.6;2.5;481.0;-1.9;0.4;0.0;steel top
28;480.4;0.0;0.0;480.4;0.0;0.0;0.0;concrete part
29;480.6;0.0;0.9;480.6;0.4;-0.3;0.0;concrete top + steel bottom
30;480.9;1.2;2.5;480.9;-1.9;-0.3;0.0;steel top
31;482.3;0.0;0.0;482.3;0.0;0.0;0.0;concrete part
32;482.5;0.0;0.9;482.5;0.4;-0.8;0.0;concrete top + steel bottom
33;482.8;3.6;2.4;482.8;-1.9;-0.9;0.0;steel top
34;485.7;0.0;0.0;485.7;0.0;0.0;0.0;concrete part
35;485.9;0.1;0.9;485.9;0.5;-1.0;0.0;concrete top + steel bottom
36;486.6;-3.2;2.3;486.6;-2.1;41.0;0.2;steel top
37;483.5;0.0;0.9;483.5;0.5;1.1;0.0;opening node
38;484.0;0.0;0.9;484.0;0.5;1.1;0.0;opening node
39;482.9;0.0;0.9;482.9;0.5;1.0;0.0;opening node
40;482.3;0.0;0.9;482.3;0.6;1.1;0.0;opening node
Total;486.6;3.6;4.7;486.6;3.4;41.8;3.7;
max/min;478.4;-17.8;-1.4;478.4;-4.2;-39.4;-0.1;
