Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;;65.29;2.79;483.90;24.12;-74.70;-1.16;concrete part
4;;51.28;-10.36;480.50;9.09;-59.14;-0.19;concrete part
7;;20.82;-10.51;478.49;9.11;-24.00;-0.05;concrete part
10;;-17.69;-9.32;478.39;10.60;20.47;0.13;concrete part
13;;-51.88;-7.89;480.34;12.31;59.95;0.28;concrete part
16;;-63.35;-1.04;483.67;20.45;72.65;1.18;concrete part
19;;58.43;6.29;485.59;27.97;-66.43;1.33;concrete part
22;;48.08;3.11;482.67;24.83;-55.15;0.32;concrete part
25;;21.94;7.17;480.59;29.71;-25.13;0.17;concrete part
28;;-17.05;8.70;480.43;31.60;19.84;-0.06;concrete part
31;;-51.57;8.69;482.33;31.66;59.64;-0.25;concrete part
34;;-64.31;2.38;485.65;24.19;73.76;-1.20;concrete part
;;;;;;;;
;Total max/min values with corresponding values;;;;;;;
1;P_x;65.29;2.79;483.90;24.12;-74.70;-1.16;concrete part
34;P_x;-64.31;2.38;485.65;24.19;73.76;-1.20;concrete part
28;P_y;-17.05;8.70;480.43;31.60;19.84;-0.06;concrete part
7;P_y;20.82;-10.51;478.49;9.11;-24.00;-0.05;concrete part
34;P_z;-64.31;2.38;485.65;24.19;73.76;-1.20;concrete part
10;P_z;-17.69;-9.32;478.39;10.60;20.47;0.13;concrete part
31;M_x;-51.57;8.69;482.33;31.66;59.64;-0.25;concrete part
4;M_x;51.28;-10.36;480.50;9.09;-59.14;-0.19;concrete part
34;M_y;-64.31;2.38;485.65;24.19;73.76;-1.20;concrete part
1;M_y;65.29;2.79;483.90;24.12;-74.70;-1.16;concrete part
19;M_z;58.43;6.29;485.59;27.97;-66.43;1.33;concrete part
34;M_z;-64.31;2.38;485.65;24.19;73.76;-1.20;concrete part
;;;;;;;;
;Sum of loads and the sum of support forces;;;;;;;
;;P_X [kN];P_Y [kN];P_Z [kN];;;;
Σ;;0.00;0.00;5782.54;Loads;;;
Σ;;0.00;0.00;5782.54;Support Forces;;;
