Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;1;0.000;0.000;-3.600;;109.642;0.044;12.922;-202.317;50.203;593.945;174.976;168.348;
1;2;0.500;0.000;-3.600;;57.650;1.165;-8.947;-176.354;-27.919;376.466;18.571;44.432;
1;3;1.000;0.000;-3.600;;18.800;2.043;-11.379;-164.183;-2.949;222.187;0.379;4.087;
1;4;1.500;0.000;-3.600;;-11.247;-1.809;-12.558;-173.568;2.968;129.205;4.175;14.157;
1;5;2.000;0.000;-3.600;;-49.601;2.255;-14.800;-188.102;8.493;54.275;-2.530;3.567;
1;6;2.500;0.000;-3.600;;-116.016;2.078;-8.464;-254.228;-1.819;-6.866;-9.411;5.739;
1;7;3.000;0.000;-3.600;;-102.108;-39.055;31.969;-225.158;170.916;74.409;10.084;45.729;
1;8;3.500;0.000;-3.600;;-10.180;1.514;-2.511;-50.537;-64.718;138.764;4.560;14.248;
1;9;4.000;0.000;-3.600;;-28.382;1.927;-1.767;-39.006;11.772;98.245;-0.081;-0.120;
1;10;4.500;0.000;-3.600;;-41.571;0.328;-3.545;-52.494;3.930;80.423;-1.270;-0.074;
1;11;5.000;0.000;-3.600;;-59.334;3.160;-4.839;-68.481;-0.522;68.519;-0.941;0.135;
1;12;5.500;0.000;-3.600;;-100.283;1.366;0.191;-109.908;-19.279;53.896;-4.204;4.204;
1;13;6.000;0.000;-3.600;;-118.587;-38.103;16.770;-73.513;179.905;88.900;12.704;18.781;
1;14;6.500;0.000;-3.600;;-62.624;-0.687;1.019;24.834;-48.464;109.928;1.125;6.637;
1;15;7.000;0.000;-3.600;;-57.723;2.499;2.316;16.922;6.667;93.864;-0.272;-0.185;
1;16;7.500;0.000;-3.600;;-57.283;0.322;0.672;3.556;4.011;90.250;-1.260;-0.002;
1;17;8.000;0.000;-3.600;;-59.973;2.615;-0.840;-9.903;6.194;93.284;-0.309;0.190;
1;18;8.500;0.000;-3.600;;-68.031;-0.535;0.582;-19.972;-46.416;107.802;0.601;-5.920;
1;19;9.000;0.000;-3.600;;-123.411;-37.934;-13.222;72.781;180.228;92.547;14.239;-15.786;
1;20;9.500;0.000;-3.600;;-104.182;1.143;1.162;112.581;-21.716;60.907;-3.832;-3.182;
1;21;10.000;0.000;-3.600;;-65.817;3.100;5.827;73.671;0.213;72.642;-0.824;-0.166;
1;22;10.500;0.000;-3.600;;-49.026;0.277;4.251;57.321;4.351;82.904;-1.244;0.110;
1;23;11.000;0.000;-3.600;;-36.015;2.021;2.219;43.297;12.521;99.377;0.109;0.257;
1;24;11.500;0.000;-3.600;;-15.697;0.597;2.963;54.750;-65.629;139.711;4.782;-14.654;
1;25;12.000;0.000;-3.600;;-101.921;-39.591;-35.133;217.616;176.033;77.673;11.893;-47.594;
1;26;12.500;0.000;-3.600;;-112.026;2.661;4.038;225.320;6.926;10.480;-9.406;-12.858;
1;27;13.000;0.000;-3.600;;-40.352;2.508;12.601;153.133;-5.472;61.222;-2.732;-0.472;
1;28;13.500;0.000;-3.600;;-7.220;-0.164;8.447;134.574;4.327;106.559;-3.070;-0.944;
1;29;14.000;0.000;-3.600;;18.911;2.013;8.216;117.860;10.864;176.363;2.246;-2.954;
1;30;14.500;0.000;-3.600;;60.790;-0.001;2.763;130.470;-35.865;319.784;22.589;-49.918;
1;31;15.000;0.000;-3.600;;107.944;-1.105;-25.697;166.465;52.883;537.983;157.049;-151.957;
1;32;0.000;0.500;-3.600;;59.809;11.499;1.549;-5.108;51.357;-10.338;6.869;45.598;
1;33;0.500;0.500;-3.600;;42.635;6.367;-13.038;-25.213;-30.020;79.252;32.490;62.933;
1;34;1.000;0.500;-3.600;;18.486;4.610;-19.366;-47.501;18.999;119.389;-8.394;59.777;
1;35;1.500;0.500;-3.600;;-15.530;2.230;-19.126;-55.562;-4.402;101.412;0.517;59.603;
1;36;2.000;0.500;-3.600;;-51.275;1.365;-21.110;-54.182;-17.574;83.772;26.103;36.606;
1;37;2.500;0.500;-3.600;;-84.697;-4.468;-13.205;-62.533;47.783;83.601;-7.255;23.322;
1;38;3.000;0.500;-3.600;;-75.097;-8.378;16.565;-19.154;107.211;79.021;9.685;19.021;
1;39;3.500;0.500;-3.600;;-23.758;5.773;2.743;4.710;-31.332;83.224;10.404;21.567;
1;40;4.000;0.500;-3.600;;-30.913;4.582;-0.750;-15.237;4.043;88.977;5.143;16.053;
1;41;4.500;0.500;-3.600;;-42.509;4.411;-3.715;-22.454;5.375;83.246;2.365;9.732;
1;42;5.000;0.500;-3.600;;-59.149;3.310;-4.110;-37.571;6.435;79.180;0.740;7.657;
1;43;5.500;0.500;-3.600;;-84.079;-1.497;-1.620;-57.737;14.414;80.332;-0.645;6.436;
1;44;6.000;0.500;-3.600;;-96.994;-9.542;9.130;-10.051;116.285;82.734;8.966;6.141;
1;45;6.500;0.500;-3.600;;-65.409;1.674;4.535;27.475;-14.473;88.622;5.659;8.051;
1;46;7.000;0.500;-3.600;;-59.250;3.752;3.418;7.098;4.045;93.433;3.042;4.523;
1;47;7.500;0.500;-3.600;;-58.331;4.314;1.168;-2.208;4.380;92.989;2.239;0.085;
1;48;8.000;0.500;-3.600;;-61.349;3.701;-1.032;-11.671;4.022;93.612;2.891;-4.197;
1;49;8.500;0.500;-3.600;;-69.522;1.315;-2.161;-31.432;-13.159;89.607;5.283;-7.581;
1;50;9.000;0.500;-3.600;;-101.851;-9.700;-5.853;8.132;116.410;84.530;9.751;-5.477;
1;51;9.500;0.500;-3.600;;-89.320;-1.370;3.631;55.137;12.349;82.883;-0.081;-5.104;
1;52;10.000;0.500;-3.600;;-65.998;3.559;5.833;34.948;6.096;82.245;0.821;-6.403;
1;53;10.500;0.500;-3.600;;-50.378;4.802;5.019;21.122;4.980;85.662;2.187;-8.572;
1;54;11.000;0.500;-3.600;;-39.084;5.103;1.422;15.517;3.417;90.357;4.985;-14.830;
1;55;11.500;0.500;-3.600;;-30.974;6.104;-2.914;-2.593;-33.741;82.400;10.788;-20.463;
1;56;12.000;0.500;-3.600;;-80.067;-6.558;-19.372;27.691;111.309;72.415;10.021;-18.911;
1;57;12.500;0.500;-3.600;;-81.406;-2.601;6.123;79.965;41.022;68.540;-3.358;-24.834;
1;58;13.000;0.500;-3.600;;-41.394;4.899;12.229;60.699;8.791;68.499;2.740;-28.778;
1;59;13.500;0.500;-3.600;;-10.064;5.468;13.578;41.371;5.249;83.192;7.950;-36.385;
1;60;14.000;0.500;-3.600;;17.093;4.572;10.032;39.298;1.203;97.578;14.632;-56.111;
1;61;14.500;0.500;-3.600;;40.830;7.403;1.899;32.912;-34.907;69.678;24.598;-69.296;
1;62;15.000;0.500;-3.600;;59.096;14.641;-13.338;17.434;54.604;-5.374;-2.658;-52.547;
1;63;0.000;1.000;-3.600;;24.389;10.559;-4.910;14.927;42.053;-29.180;-29.999;4.495;
1;64;0.500;1.000;-3.600;;26.030;10.974;-12.325;4.097;-31.239;-21.342;45.215;33.960;
1;65;1.000;1.000;-3.600;;16.165;14.427;-17.538;-18.091;51.130;-9.105;0.255;33.796;
1;66;1.500;1.000;-3.600;;-21.556;4.899;-18.752;-47.418;-11.771;87.379;-0.389;39.907;
1;67;2.000;1.000;-3.600;;-39.356;-6.210;-26.544;-33.631;-48.884;144.524;58.760;62.737;
1;68;2.500;1.000;-3.600;;-57.628;3.325;-11.419;-15.715;73.502;94.833;-1.314;40.299;
1;69;3.000;1.000;-3.600;;-55.971;6.286;4.008;6.113;58.283;72.095;10.151;14.783;
1;70;3.500;1.000;-3.600;;-33.469;10.118;3.121;7.019;-4.824;73.022;16.493;15.295;
1;71;4.000;1.000;-3.600;;-34.310;9.085;0.056;-8.380;1.518;76.602;9.472;13.690;
1;72;4.500;1.000;-3.600;;-43.615;8.975;-2.629;-21.141;5.680;80.835;5.250;10.544;
1;73;5.000;1.000;-3.600;;-58.628;8.187;-3.696;-29.335;11.260;83.228;2.386;7.186;
1;74;5.500;1.000;-3.600;;-75.573;6.747;-0.751;-28.459;26.447;84.700;1.300;3.599;
1;75;6.000;1.000;-3.600;;-84.397;5.056;5.180;0.584;65.872;85.104;7.851;0.792;
1;76;6.500;1.000;-3.600;;-68.505;7.905;5.298;16.704;6.202;86.845;9.248;3.552;
1;77;7.000;1.000;-3.600;;-61.675;8.211;4.120;8.647;3.894;89.307;5.677;2.341;
1;78;7.500;1.000;-3.600;;-60.068;8.599;1.469;-1.716;3.746;90.969;4.795;-0.109;
1;79;8.000;1.000;-3.600;;-63.741;8.177;-1.169;-11.894;4.035;89.912;5.437;-2.577;
1;80;8.500;1.000;-3.600;;-72.290;7.706;-2.242;-19.450;6.670;87.967;8.827;-3.915;
