Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;1;0.000;0.000;-3.600;;3.819;0.351;-1.444;0.349;0.647;0.027;-0.607;0.151;
1;2;0.500;0.000;-3.600;;2.137;0.065;-0.631;0.009;-0.126;0.304;-0.529;-0.084;
1;3;1.000;0.000;-3.600;;0.896;0.050;-0.007;-0.048;-0.265;0.281;-0.493;-0.009;
1;4;1.500;0.000;-3.600;;-0.012;-0.035;0.528;0.052;-0.273;0.330;-0.521;0.009;
1;5;2.000;0.000;-3.600;;-1.082;0.049;1.299;-0.059;-0.348;0.362;-0.564;0.025;
1;6;2.500;0.000;-3.600;;-2.798;0.031;2.771;-0.069;-0.192;0.215;-0.763;-0.005;
1;7;3.000;0.000;-3.600;;-2.302;-0.917;2.599;0.957;0.859;-0.676;-0.675;0.513;
1;8;3.500;0.000;-3.600;;0.033;0.045;0.522;-0.027;-0.032;0.089;-0.152;-0.194;
1;9;4.000;0.000;-3.600;;-0.485;0.046;0.878;-0.046;-0.043;0.042;-0.117;0.035;
1;10;4.500;0.000;-3.600;;-0.837;0.005;1.159;-0.010;-0.085;0.085;-0.157;0.012;
1;11;5.000;0.000;-3.600;;-1.287;0.074;1.561;-0.078;-0.116;0.116;-0.205;-0.002;
1;12;5.500;0.000;-3.600;;-2.299;0.024;2.515;-0.041;0.013;0.004;-0.330;-0.058;
1;13;6.000;0.000;-3.600;;-2.668;-0.889;3.024;0.940;0.440;-0.365;-0.221;0.540;
1;14;6.500;0.000;-3.600;;-1.283;-0.014;1.723;0.019;0.038;-0.011;0.075;-0.145;
1;15;7.000;0.000;-3.600;;-1.198;0.059;1.573;-0.061;0.055;-0.056;0.051;0.020;
1;16;7.500;0.000;-3.600;;-1.194;0.005;1.555;-0.010;0.016;-0.016;0.011;0.012;
1;17;8.000;0.000;-3.600;;-1.253;0.062;1.626;-0.063;-0.020;0.021;-0.030;0.019;
1;18;8.500;0.000;-3.600;;-1.417;-0.012;1.848;0.014;0.002;-0.026;-0.060;-0.139;
1;19;9.000;0.000;-3.600;;-2.777;-0.882;3.147;0.939;-0.349;0.286;0.218;0.541;
1;20;9.500;0.000;-3.600;;-2.379;0.020;2.622;-0.035;0.022;-0.034;0.338;-0.065;
1;21;10.000;0.000;-3.600;;-1.434;0.073;1.725;-0.076;0.140;-0.140;0.221;0.001;
1;22;10.500;0.000;-3.600;;-1.011;0.004;1.342;-0.009;0.102;-0.102;0.172;0.013;
1;23;11.000;0.000;-3.600;;-0.666;0.049;1.063;-0.048;0.054;-0.053;0.130;0.038;
1;24;11.500;0.000;-3.600;;-0.097;0.024;0.656;-0.005;0.042;-0.100;0.164;-0.197;
1;25;12.000;0.000;-3.600;;-2.291;-0.926;2.601;0.974;-0.938;0.748;0.653;0.528;
1;26;12.500;0.000;-3.600;;-2.668;0.045;2.710;-0.083;0.071;-0.123;0.676;0.021;
1;27;13.000;0.000;-3.600;;-0.846;0.055;1.091;-0.066;0.301;-0.303;0.459;-0.016;
1;28;13.500;0.000;-3.600;;0.040;-0.010;0.386;-0.002;0.201;-0.205;0.404;0.013;
1;29;14.000;0.000;-3.600;;0.807;0.053;-0.101;-0.044;0.191;-0.203;0.354;0.033;
1;30;14.500;0.000;-3.600;;2.099;0.045;-0.819;0.045;-0.034;-0.166;0.391;-0.108;
1;31;15.000;0.000;-3.600;;3.667;0.288;-1.515;0.341;-0.921;0.313;0.499;0.159;
1;32;0.000;0.500;-3.600;;1.415;0.290;-1.456;-0.262;0.128;0.054;-0.015;0.154;
1;33;0.500;0.500;-3.600;;1.182;0.218;-0.865;-0.088;-0.187;0.439;-0.076;-0.090;
