Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;1;0.000;0.000;-3.600;;122.564;12.967;-25.845;0.000;1.479;-111.165;762.292;343.323;-336.695;
1;2;0.500;0.000;-3.600;;66.597;10.111;-17.894;0.000;0.224;-59.038;420.898;63.003;-88.863;
1;3;1.000;0.000;-3.600;;30.180;13.422;-22.758;0.000;4.845;-25.688;226.274;4.467;-8.174;
1;4;1.500;0.000;-3.600;;1.312;10.749;-25.117;23.805;14.368;-25.117;143.361;18.332;-28.313;
1;5;2.000;0.000;-3.600;;0.000;6.671;-54.017;64.401;12.546;-29.600;57.841;1.036;-7.133;
1;6;2.500;0.000;-3.600;;0.000;2.695;-116.634;124.480;6.386;-16.928;-3.366;0.000;-12.911;
1;7;3.000;0.000;-3.600;;11.099;-17.200;-135.062;134.077;71.024;-63.938;129.176;49.645;-94.329;
1;8;3.500;0.000;-3.600;;0.000;2.133;-10.799;12.691;0.997;-5.022;153.011;18.807;-28.495;
1;9;4.000;0.000;-3.600;;0.000;2.037;-28.492;30.002;0.000;-3.548;98.365;0.039;-0.240;
1;10;4.500;0.000;-3.600;;0.000;0.630;-41.873;45.115;3.217;-7.090;80.427;0.000;-1.274;
1;11;5.000;0.000;-3.600;;0.000;3.554;-59.729;64.173;1.679;-9.678;68.539;0.000;-0.960;
1;12;5.500;0.000;-3.600;;0.000;1.366;-100.283;100.310;0.000;-1.392;58.099;0.000;-8.408;
1;13;6.000;0.000;-3.600;;0.000;-34.771;-121.919;135.357;54.873;-33.540;107.681;31.485;-37.562;
1;14;6.500;0.000;-3.600;;0.000;-0.670;-62.641;63.643;1.706;-2.037;116.565;7.762;-13.275;
1;15;7.000;0.000;-3.600;;0.000;2.592;-57.815;59.869;0.000;-4.645;93.990;0.000;-0.398;
1;16;7.500;0.000;-3.600;;0.000;0.330;-57.291;57.954;0.349;-1.343;90.250;0.000;-1.260;
1;17;8.000;0.000;-3.600;;0.000;2.627;-59.985;60.243;0.000;-2.885;93.401;0.000;-0.426;
1;18;8.500;0.000;-3.600;;0.000;-0.530;-68.036;68.613;1.117;-1.165;113.722;6.522;-11.841;
