Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;1;0.000;0.000;-3.600;;2.631;0.001;0.310;1.188;0.350;0.337;
1;2;0.500;0.000;-3.600;;1.384;0.028;-0.215;0.753;0.037;0.089;
1;3;1.000;0.000;-3.600;;0.451;0.049;-0.273;0.444;0.001;0.008;
1;4;1.500;0.000;-3.600;;-0.270;-0.043;-0.301;0.258;0.008;0.028;
1;5;2.000;0.000;-3.600;;-1.190;0.054;-0.355;0.109;-0.005;0.007;
1;6;2.500;0.000;-3.600;;-2.784;0.050;-0.203;-0.014;-0.019;0.011;
1;7;3.000;0.000;-3.600;;-2.451;-0.937;0.767;0.149;0.020;0.091;
1;8;3.500;0.000;-3.600;;-0.244;0.036;-0.060;0.278;0.009;0.028;
1;9;4.000;0.000;-3.600;;-0.681;0.046;-0.042;0.196;0.000;0.000;
1;10;4.500;0.000;-3.600;;-0.998;0.008;-0.085;0.161;-0.003;0.000;
1;11;5.000;0.000;-3.600;;-1.424;0.076;-0.116;0.137;-0.002;0.000;
1;12;5.500;0.000;-3.600;;-2.407;0.033;0.005;0.108;-0.008;0.008;
1;13;6.000;0.000;-3.600;;-2.846;-0.914;0.402;0.178;0.025;0.038;
1;14;6.500;0.000;-3.600;;-1.503;-0.016;0.024;0.220;0.002;0.013;
1;15;7.000;0.000;-3.600;;-1.385;0.060;0.056;0.188;-0.001;0.000;
1;16;7.500;0.000;-3.600;;-1.375;0.008;0.016;0.180;-0.003;0.000;
1;17;8.000;0.000;-3.600;;-1.439;0.063;-0.020;0.187;-0.001;0.000;
1;18;8.500;0.000;-3.600;;-1.633;-0.013;0.014;0.216;0.001;-0.012;
1;19;9.000;0.000;-3.600;;-2.962;-0.910;-0.317;0.185;0.028;-0.032;
1;20;9.500;0.000;-3.600;;-2.500;0.027;0.028;0.122;-0.008;-0.006;
1;21;10.000;0.000;-3.600;;-1.580;0.074;0.140;0.145;-0.002;0.000;
1;22;10.500;0.000;-3.600;;-1.177;0.007;0.102;0.166;-0.002;0.000;
1;23;11.000;0.000;-3.600;;-0.864;0.049;0.053;0.199;0.000;0.001;
1;24;11.500;0.000;-3.600;;-0.377;0.014;0.071;0.279;0.010;-0.029;
1;25;12.000;0.000;-3.600;;-2.446;-0.950;-0.843;0.155;0.024;-0.095;
1;26;12.500;0.000;-3.600;;-2.689;0.064;0.097;0.021;-0.019;-0.026;
1;27;13.000;0.000;-3.600;;-0.968;0.060;0.302;0.122;-0.005;-0.001;
1;28;13.500;0.000;-3.600;;-0.173;-0.004;0.203;0.213;-0.006;-0.002;
1;29;14.000;0.000;-3.600;;0.454;0.048;0.197;0.353;0.004;-0.006;
1;30;14.500;0.000;-3.600;;1.459;0.000;0.066;0.640;0.045;-0.100;
1;31;15.000;0.000;-3.600;;2.591;-0.027;-0.617;1.076;0.314;-0.304;
1;32;0.000;0.500;-3.600;;1.435;0.276;0.037;-0.021;0.014;0.091;
1;33;0.500;0.500;-3.600;;1.023;0.153;-0.313;0.159;0.065;0.126;
1;34;1.000;0.500;-3.600;;0.444;0.111;-0.465;0.239;-0.017;0.120;
1;35;1.500;0.500;-3.600;;-0.373;0.054;-0.459;0.203;0.001;0.119;
1;36;2.000;0.500;-3.600;;-1.231;0.033;-0.507;0.168;0.052;0.073;
1;37;2.500;0.500;-3.600;;-2.033;-0.107;-0.317;0.167;-0.015;0.047;
1;38;3.000;0.500;-3.600;;-1.802;-0.201;0.398;0.158;0.019;0.038;
1;39;3.500;0.500;-3.600;;-0.570;0.139;0.066;0.166;0.021;0.043;
1;40;4.000;0.500;-3.600;;-0.742;0.110;-0.018;0.178;0.010;0.032;
1;41;4.500;0.500;-3.600;;-1.020;0.106;-0.089;0.166;0.005;0.019;
1;42;5.000;0.500;-3.600;;-1.420;0.079;-0.099;0.158;0.001;0.015;
1;43;5.500;0.500;-3.600;;-2.018;-0.036;-0.039;0.161;-0.001;0.013;
1;44;6.000;0.500;-3.600;;-2.328;-0.229;0.219;0.165;0.018;0.012;
1;45;6.500;0.500;-3.600;;-1.570;0.040;0.109;0.177;0.011;0.016;
1;46;7.000;0.500;-3.600;;-1.422;0.090;0.082;0.187;0.006;0.009;
1;47;7.500;0.500;-3.600;;-1.400;0.104;0.028;0.186;0.004;0.000;
1;48;8.000;0.500;-3.600;;-1.472;0.089;-0.025;0.187;0.006;-0.008;
1;49;8.500;0.500;-3.600;;-1.669;0.032;-0.052;0.179;0.011;-0.015;
1;50;9.000;0.500;-3.600;;-2.444;-0.233;-0.140;0.169;0.020;-0.011;
1;51;9.500;0.500;-3.600;;-2.144;-0.033;0.087;0.166;0.000;-0.010;
1;52;10.000;0.500;-3.600;;-1.584;0.085;0.140;0.164;0.002;-0.013;
1;53;10.500;0.500;-3.600;;-1.209;0.115;0.120;0.171;0.004;-0.017;
1;54;11.000;0.500;-3.600;;-0.938;0.122;0.034;0.181;0.010;-0.030;
1;55;11.500;0.500;-3.600;;-0.743;0.146;-0.070;0.165;0.022;-0.041;
1;56;12.000;0.500;-3.600;;-1.922;-0.157;-0.465;0.145;0.020;-0.038;
1;57;12.500;0.500;-3.600;;-1.954;-0.062;0.147;0.137;-0.007;-0.050;
1;58;13.000;0.500;-3.600;;-0.993;0.118;0.293;0.137;0.005;-0.058;
1;59;13.500;0.500;-3.600;;-0.242;0.131;0.326;0.166;0.016;-0.073;
1;60;14.000;0.500;-3.600;;0.410;0.110;0.241;0.195;0.029;-0.112;
1;61;14.500;0.500;-3.600;;0.980;0.178;0.046;0.139;0.049;-0.139;
1;62;15.000;0.500;-3.600;;1.418;0.351;-0.320;-0.011;-0.005;-0.105;
1;63;0.000;1.000;-3.600;;0.585;0.253;-0.118;-0.058;-0.060;0.009;
1;64;0.500;1.000;-3.600;;0.625;0.263;-0.296;-0.043;0.090;0.068;
1;65;1.000;1.000;-3.600;;0.388;0.346;-0.421;-0.018;0.001;0.068;
1;66;1.500;1.000;-3.600;;-0.517;0.118;-0.450;0.175;-0.001;0.080;
1;67;2.000;1.000;-3.600;;-0.945;-0.149;-0.637;0.289;0.118;0.125;
1;68;2.500;1.000;-3.600;;-1.383;0.080;-0.274;0.190;-0.003;0.081;
1;69;3.000;1.000;-3.600;;-1.343;0.151;0.096;0.144;0.020;0.030;
1;70;3.500;1.000;-3.600;;-0.803;0.243;0.075;0.146;0.033;0.031;
1;71;4.000;1.000;-3.600;;-0.823;0.218;0.001;0.153;0.019;0.027;
1;72;4.500;1.000;-3.600;;-1.047;0.215;-0.063;0.162;0.011;0.021;
1;73;5.000;1.000;-3.600;;-1.407;0.196;-0.089;0.166;0.005;0.014;
1;74;5.500;1.000;-3.600;;-1.814;0.162;-0.018;0.169;0.003;0.007;
1;75;6.000;1.000;-3.600;;-2.026;0.121;0.124;0.170;0.016;0.002;
1;76;6.500;1.000;-3.600;;-1.644;0.190;0.127;0.174;0.018;0.007;
1;77;7.000;1.000;-3.600;;-1.480;0.197;0.099;0.179;0.011;0.005;
1;78;7.500;1.000;-3.600;;-1.442;0.206;0.035;0.182;0.010;0.000;
1;79;8.000;1.000;-3.600;;-1.530;0.196;-0.028;0.180;0.011;-0.005;
1;80;8.500;1.000;-3.600;;-1.735;0.185;-0.054;0.176;0.018;-0.008;
1;81;9.000;1.000;-3.600;;-2.150;0.117;-0.048;0.173;0.016;-0.002;
1;82;9.500;1.000;-3.600;;-1.959;0.162;0.084;0.173;0.004;-0.006;
1;83;10.000;1.000;-3.600;;-1.581;0.201;0.144;0.171;0.005;-0.012;
1;84;10.500;1.000;-3.600;;-1.250;0.227;0.106;0.167;0.009;-0.018;
1;85;11.000;1.000;-3.600;;-1.044;0.236;0.020;0.158;0.017;-0.023;
1;86;11.500;1.000;-3.600;;-1.024;0.263;-0.082;0.148;0.032;-0.023;
1;87;12.000;1.000;-3.600;;-1.557;0.188;-0.179;0.142;0.020;-0.014;
1;88;12.500;1.000;-3.600;;-1.507;0.182;0.111;0.136;0.000;-0.036;
1;89;13.000;1.000;-3.600;;-0.900;0.221;0.261;0.124;0.015;-0.055;
1;90;13.500;1.000;-3.600;;-0.265;0.232;0.262;0.103;0.032;-0.072;
1;91;14.000;1.000;-3.600;;0.263;0.219;0.174;0.065;0.046;-0.081;
1;92;14.500;1.000;-3.600;;0.583;0.238;0.010;0.022;0.057;-0.062;
1;93;15.000;1.000;-3.600;;0.615;0.294;-0.144;-0.040;-0.075;0.000;
1;94;0.000;1.500;-3.600;;0.361;0.264;-0.167;-0.025;-0.073;0.037;
1;95;0.500;1.500;-3.600;;0.289;0.351;-0.231;-0.014;0.047;0.058;
1;96;1.000;1.500;-3.600;;0.091;0.392;-0.226;-0.012;0.117;0.052;
1;98;2.000;1.500;-3.600;;-0.262;0.331;-0.279;-0.036;0.003;0.030;
1;99;2.500;1.500;-3.600;;-0.897;0.331;-0.174;0.052;0.020;0.043;
1;100;3.000;1.500;-3.600;;-1.077;0.357;-0.028;0.127;0.024;0.037;
1;101;3.500;1.500;-3.600;;-0.848;0.349;0.030;0.132;0.031;0.019;
1;102;4.000;1.500;-3.600;;-0.883;0.316;0.019;0.145;0.026;0.016;
1;103;4.500;1.500;-3.600;;-1.073;0.320;-0.012;0.157;0.016;0.012;
1;104;5.000;1.500;-3.600;;-1.375;0.337;-0.024;0.166;0.009;0.008;
1;105;5.500;1.500;-3.600;;-1.681;0.347;0.013;0.171;0.009;0.004;
1;106;6.000;1.500;-3.600;;-1.825;0.325;0.079;0.174;0.016;0.001;
1;107;6.500;1.500;-3.600;;-1.642;0.331;0.093;0.176;0.017;0.002;
1;108;7.000;1.500;-3.600;;-1.523;0.308;0.082;0.179;0.016;0.001;
1;109;7.500;1.500;-3.600;;-1.490;0.302;0.039;0.180;0.014;-0.001;
1;110;8.000;1.500;-3.600;;-1.572;0.308;-0.004;0.180;0.015;-0.003;
1;111;8.500;1.500;-3.600;;-1.733;0.327;-0.016;0.178;0.017;-0.004;
1;112;9.000;1.500;-3.600;;-1.954;0.319;-0.003;0.176;0.016;-0.002;
1;113;9.500;1.500;-3.600;;-1.835;0.342;0.061;0.175;0.009;-0.004;
1;114;10.000;1.500;-3.600;;-1.562;0.337;0.091;0.171;0.009;-0.008;
1;115;10.500;1.500;-3.600;;-1.296;0.329;0.066;0.164;0.014;-0.011;
1;116;11.000;1.500;-3.600;;-1.138;0.334;0.010;0.155;0.022;-0.013;
1;117;11.500;1.500;-3.600;;-1.122;0.371;-0.036;0.145;0.027;-0.011;
1;118;12.000;1.500;-3.600;;-1.339;0.382;-0.059;0.138;0.021;-0.010;
1;119;12.500;1.500;-3.600;;-1.250;0.398;0.065;0.123;0.017;-0.020;
1;120;13.000;1.500;-3.600;;-0.809;0.376;0.142;0.100;0.027;-0.032;
1;121;13.500;1.500;-3.600;;-0.291;0.326;0.141;0.067;0.044;-0.039;
1;122;14.000;1.500;-3.600;;0.143;0.279;0.081;0.030;0.053;-0.039;
1;123;14.500;1.500;-3.600;;0.367;0.282;-0.006;0.002;0.019;-0.021;
1;124;15.000;1.500;-3.600;;0.369;0.312;-0.043;-0.028;-0.090;0.003;
1;125;0.000;2.000;-3.600;;0.291;0.300;-0.186;-0.005;-0.084;0.025;
