Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.889;3.889;1.514;1.260;
1;2;0.500;0.000;-3.600;;2.133;2.133;0.778;0.759;
1;3;1.000;0.000;-3.600;;0.977;0.977;0.360;0.444;
1;4;1.500;0.000;-3.600;;0.720;0.347;0.720;0.261;
1;5;2.000;0.000;-3.600;;1.420;1.210;1.420;0.110;
1;6;2.500;0.000;-3.600;;2.820;2.820;2.804;0.027;
1;7;3.000;0.000;-3.600;;3.294;3.294;3.120;0.300;
1;8;3.500;0.000;-3.600;;0.544;0.070;0.544;0.279;
1;9;4.000;0.000;-3.600;;0.889;0.498;0.889;0.197;
1;10;4.500;0.000;-3.600;;1.168;0.848;1.168;0.161;
1;11;5.000;0.000;-3.600;;1.586;1.314;1.586;0.137;
1;12;5.500;0.000;-3.600;;2.523;2.304;2.523;0.110;
1;13;6.000;0.000;-3.600;;2.948;2.624;2.948;0.183;
1;14;6.500;0.000;-3.600;;1.719;1.282;1.719;0.220;
1;15;7.000;0.000;-3.600;;1.587;1.212;1.587;0.188;
1;16;7.500;0.000;-3.600;;1.558;1.196;1.558;0.181;
1;17;8.000;0.000;-3.600;;1.639;1.266;1.639;0.187;
1;18;8.500;0.000;-3.600;;1.846;1.415;1.846;0.216;
1;19;9.000;0.000;-3.600;;3.057;2.704;3.057;0.187;
1;20;9.500;0.000;-3.600;;2.630;2.383;2.630;0.124;
1;21;10.000;0.000;-3.600;;1.753;1.464;1.753;0.146;
1;22;10.500;0.000;-3.600;;1.353;1.024;1.353;0.166;
1;23;11.000;0.000;-3.600;;1.076;0.680;1.076;0.199;
1;24;11.500;0.000;-3.600;;0.675;0.118;0.675;0.281;
1;25;12.000;0.000;-3.600;;3.292;3.292;3.146;0.302;
1;26;12.500;0.000;-3.600;;2.733;2.679;2.733;0.040;
1;27;13.000;0.000;-3.600;;1.194;0.967;1.194;0.124;
1;28;13.500;0.000;-3.600;;0.492;0.255;0.492;0.214;
1;29;14.000;0.000;-3.600;;0.851;0.851;0.304;0.352;
1;30;14.500;0.000;-3.600;;2.090;2.090;0.865;0.650;
1;31;15.000;0.000;-3.600;;3.891;3.891;1.644;1.141;
1;32;0.000;0.500;-3.600;;1.407;1.374;1.407;0.114;
1;33;0.500;0.500;-3.600;;1.180;1.180;1.084;0.251;
1;34;1.000;0.500;-3.600;;0.855;0.855;0.836;0.299;
1;35;1.500;0.500;-3.600;;0.999;0.476;0.999;0.269;
1;36;2.000;0.500;-3.600;;1.648;1.254;1.648;0.200;
1;37;2.500;0.500;-3.600;;2.255;1.890;2.255;0.184;
1;38;3.000;0.500;-3.600;;2.026;1.790;2.026;0.167;
1;39;3.500;0.500;-3.600;;0.761;0.460;0.761;0.176;
1;40;4.000;0.500;-3.600;;0.943;0.588;0.943;0.183;
1;41;4.500;0.500;-3.600;;1.218;0.882;1.218;0.168;
1;42;5.000;0.500;-3.600;;1.603;1.284;1.603;0.160;
1;43;5.500;0.500;-3.600;;2.173;1.850;2.173;0.162;
1;44;6.000;0.500;-3.600;;2.468;2.153;2.468;0.164;
1;45;6.500;0.500;-3.600;;1.759;1.416;1.759;0.177;
1;46;7.000;0.500;-3.600;;1.629;1.262;1.629;0.186;
