Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.936;3.936;1.444;1.306;
1;2;0.500;0.000;-3.600;;2.144;2.144;0.752;0.764;
1;3;1.000;0.000;-3.600;;0.972;0.972;0.310;0.445;
1;4;1.500;0.000;-3.600;;0.697;0.297;0.697;0.262;
1;5;2.000;0.000;-3.600;;1.390;1.180;1.390;0.109;
1;6;2.500;0.000;-3.600;;2.811;2.811;2.787;0.028;
1;7;3.000;0.000;-3.600;;3.341;3.291;3.193;0.309;
1;8;3.500;0.000;-3.600;;0.536;0.072;0.536;0.281;
1;9;4.000;0.000;-3.600;;0.880;0.488;0.880;0.196;
1;10;4.500;0.000;-3.600;;1.165;0.845;1.165;0.161;
1;11;5.000;0.000;-3.600;;1.569;1.297;1.569;0.137;
1;12;5.500;0.000;-3.600;;2.515;2.299;2.515;0.108;
1;13;6.000;0.000;-3.600;;3.117;2.780;3.117;0.187;
1;14;6.500;0.000;-3.600;;1.723;1.284;1.723;0.221;
1;15;7.000;0.000;-3.600;;1.575;1.200;1.575;0.188;
1;16;7.500;0.000;-3.600;;1.555;1.195;1.555;0.180;
1;17;8.000;0.000;-3.600;;1.626;1.253;1.626;0.187;
1;18;8.500;0.000;-3.600;;1.849;1.417;1.849;0.216;
1;19;9.000;0.000;-3.600;;3.228;2.863;3.228;0.192;
1;20;9.500;0.000;-3.600;;2.623;2.379;2.623;0.122;
1;21;10.000;0.000;-3.600;;1.736;1.447;1.736;0.145;
1;22;10.500;0.000;-3.600;;1.350;1.021;1.350;0.166;
1;23;11.000;0.000;-3.600;;1.066;0.670;1.066;0.199;
1;24;11.500;0.000;-3.600;;0.671;0.110;0.671;0.283;
1;25;12.000;0.000;-3.600;;3.361;3.280;3.218;0.311;
1;26;12.500;0.000;-3.600;;2.715;2.670;2.715;0.034;
1;27;13.000;0.000;-3.600;;1.166;0.938;1.166;0.122;
1;28;13.500;0.000;-3.600;;0.474;0.217;0.474;0.213;
1;29;14.000;0.000;-3.600;;0.852;0.852;0.278;0.353;
1;30;14.500;0.000;-3.600;;2.099;2.099;0.850;0.656;
1;31;15.000;0.000;-3.600;;3.901;3.901;1.566;1.182;
1;32;0.000;0.500;-3.600;;1.459;1.429;1.459;0.096;
1;33;0.500;0.500;-3.600;;1.217;1.217;1.062;0.246;
1;34;1.000;0.500;-3.600;;0.842;0.842;0.752;0.286;
1;35;1.500;0.500;-3.600;;0.920;0.416;0.920;0.258;
1;36;2.000;0.500;-3.600;;1.610;1.208;1.610;0.203;
1;37;2.500;0.500;-3.600;;2.261;1.906;2.261;0.178;
1;38;3.000;0.500;-3.600;;2.052;1.796;2.052;0.169;
1;39;3.500;0.500;-3.600;;0.737;0.424;0.737;0.178;
1;40;4.000;0.500;-3.600;;0.922;0.564;0.922;0.184;
1;41;4.500;0.500;-3.600;;1.196;0.859;1.196;0.169;
1;42;5.000;0.500;-3.600;;1.586;1.266;1.586;0.160;
1;43;5.500;0.500;-3.600;;2.180;1.858;2.180;0.162;
1;44;6.000;0.500;-3.600;;2.513;2.190;2.513;0.167;
1;45;6.500;0.500;-3.600;;1.752;1.403;1.752;0.179;
1;46;7.000;0.500;-3.600;;1.612;1.241;1.612;0.187;
1;47;7.500;0.500;-3.600;;1.586;1.215;1.586;0.186;
1;48;8.000;0.500;-3.600;;1.660;1.286;1.660;0.188;
1;49;8.500;0.500;-3.600;;1.848;1.492;1.848;0.181;
1;50;9.000;0.500;-3.600;;2.623;2.288;2.623;0.170;
1;51;9.500;0.500;-3.600;;2.314;1.981;2.314;0.166;
1;52;10.000;0.500;-3.600;;1.761;1.430;1.761;0.165;
1;53;10.500;0.500;-3.600;;1.393;1.047;1.393;0.173;
1;54;11.000;0.500;-3.600;;1.122;0.757;1.122;0.186;
1;55;11.500;0.500;-3.600;;0.909;0.595;0.909;0.176;
1;56;12.000;0.500;-3.600;;2.170;1.937;2.170;0.157;
1;57;12.500;0.500;-3.600;;2.110;1.822;2.110;0.153;
1;58;13.000;0.500;-3.600;;1.223;0.910;1.223;0.159;
1;59;13.500;0.500;-3.600;;0.623;0.312;0.623;0.196;
1;60;14.000;0.500;-3.600;;0.638;0.638;0.507;0.252;
1;61;14.500;0.500;-3.600;;1.129;1.129;0.885;0.240;
1;62;15.000;0.500;-3.600;;1.557;1.557;1.471;0.113;
1;63;0.000;1.000;-3.600;;0.687;0.559;0.687;0.068;
1;64;0.500;1.000;-3.600;;0.860;0.723;0.860;0.119;
1;65;1.000;1.000;-3.600;;0.865;0.712;0.865;0.077;
1;66;1.500;1.000;-3.600;;0.954;0.549;0.954;0.206;
