Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Tresca [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Tresca,Max;σ_eqv,Tresca,+;σ_eqv,Tresca,-;σ_eqv,Tresca,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.936;3.936;1.793;1.306;
1;2;0.500;0.000;-3.600;;2.144;2.144;0.882;0.764;
1;3;1.000;0.000;-3.600;;0.998;0.998;0.564;0.445;
1;4;1.500;0.000;-3.600;;0.814;0.547;0.814;0.262;
1;5;2.000;0.000;-3.600;;1.539;1.328;1.539;0.115;
1;6;2.500;0.000;-3.600;;2.872;2.855;2.872;0.028;
1;7;3.000;0.000;-3.600;;3.715;3.715;3.201;0.309;
1;8;3.500;0.000;-3.600;;0.577;0.072;0.577;0.281;
1;9;4.000;0.000;-3.600;;0.928;0.538;0.928;0.197;
1;10;4.500;0.000;-3.600;;1.181;0.859;1.181;0.163;
1;11;5.000;0.000;-3.600;;1.655;1.381;1.655;0.139;
1;12;5.500;0.000;-3.600;;2.556;2.324;2.556;0.117;
1;13;6.000;0.000;-3.600;;3.117;2.780;3.117;0.195;
1;14;6.500;0.000;-3.600;;1.723;1.284;1.723;0.221;
1;15;7.000;0.000;-3.600;;1.637;1.262;1.637;0.188;
1;16;7.500;0.000;-3.600;;1.566;1.200;1.566;0.183;
1;17;8.000;0.000;-3.600;;1.690;1.316;1.690;0.187;
1;18;8.500;0.000;-3.600;;1.849;1.417;1.849;0.216;
1;19;9.000;0.000;-3.600;;3.228;2.863;3.228;0.194;
1;20;9.500;0.000;-3.600;;2.658;2.399;2.658;0.130;
1;21;10.000;0.000;-3.600;;1.823;1.533;1.823;0.147;
1;22;10.500;0.000;-3.600;;1.367;1.035;1.367;0.168;
1;23;11.000;0.000;-3.600;;1.116;0.722;1.116;0.199;
1;24;11.500;0.000;-3.600;;0.691;0.147;0.691;0.283;
1;25;12.000;0.000;-3.600;;3.720;3.720;3.218;0.311;
1;26;12.500;0.000;-3.600;;2.803;2.716;2.803;0.065;
1;27;13.000;0.000;-3.600;;1.306;1.084;1.306;0.128;
1;28;13.500;0.000;-3.600;;0.564;0.405;0.564;0.219;
1;29;14.000;0.000;-3.600;;0.852;0.852;0.410;0.353;
1;30;14.500;0.000;-3.600;;2.099;2.099;0.926;0.656;
1;31;15.000;0.000;-3.600;;3.901;3.901;1.958;1.182;
1;32;0.000;0.500;-3.600;;1.459;1.429;1.459;0.186;
1;33;0.500;0.500;-3.600;;1.217;1.217;1.172;0.269;
