Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.824;3.824;1.647;1.207;
1;2;0.500;0.000;-3.600;;2.116;2.116;0.825;0.751;
1;3;1.000;0.000;-3.600;;0.985;0.985;0.489;0.444;
1;4;1.500;0.000;-3.600;;0.762;0.474;0.762;0.259;
1;5;2.000;0.000;-3.600;;1.470;1.261;1.470;0.112;
1;6;2.500;0.000;-3.600;;2.833;2.833;2.830;0.026;
1;7;3.000;0.000;-3.600;;3.417;3.417;3.031;0.289;
1;8;3.500;0.000;-3.600;;0.558;0.068;0.558;0.278;
1;9;4.000;0.000;-3.600;;0.905;0.515;0.905;0.197;
1;10;4.500;0.000;-3.600;;1.173;0.852;1.173;0.162;
1;11;5.000;0.000;-3.600;;1.614;1.341;1.614;0.138;
1;12;5.500;0.000;-3.600;;2.535;2.311;2.535;0.113;
1;13;6.000;0.000;-3.600;;2.814;2.513;2.814;0.180;
1;14;6.500;0.000;-3.600;;1.714;1.278;1.714;0.220;
1;15;7.000;0.000;-3.600;;1.607;1.232;1.607;0.188;
1;16;7.500;0.000;-3.600;;1.561;1.197;1.561;0.182;
1;17;8.000;0.000;-3.600;;1.659;1.285;1.659;0.187;
1;18;8.500;0.000;-3.600;;1.842;1.411;1.842;0.216;
1;19;9.000;0.000;-3.600;;2.909;2.578;2.909;0.182;
1;20;9.500;0.000;-3.600;;2.641;2.389;2.641;0.126;
1;21;10.000;0.000;-3.600;;1.781;1.492;1.781;0.146;
1;22;10.500;0.000;-3.600;;1.359;1.028;1.359;0.167;
1;23;11.000;0.000;-3.600;;1.092;0.697;1.092;0.199;
1;24;11.500;0.000;-3.600;;0.681;0.133;0.681;0.279;
1;25;12.000;0.000;-3.600;;3.430;3.430;3.057;0.292;
1;26;12.500;0.000;-3.600;;2.760;2.693;2.760;0.056;
1;27;13.000;0.000;-3.600;;1.242;1.019;1.242;0.125;
1;28;13.500;0.000;-3.600;;0.525;0.351;0.525;0.216;
1;29;14.000;0.000;-3.600;;0.849;0.849;0.363;0.351;
1;30;14.500;0.000;-3.600;;2.077;2.077;0.891;0.642;
1;31;15.000;0.000;-3.600;;3.875;3.875;1.794;1.093;
1;32;0.000;0.500;-3.600;;1.348;1.313;1.348;0.161;
1;33;0.500;0.500;-3.600;;1.136;1.136;1.121;0.258;
1;34;1.000;0.500;-3.600;;1.028;0.876;1.028;0.323;
1;35;1.500;0.500;-3.600;;1.169;0.623;1.169;0.289;
1;36;2.000;0.500;-3.600;;1.714;1.338;1.714;0.195;
1;37;2.500;0.500;-3.600;;2.245;1.867;2.245;0.193;
1;38;3.000;0.500;-3.600;;2.024;1.839;2.024;0.165;
1;39;3.500;0.500;-3.600;;0.803;0.537;0.803;0.174;
1;40;4.000;0.500;-3.600;;0.977;0.633;0.977;0.182;
1;41;4.500;0.500;-3.600;;1.255;0.922;1.255;0.168;
1;42;5.000;0.500;-3.600;;1.630;1.312;1.630;0.160;
1;43;5.500;0.500;-3.600;;2.163;1.839;2.163;0.163;
1;44;6.000;0.500;-3.600;;2.409;2.106;2.409;0.159;
1;45;6.500;0.500;-3.600;;1.769;1.435;1.769;0.174;
1;46;7.000;0.500;-3.600;;1.657;1.296;1.657;0.185;
1;47;7.500;0.500;-3.600;;1.638;1.272;1.638;0.184;
1;48;8.000;0.500;-3.600;;1.703;1.336;1.703;0.185;
1;49;8.500;0.500;-3.600;;1.859;1.515;1.859;0.176;
1;50;9.000;0.500;-3.600;;2.511;2.196;2.511;0.162;
1;51;9.500;0.500;-3.600;;2.299;1.966;2.299;0.167;
1;52;10.000;0.500;-3.600;;1.811;1.481;1.811;0.165;
1;53;10.500;0.500;-3.600;;1.459;1.117;1.459;0.172;
1;54;11.000;0.500;-3.600;;1.184;0.832;1.184;0.183;
1;55;11.500;0.500;-3.600;;0.978;0.705;0.978;0.171;
1;56;12.000;0.500;-3.600;;2.163;1.996;2.163;0.153;
1;57;12.500;0.500;-3.600;;2.091;1.791;2.091;0.165;
1;58;13.000;0.500;-3.600;;1.337;1.010;1.337;0.167;
1;59;13.500;0.500;-3.600;;0.839;0.480;0.839;0.203;
1;60;14.000;0.500;-3.600;;0.640;0.593;0.640;0.266;
1;61;14.500;0.500;-3.600;;1.037;1.037;0.847;0.269;
1;62;15.000;0.500;-3.600;;1.468;1.468;1.341;0.182;
1;63;0.000;1.000;-3.600;;0.599;0.499;0.599;0.061;
1;64;0.500;1.000;-3.600;;0.870;0.643;0.870;0.166;
1;65;1.000;1.000;-3.600;;0.927;0.709;0.927;0.119;
1;66;1.500;1.000;-3.600;;1.190;0.763;1.190;0.223;
1;67;2.000;1.000;-3.600;;1.734;1.093;1.734;0.333;
1;68;2.500;1.000;-3.600;;1.728;1.278;1.728;0.237;
1;69;3.000;1.000;-3.600;;1.571;1.324;1.571;0.145;
1;70;3.500;1.000;-3.600;;1.073;0.850;1.073;0.143;
1;71;4.000;1.000;-3.600;;1.091;0.816;1.091;0.152;
1;72;4.500;1.000;-3.600;;1.331;1.020;1.331;0.161;
1;73;5.000;1.000;-3.600;;1.687;1.359;1.687;0.166;
1;74;5.500;1.000;-3.600;;2.068;1.733;2.068;0.169;
1;75;6.000;1.000;-3.600;;2.262;1.941;2.262;0.163;
1;76;6.500;1.000;-3.600;;1.920;1.602;1.920;0.166;
1;77;7.000;1.000;-3.600;;1.767;1.429;1.767;0.173;
1;78;7.500;1.000;-3.600;;1.731;1.382;1.731;0.177;
1;79;8.000;1.000;-3.600;;1.810;1.466;1.810;0.175;
1;80;8.500;1.000;-3.600;;2.001;1.673;2.001;0.168;
1;81;9.000;1.000;-3.600;;2.378;2.051;2.378;0.166;
1;82;9.500;1.000;-3.600;;2.221;1.880;2.221;0.171;
1;83;10.000;1.000;-3.600;;1.878;1.540;1.878;0.170;
1;84;10.500;1.000;-3.600;;1.552;1.228;1.552;0.165;
1;85;11.000;1.000;-3.600;;1.327;1.036;1.327;0.155;
1;86;11.500;1.000;-3.600;;1.306;1.070;1.306;0.140;
1;87;12.000;1.000;-3.600;;1.817;1.572;1.817;0.136;
1;88;12.500;1.000;-3.600;;1.759;1.475;1.759;0.150;
1;89;13.000;1.000;-3.600;;1.265;0.984;1.265;0.151;
1;90;13.500;1.000;-3.600;;0.765;0.497;0.765;0.155;
1;91;14.000;1.000;-3.600;;0.480;0.342;0.480;0.152;
1;92;14.500;1.000;-3.600;;0.532;0.532;0.512;0.119;
1;93;15.000;1.000;-3.600;;0.621;0.562;0.621;0.065;
1;94;0.000;1.500;-3.600;;0.508;0.369;0.508;0.091;
1;95;0.500;1.500;-3.600;;0.585;0.463;0.585;0.114;
1;96;1.000;1.500;-3.600;;0.561;0.561;0.538;0.153;
1;98;2.000;1.500;-3.600;;0.721;0.698;0.721;0.064;
1;99;2.500;1.500;-3.600;;1.198;1.089;1.198;0.087;
1;100;3.000;1.500;-3.600;;1.408;1.190;1.408;0.134;
1;101;3.500;1.500;-3.600;;1.172;0.968;1.172;0.124;
1;102;4.000;1.500;-3.600;;1.201;0.958;1.201;0.137;
1;103;4.500;1.500;-3.600;;1.408;1.121;1.408;0.152;
1;104;5.000;1.500;-3.600;;1.730;1.414;1.730;0.163;
1;105;5.500;1.500;-3.600;;2.042;1.715;2.042;0.167;
1;106;6.000;1.500;-3.600;;2.175;1.852;2.175;0.166;
1;107;6.500;1.500;-3.600;;1.999;1.676;1.999;0.168;
1;108;7.000;1.500;-3.600;;1.871;1.539;1.871;0.171;
1;109;7.500;1.500;-3.600;;1.832;1.494;1.832;0.174;
1;110;8.000;1.500;-3.600;;1.915;1.579;1.915;0.173;
1;111;8.500;1.500;-3.600;;2.084;1.754;2.084;0.170;
1;112;9.000;1.500;-3.600;;2.297;1.967;2.297;0.169;
1;113;9.500;1.500;-3.600;;2.198;1.864;2.198;0.170;
1;114;10.000;1.500;-3.600;;1.926;1.598;1.926;0.168;
1;115;10.500;1.500;-3.600;;1.645;1.340;1.645;0.159;
1;116;11.000;1.500;-3.600;;1.474;1.202;1.474;0.146;
1;117;11.500;1.500;-3.600;;1.470;1.228;1.470;0.135;
1;118;12.000;1.500;-3.600;;1.690;1.451;1.690;0.130;
1;119;12.500;1.500;-3.600;;1.605;1.385;1.605;0.120;
1;120;13.000;1.500;-3.600;;1.165;0.994;1.165;0.105;
1;121;13.500;1.500;-3.600;;0.637;0.549;0.637;0.089;
1;122;14.000;1.500;-3.600;;0.296;0.296;0.286;0.082;
1;123;14.500;1.500;-3.600;;0.343;0.343;0.327;0.041;
1;124;15.000;1.500;-3.600;;0.408;0.307;0.408;0.080;
1;125;0.000;2.000;-3.600;;0.505;0.379;0.505;0.093;
1;126;0.500;2.000;-3.600;;0.434;0.393;0.434;0.061;
1;127;1.000;2.000;-3.600;;0.342;0.325;0.342;0.184;
1;128;1.500;2.000;-3.600;;0.576;0.418;0.576;0.097;
1;129;2.000;2.000;-3.600;;0.921;0.807;0.921;0.073;
1;130;2.500;2.000;-3.600;;1.205;1.125;1.205;0.062;
1;131;3.000;2.000;-3.600;;1.286;1.134;1.286;0.091;
1;132;3.500;2.000;-3.600;;1.169;0.977;1.169;0.115;
1;133;4.000;2.000;-3.600;;1.232;0.995;1.232;0.133;
1;134;4.500;2.000;-3.600;;1.448;1.167;1.448;0.151;
1;135;5.000;2.000;-3.600;;1.764;1.451;1.764;0.163;
1;136;5.500;2.000;-3.600;;2.050;1.724;2.050;0.169;
1;137;6.000;2.000;-3.600;;2.155;1.828;2.155;0.170;
1;138;6.500;2.000;-3.600;;2.030;1.702;2.030;0.171;
1;139;7.000;2.000;-3.600;;1.922;1.587;1.922;0.174;
1;140;7.500;2.000;-3.600;;1.889;1.550;1.889;0.175;
1;141;8.000;2.000;-3.600;;1.972;1.634;1.972;0.175;
1;142;8.500;2.000;-3.600;;2.123;1.789;2.123;0.173;
1;143;9.000;2.000;-3.600;;2.278;1.945;2.278;0.172;
1;144;9.500;2.000;-3.600;;2.198;1.863;2.198;0.172;
1;145;10.000;2.000;-3.600;;1.954;1.628;1.954;0.168;
1;146;10.500;2.000;-3.600;;1.695;1.393;1.695;0.158;
1;147;11.000;2.000;-3.600;;1.543;1.272;1.543;0.146;
1;148;11.500;2.000;-3.600;;1.532;1.287;1.532;0.135;
1;149;12.000;2.000;-3.600;;1.662;1.427;1.662;0.129;
1;150;12.500;2.000;-3.600;;1.562;1.367;1.562;0.109;
1;151;13.000;2.000;-3.600;;1.136;1.015;1.136;0.081;
1;152;13.500;2.000;-3.600;;0.602;0.592;0.602;0.054;
1;153;14.000;2.000;-3.600;;0.330;0.330;0.246;0.043;
1;154;14.500;2.000;-3.600;;0.312;0.312;0.307;0.007;
1;155;15.000;2.000;-3.600;;0.390;0.292;0.390;0.085;
1;156;0.000;2.500;-3.600;;0.567;0.476;0.567;0.089;
1;157;0.500;2.500;-3.600;;0.492;0.492;0.438;0.041;
1;158;1.000;2.500;-3.600;;0.432;0.432;0.364;0.087;
1;159;1.500;2.500;-3.600;;0.637;0.555;0.637;0.074;
1;160;2.000;2.500;-3.600;;1.087;0.882;1.087;0.118;
1;161;2.500;2.500;-3.600;;1.317;1.116;1.317;0.123;
1;162;3.000;2.500;-3.600;;1.237;1.067;1.237;0.117;
1;163;3.500;2.500;-3.600;;1.074;0.873;1.074;0.128;
1;164;4.000;2.500;-3.600;;1.166;0.910;1.166;0.144;
1;165;4.500;2.500;-3.600;;1.428;1.127;1.428;0.160;
1;166;5.000;2.500;-3.600;;1.780;1.450;1.780;0.171;
1;167;5.500;2.500;-3.600;;2.092;1.752;2.092;0.175;
1;168;6.000;2.500;-3.600;;2.188;1.852;2.188;0.174;
1;169;6.500;2.500;-3.600;;2.020;1.682;2.020;0.175;
1;170;7.000;2.500;-3.600;;1.902;1.555;1.902;0.179;
1;171;7.500;2.500;-3.600;;1.873;1.520;1.873;0.182;
1;172;8.000;2.500;-3.600;;1.963;1.614;1.963;0.180;
1;173;8.500;2.500;-3.600;;2.127;1.786;2.127;0.177;
1;174;9.000;2.500;-3.600;;2.311;1.970;2.311;0.175;
1;175;9.500;2.500;-3.600;;2.220;1.874;2.220;0.177;
1;176;10.000;2.500;-3.600;;1.952;1.614;1.952;0.174;
1;177;10.500;2.500;-3.600;;1.675;1.360;1.675;0.164;
1;178;11.000;2.500;-3.600;;1.510;1.230;1.510;0.151;
1;179;11.500;2.500;-3.600;;1.505;1.256;1.505;0.139;
1;180;12.000;2.500;-3.600;;1.702;1.458;1.702;0.134;
1;181;12.500;2.500;-3.600;;1.627;1.403;1.627;0.123;
1;182;13.000;2.500;-3.600;;1.188;1.018;1.188;0.106;
1;183;13.500;2.500;-3.600;;0.662;0.581;0.662;0.087;
1;184;14.000;2.500;-3.600;;0.335;0.335;0.316;0.077;
1;185;14.500;2.500;-3.600;;0.355;0.355;0.336;0.034;
1;186;15.000;2.500;-3.600;;0.450;0.335;0.450;0.083;
1;187;0.000;3.000;-3.600;;0.677;0.614;0.677;0.074;
1;188;0.500;3.000;-3.600;;0.659;0.659;0.471;0.108;
1;189;1.000;3.000;-3.600;;0.464;0.464;0.252;0.115;
1;190;1.500;3.000;-3.600;;0.519;0.422;0.519;0.127;
1;191;2.000;3.000;-3.600;;0.979;0.717;0.979;0.155;
1;192;2.500;3.000;-3.600;;1.352;1.070;1.352;0.161;
1;193;3.000;3.000;-3.600;;1.271;1.077;1.271;0.144;
1;194;3.500;3.000;-3.600;;0.871;0.663;0.871;0.153;
1;195;4.000;3.000;-3.600;;1.015;0.712;1.015;0.167;
1;196;4.500;3.000;-3.600;;1.354;1.014;1.354;0.176;
1;197;5.000;3.000;-3.600;;1.769;1.413;1.769;0.182;
1;198;5.500;3.000;-3.600;;2.169;1.806;2.169;0.184;
1;199;6.000;3.000;-3.600;;2.296;1.949;2.296;0.177;
1;200;6.500;3.000;-3.600;;1.959;1.610;1.959;0.181;
1;201;7.000;3.000;-3.600;;1.814;1.443;1.814;0.190;
1;202;7.500;3.000;-3.600;;1.792;1.411;1.792;0.194;
1;203;8.000;3.000;-3.600;;1.890;1.519;1.890;0.190;
1;204;8.500;3.000;-3.600;;2.092;1.740;2.092;0.183;
1;205;9.000;3.000;-3.600;;2.413;2.063;2.413;0.179;
1;206;9.500;3.000;-3.600;;2.263;1.898;2.263;0.184;
1;207;10.000;3.000;-3.600;;1.916;1.556;1.916;0.182;
1;208;10.500;3.000;-3.600;;1.592;1.248;1.592;0.177;
1;209;11.000;3.000;-3.600;;1.382;1.076;1.382;0.165;
1;210;11.500;3.000;-3.600;;1.379;1.132;1.379;0.149;
1;211;12.000;3.000;-3.600;;1.846;1.588;1.846;0.144;
1;212;12.500;3.000;-3.600;;1.801;1.503;1.801;0.157;
1;213;13.000;3.000;-3.600;;1.300;1.013;1.300;0.155;
1;214;13.500;3.000;-3.600;;0.785;0.523;0.785;0.157;
1;215;14.000;3.000;-3.600;;0.462;0.340;0.462;0.150;
1;216;14.500;3.000;-3.600;;0.513;0.513;0.474;0.116;
1;217;15.000;3.000;-3.600;;0.651;0.566;0.651;0.068;
1;218;0.000;3.500;-3.600;;1.118;1.118;0.873;0.177;
1;219;0.500;3.500;-3.600;;0.970;0.970;0.485;0.260;
1;220;1.000;3.500;-3.600;;0.533;0.533;0.095;0.252;
1;221;1.500;3.500;-3.600;;0.449;0.194;0.449;0.203;
1;222;2.000;3.500;-3.600;;0.920;0.574;0.920;0.186;
1;223;2.500;3.500;-3.600;;1.559;1.214;1.559;0.187;
1;224;3.000;3.500;-3.600;;1.647;1.501;1.570;0.173;
1;225;3.500;3.500;-3.600;;0.503;0.323;0.503;0.195;
1;226;4.000;3.500;-3.600;;0.849;0.459;0.849;0.203;
1;227;4.500;3.500;-3.600;;1.249;0.878;1.249;0.190;
1;228;5.000;3.500;-3.600;;1.711;1.349;1.711;0.183;
1;229;5.500;3.500;-3.600;;2.302;1.930;2.302;0.186;
1;230;6.000;3.500;-3.600;;2.526;2.180;2.526;0.181;
1;231;6.500;3.500;-3.600;;1.809;1.426;1.809;0.199;
1;232;7.000;3.500;-3.600;;1.696;1.280;1.696;0.210;
1;233;7.500;3.500;-3.600;;1.690;1.276;1.690;0.208;
1;234;8.000;3.500;-3.600;;1.782;1.375;1.782;0.208;
1;235;8.500;3.500;-3.600;;1.986;1.606;1.986;0.198;
1;236;9.000;3.500;-3.600;;2.619;2.268;2.619;0.181;
1;237;9.500;3.500;-3.600;;2.344;1.971;2.344;0.187;
1;238;10.000;3.500;-3.600;;1.840;1.473;1.840;0.184;
1;239;10.500;3.500;-3.600;;1.485;1.109;1.485;0.189;
1;240;11.000;3.500;-3.600;;1.226;0.851;1.226;0.199;
1;241;11.500;3.500;-3.600;;1.081;0.804;1.081;0.183;
1;242;12.000;3.500;-3.600;;2.260;2.069;2.260;0.164;
1;243;12.500;3.500;-3.600;;2.136;1.808;2.136;0.175;
1;244;13.000;3.500;-3.600;;1.367;1.021;1.367;0.177;
1;245;13.500;3.500;-3.600;;0.842;0.466;0.842;0.212;
1;246;14.000;3.500;-3.600;;0.589;0.537;0.589;0.275;
1;247;14.500;3.500;-3.600;;0.982;0.982;0.751;0.275;
1;248;15.000;3.500;-3.600;;1.401;1.401;1.254;0.184;
1;249;0.000;4.000;-3.600;;2.505;2.505;0.568;1.069;
