Surface No.;Grid;Grid Point Coordinates [m];;;;Displacements [mm];;;;Rotations [mrad];;;
;Point No.;X;Y;Z;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Surface Comment
1;1;0.000;0.000;-3.600;;484.1;-0.1;0.9;484.1;0.4;1.0;0.0;
1;2;0.500;0.000;-3.600;;483.6;0.0;0.9;483.6;0.5;1.1;0.0;
1;3;1.000;0.000;-3.600;;483.0;0.0;0.9;483.0;0.5;1.2;0.0;
1;4;1.500;0.000;-3.600;;482.3;0.0;0.9;482.3;0.6;1.2;0.0;
1;5;2.000;0.000;-3.600;;481.7;0.0;0.9;481.7;0.6;1.1;0.0;
1;6;2.500;0.000;-3.600;;481.2;0.0;0.9;481.2;0.7;1.0;0.0;
1;7;3.000;0.000;-3.600;;480.7;0.0;0.9;480.7;0.6;0.8;0.0;
1;8;3.500;0.000;-3.600;;480.3;0.0;0.9;480.3;0.6;0.8;0.0;
1;9;4.000;0.000;-3.600;;479.9;0.0;0.9;479.9;0.6;0.8;0.0;
1;10;4.500;0.000;-3.600;;479.5;0.0;0.9;479.5;0.7;0.7;0.0;
1;11;5.000;0.000;-3.600;;479.2;0.0;0.9;479.2;0.7;0.6;0.0;
1;12;5.500;0.000;-3.600;;478.9;0.0;0.9;478.9;0.7;0.5;0.0;
1;13;6.000;0.000;-3.600;;478.7;0.0;0.9;478.7;0.6;0.3;0.0;
1;14;6.500;0.000;-3.600;;478.6;0.0;0.9;478.6;0.7;0.2;0.0;
1;15;7.000;0.000;-3.600;;478.5;0.0;0.9;478.5;0.7;0.1;0.0;
1;16;7.500;0.000;-3.600;;478.4;0.0;0.9;478.4;0.6;0.0;0.0;
1;17;8.000;0.000;-3.600;;478.4;0.0;0.9;478.4;0.6;-0.1;0.0;
1;18;8.500;0.000;-3.600;;478.5;0.0;0.9;478.5;0.7;-0.2;0.0;
1;19;9.000;0.000;-3.600;;478.6;0.0;0.9;478.6;0.6;-0.3;0.0;
1;20;9.500;0.000;-3.600;;478.8;0.0;0.9;478.8;0.7;-0.5;0.0;
1;21;10.000;0.000;-3.600;;479.1;0.0;0.9;479.1;0.6;-0.6;0.0;
1;22;10.500;0.000;-3.600;;479.4;0.0;0.9;479.4;0.6;-0.7;0.0;
1;23;11.000;0.000;-3.600;;479.8;0.0;0.9;479.8;0.6;-0.7;0.0;
1;24;11.500;0.000;-3.600;;480.1;0.0;0.9;480.1;0.6;-0.8;0.0;
1;25;12.000;0.000;-3.600;;480.5;0.0;0.9;480.5;0.6;-0.8;0.0;
1;26;12.500;0.000;-3.600;;481.0;0.0;0.9;481.0;0.6;-1.0;0.0;
1;27;13.000;0.000;-3.600;;481.6;0.0;0.9;481.6;0.6;-1.1;0.0;
1;28;13.500;0.000;-3.600;;482.2;0.0;0.9;482.2;0.6;-1.2;0.0;
1;29;14.000;0.000;-3.600;;482.8;0.0;0.9;482.8;0.5;-1.2;0.0;
1;30;14.500;0.000;-3.600;;483.3;0.0;0.9;483.3;0.5;-1.1;0.0;
1;31;15.000;0.000;-3.600;;483.9;0.1;0.9;483.9;0.5;-1.0;0.0;
1;32;0.000;0.500;-3.600;;484.3;0.0;0.9;484.3;0.5;1.0;0.0;
1;33;0.500;0.500;-3.600;;483.8;0.0;0.9;483.8;0.5;1.1;0.0;
1;34;1.000;0.500;-3.600;;483.2;0.0;0.9;483.2;0.5;1.2;0.0;
1;35;1.500;0.500;-3.600;;482.6;0.0;0.9;482.6;0.5;1.2;0.0;
1;36;2.000;0.500;-3.600;;482.0;0.0;0.9;482.0;0.6;1.1;0.0;
1;37;2.500;0.500;-3.600;;481.5;0.0;0.9;481.5;0.6;1.0;0.0;
1;38;3.000;0.500;-3.600;;481.0;0.0;0.9;481.0;0.6;0.9;0.0;
1;39;3.500;0.500;-3.600;;480.6;0.0;0.9;480.6;0.6;0.8;0.0;
1;40;4.000;0.500;-3.600;;480.2;0.0;0.9;480.2;0.6;0.8;0.0;
1;41;4.500;0.500;-3.600;;479.9;0.0;0.9;479.9;0.6;0.7;0.0;
1;42;5.000;0.500;-3.600;;479.5;0.0;0.9;479.5;0.6;0.6;0.0;
1;43;5.500;0.500;-3.600;;479.2;0.0;0.9;479.2;0.7;0.5;0.0;
1;44;6.000;0.500;-3.600;;479.0;0.0;0.9;479.0;0.6;0.3;0.0;
1;45;6.500;0.500;-3.600;;478.9;0.0;0.9;478.9;0.6;0.2;0.0;
1;46;7.000;0.500;-3.600;;478.8;0.0;0.9;478.8;0.6;0.1;0.0;
1;47;7.500;0.500;-3.600;;478.8;0.0;0.9;478.8;0.6;0.0;0.0;
1;48;8.000;0.500;-3.600;;478.8;0.0;0.9;478.8;0.6;-0.1;0.0;
1;49;8.500;0.500;-3.600;;478.8;0.0;0.9;478.8;0.6;-0.2;0.0;
1;50;9.000;0.500;-3.600;;478.9;0.0;0.9;478.9;0.6;-0.3;0.0;
1;51;9.500;0.500;-3.600;;479.1;0.0;0.9;479.1;0.6;-0.5;0.0;
1;52;10.000;0.500;-3.600;;479.4;0.0;0.9;479.4;0.6;-0.6;0.0;
1;53;10.500;0.500;-3.600;;479.7;0.0;0.9;479.7;0.6;-0.7;0.0;
1;54;11.000;0.500;-3.600;;480.1;0.0;0.9;480.1;0.6;-0.7;0.0;
1;55;11.500;0.500;-3.600;;480.4;0.0;0.9;480.4;0.6;-0.8;0.0;
1;56;12.000;0.500;-3.600;;480.9;0.0;0.9;480.9;0.6;-0.9;0.0;
1;57;12.500;0.500;-3.600;;481.3;0.0;0.9;481.3;0.6;-1.0;0.0;
1;58;13.000;0.500;-3.600;;481.9;0.0;0.9;481.9;0.6;-1.1;0.0;
1;59;13.500;0.500;-3.600;;482.5;0.0;0.9;482.5;0.6;-1.2;0.0;
1;60;14.000;0.500;-3.600;;483.0;0.0;0.9;483.0;0.5;-1.2;0.0;
1;61;14.500;0.500;-3.600;;483.6;0.0;0.9;483.6;0.5;-1.1;0.0;
1;62;15.000;0.500;-3.600;;484.1;0.0;0.9;484.1;0.5;-1.0;0.0;
1;63;0.000;1.000;-3.600;;484.6;0.0;0.9;484.6;0.5;1.1;0.0;
1;64;0.500;1.000;-3.600;;484.0;0.0;0.9;484.0;0.5;1.1;0.0;
1;65;1.000;1.000;-3.600;;483.5;0.0;0.9;483.5;0.5;1.1;0.0;
1;66;1.500;1.000;-3.600;;482.9;0.0;0.9;482.9;0.5;1.2;0.0;
1;67;2.000;1.000;-3.600;;482.3;0.0;0.9;482.3;0.6;1.1;0.0;
1;68;2.500;1.000;-3.600;;481.8;0.0;0.9;481.8;0.6;1.0;0.0;
1;69;3.000;1.000;-3.600;;481.4;0.0;0.9;481.4;0.6;0.9;0.0;
1;70;3.500;1.000;-3.600;;480.9;0.0;0.9;480.9;0.6;0.8;0.0;
1;71;4.000;1.000;-3.600;;480.5;0.0;0.9;480.5;0.6;0.8;0.0;
1;72;4.500;1.000;-3.600;;480.2;0.0;0.9;480.2;0.6;0.7;0.0;
1;73;5.000;1.000;-3.600;;479.9;0.0;0.9;479.8;0.6;0.6;0.0;
1;74;5.500;1.000;-3.600;;479.6;0.0;0.9;479.6;0.6;0.5;0.0;
