Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;1;0.000;0.000;-3.600;;111.145;-1.459;6.63;56.302;208.453;166.06;653.206;115.714;19.39;268.746;
1;2;0.500;0.000;-3.600;;59.033;-0.219;-8.79;29.626;178.550;-171.00;381.900;13.138;6.97;184.381;
1;3;1.000;0.000;-3.600;;24.553;-3.710;-26.82;14.131;164.210;-178.97;222.262;0.304;1.06;110.979;
1;4;1.500;0.000;-3.600;;6.888;-19.944;-55.30;13.416;173.593;179.02;130.788;2.592;6.38;64.098;
1;5;2.000;0.000;-3.600;;6.181;-53.528;-75.14;29.855;188.293;177.41;54.498;-2.754;3.58;28.626;
1;6;2.500;0.000;-3.600;;2.681;-116.620;-85.92;59.650;254.234;-179.59;-2.260;-14.017;38.75;5.878;
1;7;3.000;0.000;-3.600;;-6.692;-134.471;46.56;63.889;299.333;134.69;108.112;-23.620;35.07;65.866;
1;8;3.500;0.000;-3.600;;2.030;-10.696;-78.38;6.363;82.112;-127.99;140.260;3.064;5.99;68.598;
1;9;4.000;0.000;-3.600;;2.029;-28.484;-86.67;15.257;40.744;163.21;98.245;-0.081;-0.07;49.163;
1;10;4.500;0.000;-3.600;;0.626;-41.868;-85.20;21.247;52.641;175.72;80.423;-1.270;-0.05;40.846;
1;11;5.000;0.000;-3.600;;3.532;-59.706;-85.60;31.619;68.483;-179.56;68.519;-0.941;0.11;34.730;
1;12;5.500;0.000;-3.600;;1.366;-100.283;89.89;50.825;111.586;-170.05;54.198;-4.507;4.12;29.353;
1;13;6.000;0.000;-3.600;;-33.936;-122.754;82.14;44.409;221.240;106.90;93.285;8.320;12.86;42.482;
1;14;6.500;0.000;-3.600;;-0.670;-62.641;89.06;30.985;54.457;-62.87;110.331;0.721;3.48;54.805;
1;15;7.000;0.000;-3.600;;2.588;-57.811;87.80;30.200;18.188;21.50;93.864;-0.272;-0.11;47.068;
1;16;7.500;0.000;-3.600;;0.330;-57.291;89.33;28.810;5.361;48.44;90.250;-1.260;0.00;45.755;
1;17;8.000;0.000;-3.600;;2.626;-59.985;-89.23;31.306;11.681;147.98;93.284;-0.309;0.12;46.797;
1;18;8.500;0.000;-3.600;;-0.530;-68.036;89.51;33.753;50.530;-113.28;108.128;0.275;-3.15;53.926;
1;19;9.000;0.000;-3.600;;-34.466;-126.878;-85.11;46.206;220.647;73.18;95.835;10.951;-9.70;42.442;
1;20;9.500;0.000;-3.600;;1.156;-104.195;89.37;52.675;114.656;-10.92;61.063;-3.988;-2.81;32.526;
1;21;10.000;0.000;-3.600;;3.590;-66.306;85.20;34.948;73.671;0.17;72.642;-0.825;-0.13;36.733;
1;22;10.500;0.000;-3.600;;0.641;-49.390;85.11;25.015;57.486;4.34;82.904;-1.245;0.07;42.074;
1;23;11.000;0.000;-3.600;;2.150;-36.144;86.67;19.147;45.072;16.13;99.378;0.108;0.15;49.635;
1;24;11.500;0.000;-3.600;;1.119;-16.219;80.01;8.669;85.468;-50.16;141.284;3.208;-6.13;69.038;
1;25;12.000;0.000;-3.600;;-6.158;-135.354;-47.43;64.598;294.908;45.96;111.467;-21.901;-34.86;66.684;
1;26;12.500;0.000;-3.600;;2.803;-112.168;87.99;57.485;225.427;1.76;16.791;-15.717;-26.14;16.254;
1;27;13.000;0.000;-3.600;;5.938;-43.783;74.77;24.860;153.231;-2.05;61.226;-2.736;-0.42;31.981;
1;28;13.500;0.000;-3.600;;5.462;-12.846;56.34;9.154;134.644;1.84;106.568;-3.078;-0.49;54.823;
1;29;14.000;0.000;-3.600;;22.247;-1.322;22.10;11.785;118.359;5.27;176.413;2.196;-0.97;87.109;
1;30;14.500;0.000;-3.600;;60.915;-0.126;2.60;30.521;135.310;-15.37;327.944;14.429;-9.28;156.757;
1;31;15.000;0.000;-3.600;;113.696;-6.857;-12.62;60.276;174.663;17.62;591.173;103.860;-19.29;243.656;
1;32;0.000;0.500;-3.600;;59.859;11.450;1.84;24.205;51.610;95.68;44.668;-48.136;50.34;46.402;
1;33;0.500;0.500;-3.600;;46.836;2.167;-17.86;22.334;39.203;-130.03;123.007;-11.265;34.81;67.136;
1;34;1.000;0.500;-3.600;;32.119;-9.023;-35.14;20.571;51.160;158.20;142.993;-31.998;21.55;87.495;
1;35;1.500;0.500;-3.600;;14.437;-27.737;-57.45;21.087;55.736;-175.47;129.051;-27.122;24.88;78.086;
1;36;2.000;0.500;-3.600;;8.785;-58.695;-70.63;33.740;56.960;-162.03;101.536;8.339;25.89;46.599;
1;37;2.500;0.500;-3.600;;-2.350;-86.815;-80.89;42.232;78.699;142.62;89.238;-12.892;13.59;51.065;
1;38;3.000;0.500;-3.600;;-3.410;-80.064;74.23;38.327;121.477;98.12;84.456;4.250;15.23;40.103;
1;39;3.500;0.500;-3.600;;6.025;-24.010;84.74;15.018;31.684;-81.45;89.132;4.496;15.32;42.318;
1;40;4.000;0.500;-3.600;;4.598;-30.928;-88.79;17.763;15.764;165.14;91.946;2.175;10.48;44.886;
1;41;4.500;0.500;-3.600;;4.703;-42.801;-85.50;23.752;23.088;166.54;84.400;1.210;6.77;41.595;
1;42;5.000;0.500;-3.600;;3.579;-59.419;-86.25;31.499;38.118;170.28;79.920;-0.001;5.52;39.961;
1;43;5.500;0.500;-3.600;;-1.465;-84.111;-88.88;41.323;59.509;165.98;80.840;-1.153;4.52;40.997;
1;44;6.000;0.500;-3.600;;-8.560;-97.977;84.28;44.708;132.526;93.83;83.439;8.261;4.94;37.589;
1;45;6.500;0.500;-3.600;;1.979;-65.714;86.15;33.847;31.054;-27.78;89.396;4.885;5.49;42.256;
1;46;7.000;0.500;-3.600;;3.937;-59.435;86.90;31.686;8.170;29.68;93.658;2.817;2.86;45.421;
1;47;7.500;0.500;-3.600;;4.335;-58.353;88.93;31.344;4.905;116.76;92.990;2.239;0.05;45.375;
1;48;8.000;0.500;-3.600;;3.717;-61.366;-89.09;32.541;12.344;160.98;93.806;2.698;-2.64;45.554;
1;49;8.500;0.500;-3.600;;1.381;-69.588;-88.25;35.485;34.075;-157.28;90.283;4.607;-5.10;42.838;
1;50;9.000;0.500;-3.600;;-9.262;-102.289;-86.57;46.513;132.768;86.91;85.154;9.128;-4.35;38.013;
1;51;9.500;0.500;-3.600;;-1.220;-89.469;87.64;44.125;56.503;12.62;83.196;-0.394;-3.51;41.795;
1;52;10.000;0.500;-3.600;;4.045;-66.483;85.24;35.264;35.475;9.89;82.746;0.321;-4.47;41.212;
1;53;10.500;0.500;-3.600;;5.255;-50.831;84.84;28.043;21.701;13.27;86.533;1.316;-5.80;42.609;
1;54;11.000;0.500;-3.600;;5.149;-39.129;88.16;22.139;15.888;12.42;92.860;2.482;-9.58;45.189;
1;55;11.500;0.500;-3.600;;6.332;-31.202;-85.53;18.767;33.840;-94.39;87.835;5.353;-14.87;41.241;
1;56;12.000;0.500;-3.600;;-1.139;-85.486;-74.38;42.173;128.358;78.90;78.255;4.181;-16.48;37.037;
1;57;12.500;0.500;-3.600;;-2.129;-81.879;85.58;39.875;89.873;27.16;76.284;-11.102;-17.32;43.693;
1;58;13.000;0.500;-3.600;;7.931;-44.426;76.08;26.178;61.332;8.24;79.314;-8.076;-20.60;43.695;
1;59;13.500;0.500;-3.600;;13.344;-17.940;59.88;15.642;41.702;7.23;97.909;-6.766;-22.02;52.338;
1;60;14.000;0.500;-3.600;;22.658;-0.993;29.02;11.826;39.316;1.75;125.880;-13.669;-26.77;69.774;
1;61;14.500;0.500;-3.600;;40.938;7.296;3.24;16.821;47.976;-46.68;120.008;-25.732;-35.99;72.870;
1;62;15.000;0.500;-3.600;;62.791;10.947;-15.48;25.922;57.320;72.29;48.549;-56.580;-45.74;52.565;
1;63;0.000;1.000;-3.600;;25.955;8.993;-17.69;8.481;44.624;70.46;-25.076;-34.103;42.40;4.513;
1;64;0.500;1.000;-3.600;;32.944;4.059;-29.29;14.442;31.507;-82.53;59.483;-35.611;67.21;47.547;
1;65;1.000;1.000;-3.600;;32.856;-2.263;-43.58;17.560;54.236;109.49;29.694;-38.543;48.94;34.119;
1;66;1.500;1.000;-3.600;;14.619;-31.276;-62.60;22.948;48.858;-166.06;102.811;-15.821;21.14;59.316;
1;67;2.000;1.000;-3.600;;8.510;-54.076;-60.99;31.293;59.336;-124.53;177.634;25.650;27.82;75.992;
1;68;2.500;1.000;-3.600;;5.394;-59.697;-79.73;32.545;75.163;102.07;109.490;-15.971;19.99;62.730;
1;69;3.000;1.000;-3.600;;6.581;-56.265;86.22;31.423;60.821;84.44;75.458;6.788;12.70;34.335;
1;70;3.500;1.000;-3.600;;10.341;-33.691;85.92;22.016;8.517;-34.50;76.895;12.620;14.21;32.137;
1;71;4.000;1.000;-3.600;;9.085;-34.310;89.93;21.697;8.516;169.73;79.287;6.788;11.09;36.249;
1;72;4.500;1.000;-3.600;;9.106;-43.746;-87.15;26.426;21.891;164.96;82.278;3.807;7.79;39.235;
1;73;5.000;1.000;-3.600;;8.391;-58.832;-86.84;33.611;31.421;159.00;83.861;1.752;5.04;41.055;
1;74;5.500;1.000;-3.600;;6.754;-75.580;-89.48;41.167;38.850;137.10;84.855;1.145;2.47;41.855;
1;75;6.000;1.000;-3.600;;5.371;-84.712;86.72;45.042;69.165;89.54;85.130;7.825;0.61;38.653;
1;76;6.500;1.000;-3.600;;8.270;-68.871;86.05;38.570;17.818;20.37;87.008;9.086;2.62;38.961;
1;77;7.000;1.000;-3.600;;8.453;-61.917;86.64;35.185;9.484;24.24;89.372;5.611;1.60;41.880;
1;78;7.500;1.000;-3.600;;8.630;-60.100;88.77;34.365;4.121;114.61;90.969;4.795;-0.07;43.087;
1;79;8.000;1.000;-3.600;;8.196;-63.760;-89.07;35.978;12.560;161.26;89.990;5.359;-1.75;42.316;
1;80;8.500;1.000;-3.600;;7.769;-72.353;-88.40;40.061;20.562;161.07;88.160;8.633;-2.82;39.763;
1;81;9.000;1.000;-3.600;;4.955;-89.665;-88.81;47.310;69.162;91.68;86.585;8.206;-0.85;39.190;
1;82;9.500;1.000;-3.600;;6.909;-81.777;87.73;44.343;36.880;42.78;86.628;1.889;-2.01;42.370;
1;83;10.000;1.000;-3.600;;8.863;-66.357;85.41;37.610;29.595;20.18;86.002;1.921;-4.18;42.041;
1;84;10.500;1.000;-3.600;;9.767;-52.393;85.93;31.080;20.492;12.56;84.539;3.726;-6.44;40.406;
1;85;11.000;1.000;-3.600;;9.827;-43.522;89.11;26.675;8.092;-2.50;80.786;6.921;-8.94;36.932;
1;86;11.500;1.000;-3.600;;11.156;-42.875;-86.36;27.015;10.631;-127.68;76.170;14.021;-10.86;31.075;
1;87;12.000;1.000;-3.600;;8.574;-65.612;-84.21;37.093;64.073;92.28;71.985;9.106;-6.52;31.439;
1;88;12.500;1.000;-3.600;;7.871;-63.078;86.25;35.475;57.909;51.37;72.659;-4.441;-13.96;38.550;
1;89;13.000;1.000;-3.600;;11.614;-39.901;77.50;25.758;48.788;20.35;73.508;-3.861;-22.78;38.685;
1;90;13.500;1.000;-3.600;;14.377;-15.748;66.72;15.063;41.112;7.26;74.111;-6.600;-31.89;40.356;
1;91;14.000;1.000;-3.600;;17.368;2.722;41.35;7.323;29.670;-7.85;68.545;-12.867;-41.73;40.706;
1;92;14.500;1.000;-3.600;;24.319;9.909;1.62;7.205;27.536;-63.79;52.115;-12.825;-52.91;32.470;
1;93;15.000;1.000;-3.600;;27.932;9.935;-20.93;8.998;47.703;100.13;-19.956;-37.482;-0.32;8.763;
1;94;0.000;1.500;-3.600;;20.271;5.737;-36.91;7.267;22.227;81.67;-2.458;-46.626;28.57;22.084;
1;95;0.500;1.500;-3.600;;23.047;3.633;-48.85;9.707;21.891;-104.41;40.766;-24.251;58.87;32.508;
1;96;1.000;1.500;-3.600;;21.345;-1.247;-61.84;11.296;48.011;107.10;67.610;-15.319;70.58;41.465;
1;98;2.000;1.500;-3.600;;18.421;-15.522;-68.34;16.972;60.771;-172.75;9.679;-26.203;61.75;17.941;
1;99;2.500;1.500;-3.600;;14.817;-38.381;-82.08;26.599;57.117;136.41;40.950;-5.096;34.64;23.023;
1;100;3.000;1.500;-3.600;;14.920;-44.928;-88.95;29.924;32.581;104.70;69.839;5.983;17.02;31.928;
1;101;3.500;1.500;-3.600;;14.581;-35.377;88.54;24.979;6.528;97.34;67.526;13.848;10.11;26.839;
1;102;4.000;1.500;-3.600;;13.199;-36.809;89.09;25.004;9.050;155.29;73.778;11.734;7.60;31.022;
1;103;4.500;1.500;-3.600;;13.328;-44.704;-89.51;29.016;17.060;163.90;79.275;7.296;4.95;35.990;
1;104;5.000;1.500;-3.600;;14.043;-57.324;-89.20;35.683;22.404;155.19;83.474;4.287;3.06;39.594;
1;105;5.500;1.500;-3.600;;14.452;-70.040;89.64;42.246;23.379;140.35;85.779;4.369;1.33;40.705;
1;106;6.000;1.500;-3.600;;13.686;-76.189;87.90;44.937;35.330;93.69;86.852;7.769;0.39;39.542;
1;107;6.500;1.500;-3.600;;13.963;-68.607;87.30;41.285;10.713;45.23;87.873;8.709;0.77;39.582;
1;108;7.000;1.500;-3.600;;12.992;-63.629;87.45;38.310;6.266;41.52;89.266;7.811;0.50;40.727;
1;109;7.500;1.500;-3.600;;12.599;-62.120;88.75;37.360;2.980;125.09;90.017;6.922;-0.28;41.547;
1;110;8.000;1.500;-3.600;;12.814;-65.507;-89.89;39.161;8.959;153.01;89.817;7.513;-1.05;41.152;
1;111;8.500;1.500;-3.600;;13.633;-72.227;-89.55;42.930;12.853;144.95;88.856;8.412;-1.34;40.222;
1;112;9.000;1.500;-3.600;;13.285;-81.418;-89.94;47.352;34.759;89.52;88.077;7.876;-0.79;40.100;
1;113;9.500;1.500;-3.600;;14.321;-76.531;88.39;45.426;21.631;41.22;87.453;4.596;-1.27;41.429;
1;114;10.000;1.500;-3.600;;14.222;-65.254;87.26;39.738;20.206;24.13;85.776;4.153;-2.65;40.812;
