Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;1;0.000;0.000;-3.600;;3.936;0.234;10.23;0.349;-1.444;89.15;1.306;0.231;19.39;0.625;
1;2;0.500;0.000;-3.600;;2.144;0.057;-3.46;0.130;-0.752;68.25;0.764;0.026;6.97;0.536;
1;3;1.000;0.000;-3.600;;0.972;-0.026;-16.03;0.254;-0.310;42.89;0.445;0.001;1.06;0.493;
1;4;1.500;0.000;-3.600;;0.250;-0.297;-43.76;0.697;-0.117;27.07;0.262;0.005;6.38;0.521;
1;5;2.000;0.000;-3.600;;0.148;-1.180;-74.19;1.390;-0.150;14.04;0.109;-0.006;3.58;0.565;
1;6;2.500;0.000;-3.600;;0.044;-2.811;-86.14;2.787;-0.085;4.30;-0.005;-0.028;38.75;0.763;
1;7;3.000;0.000;-3.600;;0.044;-3.263;46.23;3.193;0.364;-43.09;0.216;-0.047;35.07;0.898;
1;8;3.500;0.000;-3.600;;0.072;0.007;-50.45;0.536;-0.041;8.96;0.281;0.006;5.99;0.246;
1;9;4.000;0.000;-3.600;;0.049;-0.488;-85.43;0.880;-0.048;2.61;0.196;0.000;-0.07;0.122;
1;10;4.500;0.000;-3.600;;0.014;-0.845;-84.28;1.165;-0.017;4.13;0.161;-0.003;-0.05;0.158;
1;11;5.000;0.000;-3.600;;0.084;-1.297;-85.17;1.569;-0.086;4.04;0.137;-0.002;0.11;0.205;
1;12;5.500;0.000;-3.600;;0.024;-2.299;89.68;2.515;-0.041;0.09;0.108;-0.009;4.12;0.335;
1;13;6.000;0.000;-3.600;;-0.778;-2.780;79.63;3.117;0.847;-6.11;0.187;0.017;12.86;0.664;
1;14;6.500;0.000;-3.600;;-0.013;-1.284;88.30;1.723;0.019;-0.38;0.221;0.001;3.48;0.163;
1;15;7.000;0.000;-3.600;;0.062;-1.200;87.49;1.575;-0.062;-1.96;0.188;-0.001;-0.11;0.055;
1;16;7.500;0.000;-3.600;;0.005;-1.195;89.23;1.555;-0.010;-0.59;0.180;-0.003;0.00;0.016;
1;17;8.000;0.000;-3.600;;0.062;-1.253;-89.14;1.626;-0.064;0.70;0.187;-0.001;0.12;0.035;
1;18;8.500;0.000;-3.600;;-0.012;-1.417;89.91;1.849;0.014;-0.81;0.216;0.001;-3.15;0.152;
1;19;9.000;0.000;-3.600;;-0.795;-2.863;-83.69;3.228;0.857;3.84;0.192;0.022;-9.70;0.662;
1;20;9.500;0.000;-3.600;;0.020;-2.379;89.49;2.623;-0.036;-0.74;0.122;-0.008;-2.81;0.344;
1;21;10.000;0.000;-3.600;;0.086;-1.447;84.76;1.736;-0.087;-4.42;0.145;-0.002;-0.13;0.221;
1;22;10.500;0.000;-3.600;;0.014;-1.021;84.30;1.350;-0.017;-4.28;0.166;-0.002;0.07;0.172;
1;23;11.000;0.000;-3.600;;0.053;-0.670;85.72;1.066;-0.051;-2.71;0.199;0.000;0.15;0.135;
1;24;11.500;0.000;-3.600;;0.037;-0.110;72.70;0.671;-0.020;-8.45;0.283;0.006;-6.13;0.256;
1;25;12.000;0.000;-3.600;;0.063;-3.280;-46.90;3.218;0.357;41.90;0.223;-0.044;-34.86;0.885;
1;26;12.500;0.000;-3.600;;0.047;-2.670;88.50;2.715;-0.088;-2.51;0.034;-0.031;-26.14;0.676;
1;27;13.000;0.000;-3.600;;0.146;-0.938;73.10;1.166;-0.140;-13.84;0.122;-0.005;-0.42;0.460;
1;28;13.500;0.000;-3.600;;0.217;-0.188;41.46;0.474;-0.090;-23.24;0.213;-0.006;-0.49;0.404;
1;29;14.000;0.000;-3.600;;0.852;0.007;13.45;0.133;-0.278;-49.01;0.353;0.004;-0.97;0.355;
1;30;14.500;0.000;-3.600;;2.099;0.045;-0.94;0.076;-0.850;-79.49;0.656;0.029;-9.28;0.406;
1;31;15.000;0.000;-3.600;;3.901;0.053;-14.29;0.392;-1.566;80.68;1.182;0.208;-19.29;0.524;
1;32;0.000;0.500;-3.600;;1.429;0.275;6.43;-0.260;-1.459;87.41;0.089;-0.096;50.34;0.155;
1;33;0.500;0.500;-3.600;;1.217;0.183;-10.60;0.110;-1.062;65.76;0.246;-0.023;34.81;0.118;
1;34;1.000;0.500;-3.600;;0.842;-0.065;-24.78;0.419;-0.752;46.90;0.286;-0.064;21.55;0.153;
1;35;1.500;0.500;-3.600;;0.300;-0.416;-54.14;0.920;-0.396;30.75;0.258;-0.054;24.88;0.167;
1;36;2.000;0.500;-3.600;;0.230;-1.208;-71.47;1.610;-0.192;20.03;0.203;0.017;25.89;0.171;
1;37;2.500;0.500;-3.600;;-0.081;-1.906;-81.39;2.261;0.032;9.52;0.178;-0.026;13.59;0.236;
1;38;3.000;0.500;-3.600;;-0.030;-1.796;71.94;2.052;0.129;-13.58;0.169;0.009;15.23;0.364;
1;39;3.500;0.500;-3.600;;0.180;-0.424;79.42;0.737;-0.118;-1.52;0.178;0.009;15.32;0.095;
1;40;4.000;0.500;-3.600;;0.121;-0.564;88.82;0.922;-0.102;2.81;0.184;0.004;10.48;0.047;
1;41;4.500;0.500;-3.600;;0.116;-0.859;-85.89;1.196;-0.110;4.79;0.169;0.002;6.77;0.069;
1;42;5.000;0.500;-3.600;;0.086;-1.266;-86.46;1.586;-0.086;3.92;0.160;0.000;5.52;0.114;
