Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;1;0.000;0.000;-3.600;;0.13;-0.02;10.23;0.02;-0.05;89.15;
1;2;0.500;0.000;-3.600;;0.07;-0.01;-3.46;0.01;-0.03;68.25;
1;3;1.000;0.000;-3.600;;0.03;-0.01;-16.03;0.01;-0.01;42.89;
1;4;1.500;0.000;-3.600;;0.01;-0.01;-43.76;0.02;-0.01;27.07;
1;5;2.000;0.000;-3.600;;0.01;-0.04;-74.19;0.05;-0.01;14.04;
1;6;2.500;0.000;-3.600;;0.02;-0.09;-86.14;0.09;-0.02;4.30;
1;7;3.000;0.000;-3.600;;0.02;-0.11;46.23;0.10;-0.01;-43.09;
1;8;3.500;0.000;-3.600;;0.00;0.00;-50.45;0.02;0.00;8.96;
1;9;4.000;0.000;-3.600;;0.00;-0.02;-85.43;0.03;-0.01;2.61;
1;10;4.500;0.000;-3.600;;0.01;-0.03;-84.28;0.04;-0.01;4.13;
1;11;5.000;0.000;-3.600;;0.01;-0.04;-85.17;0.05;-0.01;4.04;
1;12;5.500;0.000;-3.600;;0.02;-0.08;89.68;0.08;-0.02;0.09;
1;13;6.000;0.000;-3.600;;-0.01;-0.09;79.63;0.10;0.01;-6.11;
1;14;6.500;0.000;-3.600;;0.01;-0.04;88.30;0.06;-0.01;-0.38;
1;15;7.000;0.000;-3.600;;0.01;-0.04;87.49;0.05;-0.01;-1.96;
1;16;7.500;0.000;-3.600;;0.01;-0.04;89.23;0.05;-0.01;-0.59;
1;17;8.000;0.000;-3.600;;0.01;-0.04;-89.14;0.05;-0.01;0.70;
1;18;8.500;0.000;-3.600;;0.01;-0.05;89.91;0.06;-0.01;-0.81;
1;19;9.000;0.000;-3.600;;-0.01;-0.09;-83.69;0.10;0.01;3.84;
1;20;9.500;0.000;-3.600;;0.02;-0.08;89.49;0.09;-0.02;-0.74;
1;21;10.000;0.000;-3.600;;0.01;-0.05;84.76;0.06;-0.01;-4.42;
1;22;10.500;0.000;-3.600;;0.01;-0.03;84.30;0.05;-0.01;-4.28;
1;23;11.000;0.000;-3.600;;0.01;-0.02;85.72;0.04;-0.01;-2.71;
1;24;11.500;0.000;-3.600;;0.00;0.00;72.70;0.02;-0.01;-8.45;
1;25;12.000;0.000;-3.600;;0.02;-0.11;-46.90;0.10;-0.01;41.90;
1;26;12.500;0.000;-3.600;;0.02;-0.09;88.50;0.09;-0.02;-2.51;
1;27;13.000;0.000;-3.600;;0.01;-0.03;73.10;0.04;-0.01;-13.84;
1;28;13.500;0.000;-3.600;;0.01;-0.01;41.46;0.02;-0.01;-23.24;
1;29;14.000;0.000;-3.600;;0.03;-0.01;13.45;0.01;-0.01;-49.01;
1;30;14.500;0.000;-3.600;;0.07;-0.01;-0.94;0.01;-0.03;-79.49;
1;31;15.000;0.000;-3.600;;0.13;-0.02;-14.29;0.02;-0.05;80.68;
1;32;0.000;0.500;-3.600;;0.05;0.00;6.43;0.00;-0.05;87.41;
1;33;0.500;0.500;-3.600;;0.04;0.00;-10.60;0.01;-0.04;65.76;
1;34;1.000;0.500;-3.600;;0.03;-0.01;-24.78;0.02;-0.03;46.90;
1;35;1.500;0.500;-3.600;;0.01;-0.02;-54.14;0.03;-0.02;30.75;
1;36;2.000;0.500;-3.600;;0.02;-0.04;-71.47;0.05;-0.02;20.03;
1;37;2.500;0.500;-3.600;;0.01;-0.06;-81.39;0.08;-0.01;9.52;
1;38;3.000;0.500;-3.600;;0.01;-0.06;71.94;0.07;-0.01;-13.58;
1;39;3.500;0.500;-3.600;;0.01;-0.02;79.42;0.03;-0.01;-1.52;
1;40;4.000;0.500;-3.600;;0.01;-0.02;88.82;0.03;-0.01;2.81;
1;41;4.500;0.500;-3.600;;0.01;-0.03;-85.89;0.04;-0.01;4.79;
1;42;5.000;0.500;-3.600;;0.01;-0.04;-86.46;0.05;-0.01;3.92;
1;43;5.500;0.500;-3.600;;0.01;-0.06;-89.18;0.07;-0.01;1.38;
1;44;6.000;0.500;-3.600;;0.01;-0.07;83.48;0.08;-0.01;-5.03;
1;45;6.500;0.500;-3.600;;0.01;-0.05;85.09;0.06;-0.01;-2.98;
1;46;7.000;0.500;-3.600;;0.01;-0.04;86.10;0.05;-0.01;-2.46;
1;47;7.500;0.500;-3.600;;0.01;-0.04;88.78;0.05;-0.01;-0.95;
1;48;8.000;0.500;-3.600;;0.01;-0.04;-88.62;0.06;-0.01;0.54;
1;49;8.500;0.500;-3.600;;0.01;-0.05;-87.50;0.06;-0.01;1.12;
1;50;9.000;0.500;-3.600;;0.01;-0.07;-86.00;0.09;-0.01;2.93;
1;51;9.500;0.500;-3.600;;0.01;-0.07;87.74;0.08;-0.01;-2.44;
1;52;10.000;0.500;-3.600;;0.01;-0.05;85.21;0.06;-0.01;-4.73;
1;53;10.500;0.500;-3.600;;0.01;-0.04;84.94;0.05;-0.01;-5.23;
1;54;11.000;0.500;-3.600;;0.01;-0.03;89.71;0.04;-0.01;-2.96;
1;55;11.500;0.500;-3.600;;0.01;-0.02;-81.73;0.03;-0.01;1.61;
1;56;12.000;0.500;-3.600;;0.01;-0.06;-72.42;0.07;-0.01;13.74;
1;57;12.500;0.500;-3.600;;0.01;-0.06;86.82;0.07;-0.01;-5.47;
1;58;13.000;0.500;-3.600;;0.01;-0.03;77.14;0.04;-0.01;-14.73;
1;59;13.500;0.500;-3.600;;0.01;-0.01;56.85;0.02;-0.02;-28.36;
1;60;14.000;0.500;-3.600;;0.02;0.00;14.43;0.01;-0.02;-50.40;
1;61;14.500;0.500;-3.600;;0.04;0.00;-5.89;0.00;-0.03;-76.33;
1;62;15.000;0.500;-3.600;;0.05;0.00;-19.35;0.00;-0.05;79.07;
1;63;0.000;1.000;-3.600;;0.02;0.00;-16.56;0.00;-0.02;71.24;
1;64;0.500;1.000;-3.600;;0.02;0.00;-31.70;0.01;-0.03;62.10;
1;65;1.000;1.000;-3.600;;0.02;0.00;-44.07;0.01;-0.03;46.77;
1;66;1.500;1.000;-3.600;;0.01;-0.02;-60.91;0.03;-0.02;26.30;
1;67;2.000;1.000;-3.600;;0.01;-0.03;-60.69;0.06;-0.02;28.81;
1;68;2.500;1.000;-3.600;;0.01;-0.04;-81.53;0.06;-0.02;11.60;
1;69;3.000;1.000;-3.600;;0.01;-0.04;84.69;0.05;-0.01;-2.46;
1;70;3.500;1.000;-3.600;;0.01;-0.02;83.63;0.03;-0.01;-2.19;
1;71;4.000;1.000;-3.600;;0.01;-0.02;88.19;0.03;-0.01;1.27;
1;72;4.500;1.000;-3.600;;0.01;-0.03;-87.84;0.04;-0.02;3.40;
1;73;5.000;1.000;-3.600;;0.02;-0.04;-87.06;0.05;-0.02;3.33;
1;74;5.500;1.000;-3.600;;0.02;-0.06;-89.66;0.07;-0.02;0.67;
1;75;6.000;1.000;-3.600;;0.02;-0.06;86.42;0.07;-0.02;-3.02;
1;76;6.500;1.000;-3.600;;0.02;-0.05;85.46;0.06;-0.02;-3.44;
1;77;7.000;1.000;-3.600;;0.02;-0.05;86.10;0.06;-0.02;-2.92;
1;78;7.500;1.000;-3.600;;0.02;-0.04;88.64;0.06;-0.02;-1.12;
1;79;8.000;1.000;-3.600;;0.02;-0.05;-88.78;0.06;-0.02;0.69;
1;80;8.500;1.000;-3.600;;0.02;-0.05;-88.00;0.06;-0.02;1.27;
1;81;9.000;1.000;-3.600;;0.02;-0.07;-88.66;0.08;-0.02;1.06;
1;82;9.500;1.000;-3.600;;0.02;-0.06;87.71;0.07;-0.02;-2.25;
1;83;10.000;1.000;-3.600;;0.02;-0.05;85.37;0.06;-0.02;-4.55;
1;84;10.500;1.000;-3.600;;0.02;-0.04;86.21;0.05;-0.02;-4.30;
1;85;11.000;1.000;-3.600;;0.01;-0.03;-89.86;0.04;-0.02;-1.72;
1;86;11.500;1.000;-3.600;;0.02;-0.03;-84.91;0.04;-0.02;2.41;
1;87;12.000;1.000;-3.600;;0.02;-0.05;-83.30;0.06;-0.02;5.00;
1;88;12.500;1.000;-3.600;;0.02;-0.05;87.24;0.06;-0.02;-4.58;
1;89;13.000;1.000;-3.600;;0.01;-0.03;78.93;0.04;-0.02;-13.62;
1;90;13.500;1.000;-3.600;;0.01;-0.01;69.12;0.02;-0.02;-24.84;
1;91;14.000;1.000;-3.600;;0.01;0.00;35.66;0.01;-0.02;-46.46;
1;92;14.500;1.000;-3.600;;0.02;0.01;-9.40;0.00;-0.02;-79.61;
1;93;15.000;1.000;-3.600;;0.02;0.00;-19.49;-0.01;-0.02;67.44;
1;94;0.000;1.500;-3.600;;0.01;0.00;-30.46;0.00;-0.02;48.43;
1;95;0.500;1.500;-3.600;;0.02;0.00;-54.76;0.00;-0.02;44.91;
1;96;1.000;1.500;-3.600;;0.02;0.00;-70.54;0.01;-0.02;36.41;
1;98;2.000;1.500;-3.600;;0.02;-0.02;-70.86;0.02;-0.02;24.10;
1;99;2.500;1.500;-3.600;;0.02;-0.03;-83.81;0.04;-0.02;9.51;
1;100;3.000;1.500;-3.600;;0.02;-0.03;89.58;0.04;-0.02;2.32;
1;101;3.500;1.500;-3.600;;0.02;-0.03;87.45;0.03;-0.02;-0.53;
1;102;4.000;1.500;-3.600;;0.02;-0.03;88.13;0.04;-0.02;-0.12;
1;103;4.500;1.500;-3.600;;0.02;-0.03;89.98;0.04;-0.02;0.90;
1;104;5.000;1.500;-3.600;;0.02;-0.04;-89.43;0.05;-0.02;0.99;
1;105;5.500;1.500;-3.600;;0.02;-0.05;89.49;0.06;-0.02;-0.23;
1;106;6.000;1.500;-3.600;;0.02;-0.06;87.71;0.07;-0.02;-1.93;
1;107;6.500;1.500;-3.600;;0.02;-0.05;86.99;0.06;-0.02;-2.45;
1;108;7.000;1.500;-3.600;;0.02;-0.05;87.15;0.06;-0.02;-2.30;
1;109;7.500;1.500;-3.600;;0.02;-0.05;88.65;0.06;-0.02;-1.17;
1;110;8.000;1.500;-3.600;;0.02;-0.05;-89.78;0.06;-0.02;0.02;
1;111;8.500;1.500;-3.600;;0.02;-0.05;-89.40;0.07;-0.02;0.32;
1;112;9.000;1.500;-3.600;;0.02;-0.06;-89.87;0.07;-0.02;0.01;
1;113;9.500;1.500;-3.600;;0.02;-0.06;88.37;0.07;-0.02;-1.58;
1;114;10.000;1.500;-3.600;;0.02;-0.05;87.25;0.06;-0.02;-2.73;
1;115;10.500;1.500;-3.600;;0.02;-0.04;87.85;0.05;-0.02;-2.46;
