Point No.;Location [m];;;Mass - Translational Direction [kg];;;Mass - Rotational Direction [kgm^2 ];;;
;X;Y;Z;m_X;m_Y;m_Z;m_φX;m_φY;m_φZ;
1;0.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
2;0.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
3;0.000;0.000;-7.600;19333.3;19333.3;19333.3;0.00;0.00;0.00;
4;3.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
5;3.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
6;3.000;0.000;-7.600;6000.0;6000.0;6000.0;0.00;0.00;0.00;
7;6.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
8;6.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
9;6.000;0.000;-7.600;6000.0;6000.0;6000.0;0.00;0.00;0.00;
10;9.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
11;9.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
12;9.000;0.000;-7.600;6000.0;6000.0;6000.0;0.00;0.00;0.00;
13;12.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
14;12.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
15;12.000;0.000;-7.600;6000.0;6000.0;6000.0;0.00;0.00;0.00;
16;15.000;0.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
17;15.000;0.000;-3.600;5927.1;5927.1;5927.1;0.00;0.00;0.00;
18;15.000;0.000;-7.600;18500.0;18500.0;18500.0;0.00;0.00;0.00;
19;0.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
20;0.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
21;0.000;4.000;-7.600;16666.7;16666.7;16666.7;0.00;0.00;0.00;
22;3.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
23;3.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
24;3.000;4.000;-7.600;10833.3;10833.3;10833.3;0.00;0.00;0.00;
25;6.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
26;6.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
27;6.000;4.000;-7.600;6666.7;6666.7;6666.7;0.00;0.00;0.00;
28;9.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
29;9.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
30;9.000;4.000;-7.600;6666.7;6666.7;6666.7;0.00;0.00;0.00;
31;12.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
32;12.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
33;12.000;4.000;-7.600;6666.7;6666.7;6666.7;0.00;0.00;0.00;
34;15.000;4.000;0.000;2400.0;2400.0;2400.0;0.00;0.00;0.00;
35;15.000;4.000;-3.600;6156.3;6156.3;6156.3;0.00;0.00;0.00;
36;15.000;4.000;-7.600;19166.7;19166.7;19166.7;0.00;0.00;0.00;
37;1.000;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
38;1.000;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
39;2.000;2.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
40;2.000;1.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
41;2.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
42;1.000;0.000;-3.600;0.0;0.0;0.0;0.00;0.00;0.00;
43;3.000;1.000;-3.600;625.0;625.0;625.0;0.00;0.00;0.00;
44;3.000;2.000;-3.600;750.0;750.0;750.0;0.00;0.00;0.00;
45;3.000;3.000;-3.600;875.0;875.0;875.0;0.00;0.00;0.00;
46;6.000;1.000;-3.600;625.0;625.0;625.0;0.00;0.00;0.00;
47;6.000;2.000;-3.600;750.0;750.0;750.0;0.00;0.00;0.00;
48;6.000;3.000;-3.600;875.0;875.0;875.0;0.00;0.00;0.00;
49;9.000;1.000;-3.600;625.0;625.0;625.0;0.00;0.00;0.00;
50;9.000;2.000;-3.600;750.0;750.0;750.0;0.00;0.00;0.00;
