Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
1;1;1;0.000;0.00000;0.00000;-0.14496;0.00000;0.00000;0.00000;concrete column
1;1;2;3.600;0.03853;0.00227;-0.14502;0.00136;-0.01947;-0.00008;concrete column
1;2;2;0.000;0.03853;0.00227;-0.14502;0.00136;-0.01947;-0.00008;steel column
1;2;3;4.000;0.54607;0.07415;-0.14554;0.01481;-0.04278;-0.00474;steel column
1;3;4;0.000;0.00000;0.00000;-0.08649;0.00000;0.00000;0.00000;concrete column
1;3;5;3.600;0.03848;0.00184;-0.08653;0.00050;-0.01880;-0.00015;concrete column
1;4;5;0.000;0.03848;0.00184;-0.08653;0.00050;-0.01880;-0.00015;steel column
1;4;6;4.000;0.50681;-0.05360;-0.08645;-0.01299;-0.16596;-0.03082;steel column
1;5;7;0.000;0.00000;0.00000;-0.02999;0.00000;0.00000;0.00000;concrete column
1;5;8;3.600;0.03849;0.00146;-0.03001;0.00054;-0.01865;-0.00013;concrete column
1;6;8;0.000;0.03849;0.00146;-0.03001;0.00054;-0.01865;-0.00013;steel column
1;6;9;4.000;0.57759;0.00430;-0.03002;0.00071;-0.19254;-0.09965;steel column
1;7;10;0.000;0.00000;0.00000;0.02636;0.00000;0.00000;0.00000;concrete column
1;7;11;3.600;0.03852;0.00111;0.02638;0.00055;-0.01871;-0.00012;concrete column
1;8;11;0.000;0.03852;0.00111;0.02638;0.00055;-0.01871;-0.00012;steel column
1;8;12;4.000;0.57885;0.00383;0.02638;0.00067;-0.19297;-0.09982;steel column
1;9;13;0.000;0.00000;0.00000;0.08318;0.00000;0.00000;0.00000;concrete column
1;9;14;3.600;0.03855;0.00080;0.08322;0.00057;-0.01890;-0.00011;concrete column
1;10;14;0.000;0.03855;0.00080;0.08322;0.00057;-0.01890;-0.00011;steel column
1;10;15;4.000;0.58301;0.00351;0.08325;0.00067;-0.19442;-0.10062;steel column
1;11;16;0.000;0.00000;0.00000;0.14087;0.00000;0.00000;0.00000;concrete column
