Mode No.;Node;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;1;0.00000;0.00000;-0.14496;0.00000;0.00000;0.00000;concrete part
1;2;0.03853;0.00227;-0.14502;0.00136;-0.01947;-0.00008;concrete top + steel bottom
1;3;0.54607;0.07415;-0.14554;0.01481;-0.04278;-0.00473;steel top
1;4;0.00000;0.00000;-0.08649;0.00000;0.00000;0.00000;concrete part
1;5;0.03848;0.00184;-0.08653;0.00050;-0.01880;-0.00015;concrete top + steel bottom
1;6;0.50681;-0.05360;-0.08645;-0.01299;-0.16596;-0.03082;steel top
1;7;0.00000;0.00000;-0.02999;0.00000;0.00000;0.00000;concrete part
1;8;0.03849;0.00146;-0.03001;0.00054;-0.01865;-0.00013;concrete top + steel bottom
1;9;0.57759;0.00430;-0.03002;0.00071;-0.19254;-0.09965;steel top
1;10;0.00000;0.00000;0.02636;0.00000;0.00000;0.00000;concrete part
1;11;0.03852;0.00111;0.02638;0.00055;-0.01871;-0.00012;concrete top + steel bottom
1;12;0.57885;0.00383;0.02638;0.00067;-0.19297;-0.09982;steel top
1;13;0.00000;0.00000;0.08318;0.00000;0.00000;0.00000;concrete part
1;14;0.03855;0.00080;0.08322;0.00057;-0.01890;-0.00011;concrete top + steel bottom
1;15;0.58301;0.00351;0.08325;0.00067;-0.19442;-0.10062;steel top
1;16;0.00000;0.00000;0.14087;0.00000;0.00000;0.00000;concrete part
1;17;0.03861;0.00052;0.14093;0.00048;-0.01936;-0.00004;concrete top + steel bottom
1;18;0.54585;0.01007;0.14127;0.00261;-0.04506;-0.00285;steel top
1;19;0.00000;0.00000;-0.13989;0.00000;0.00000;0.00000;concrete part
1;20;0.03902;0.00227;-0.13996;0.00131;-0.01875;-0.00014;concrete top + steel bottom
1;21;0.39797;0.07387;-0.14012;0.01738;-0.03557;-0.00342;steel top
1;22;0.00000;0.00000;-0.08406;0.00000;0.00000;0.00000;concrete part
1;23;0.03900;0.00184;-0.08410;0.00059;-0.01877;-0.00012;concrete top + steel bottom
1;24;0.72146;-0.05398;-0.08422;-0.01689;-0.23701;-0.09693;steel top
1;25;0.00000;0.00000;-0.02783;0.00000;0.00000;0.00000;concrete part
1;26;0.03899;0.00146;-0.02784;0.00056;-0.01902;-0.00012;concrete top + steel bottom
1;27;0.98692;0.00430;-0.02785;0.00070;-0.34526;-0.09965;steel top
1;28;0.00000;0.00000;0.02851;0.00000;0.00000;0.00000;concrete part
1;29;0.03897;0.00111;0.02852;0.00052;-0.01908;-0.00011;concrete top + steel bottom
1;30;0.98889;0.00383;0.02854;0.00068;-0.34598;-0.09982;steel top
1;31;0.00000;0.00000;0.08540;0.00000;0.00000;0.00000;concrete part
1;32;0.03896;0.00080;0.08544;0.00051;-0.01930;-0.00010;concrete top + steel bottom
1;33;0.99633;0.00351;0.08547;0.00069;-0.34866;-0.10062;steel top
1;34;0.00000;0.00000;0.14285;0.00000;0.00000;0.00000;concrete part
1;35;0.03895;0.00052;0.14292;0.00049;-0.01899;-0.00009;concrete top + steel bottom
1;36;0.39804;0.01007;0.14323;0.00269;-0.03554;-0.00346;steel top
1;37;0.03863;0.00214;-0.12437;0.00105;-0.01939;-0.00012;opening node
1;38;0.03874;0.00213;-0.12334;0.00103;-0.01907;-0.00014;opening node
1;39;0.03874;0.00198;-0.10431;0.00075;-0.01895;-0.00013;opening node
1;40;0.03862;0.00198;-0.10504;0.00074;-0.01920;-0.00013;opening node
;;;;;;;;
2;1;0.00000;0.00000;0.00229;0.00000;0.00000;0.00000;concrete part
2;2;-0.00007;0.00003;0.00229;0.00006;0.00022;0.00000;concrete top + steel bottom
2;3;-0.00192;-0.00009;0.00230;-0.00001;0.00010;0.00006;steel top
2;4;0.00000;0.00000;0.00126;0.00000;0.00000;0.00000;concrete part
2;5;-0.00007;0.00004;0.00126;0.00007;0.00038;0.00000;concrete top + steel bottom
