Member No.;Node No.;;Length;Mode;Effective Length [m];;Effective Length Factor [--];;Critical Load;
;Start;End;L [m];No.;L_cr,u;L_cr,v;k_cr,u;k_cr,v;N_cr [kN];Member Comment
1;1;2;3.600;1;8.699;8.699;2.416;2.416;20378.400;concrete column
1;1;2;3.600;2;7.966;7.966;2.213;2.213;24304.500;concrete column
1;1;2;3.600;3;7.892;7.892;2.192;2.192;24761.900;concrete column
1;1;2;3.600;4;7.050;7.050;1.958;1.958;31024.200;concrete column
;;;;;;;;;;
2;2;3;4.000;1;7.291;4.323;1.823;1.081;2221.040;steel column
2;2;3;4.000;2;6.676;3.959;1.669;0.990;2648.940;steel column
2;2;3;4.000;3;6.614;3.922;1.653;0.981;2698.790;steel column
2;2;3;4.000;4;5.909;3.504;1.477;0.876;3381.310;steel column
;;;;;;;;;;
3;4;5;3.600;1;8.659;8.659;2.405;2.405;20566.600;concrete column
3;4;5;3.600;2;7.929;7.929;2.203;2.203;24528.900;concrete column
3;4;5;3.600;3;7.855;7.855;2.182;2.182;24990.600;concrete column
3;4;5;3.600;4;7.018;7.018;1.949;1.949;31310.600;concrete column
;;;;;;;;;;
4;5;6;4.000;1;18.576;11.016;4.644;2.754;342.107;steel column
4;5;6;4.000;2;17.010;10.087;4.253;2.522;408.016;steel column
4;5;6;4.000;3;16.852;9.993;4.213;2.498;415.696;steel column
4;5;6;4.000;4;15.056;8.928;3.764;2.232;520.824;steel column
;;;;;;;;;;
5;7;8;3.600;1;8.630;8.630;2.397;2.397;20705.900;concrete column
5;7;8;3.600;2;7.902;7.902;2.195;2.195;24695.000;concrete column
5;7;8;3.600;3;7.829;7.829;2.175;2.175;25159.800;concrete column
5;7;8;3.600;4;6.994;6.994;1.943;1.943;31522.700;concrete column
;;;;;;;;;;
6;8;9;4.000;1;18.833;11.168;4.708;2.792;332.853;steel column
6;8;9;4.000;2;17.245;10.226;4.311;2.557;396.979;steel column
6;8;9;4.000;3;17.085;10.131;4.271;2.533;404.451;steel column
6;8;9;4.000;4;15.263;9.051;3.816;2.263;506.735;steel column
;;;;;;;;;;
7;10;11;3.600;1;8.618;8.618;2.394;2.394;20763.400;concrete column
7;10;11;3.600;2;7.891;7.891;2.192;2.192;24763.600;concrete column
7;10;11;3.600;3;7.818;7.818;2.172;2.172;25229.800;concrete column
7;10;11;3.600;4;6.985;6.985;1.940;1.940;31610.300;concrete column
;;;;;;;;;;
8;11;12;4.000;1;18.833;11.168;4.708;2.792;332.837;steel column
8;11;12;4.000;2;17.245;10.226;4.311;2.557;396.960;steel column
8;11;12;4.000;3;17.085;10.132;4.271;2.533;404.432;steel column
8;11;12;4.000;4;15.264;9.051;3.816;2.263;506.711;steel column
;;;;;;;;;;
