Node No.;Mode;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;1;0.00000;0.00000;-0.15700;0.00000;0.00000;0.00000;concrete part
1;2;0.00000;0.00000;-0.12729;0.00000;0.00000;0.00000;concrete part
1;3;0.00000;0.00000;-0.07467;0.00000;0.00000;0.00000;concrete part
1;4;0.00000;0.00000;-0.05462;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
2;1;0.04726;-0.00547;-0.15708;-0.00301;-0.02381;0.00015;concrete top + steel bottom
2;2;0.00164;0.13165;-0.12735;0.06104;-0.00027;-0.00003;concrete top + steel bottom
2;3;0.00820;0.05377;-0.07471;0.02499;-0.00530;0.00054;concrete top + steel bottom
2;4;-0.00093;0.03689;-0.05465;0.01757;-0.00389;-0.00359;concrete top + steel bottom
;;;;;;;;
3;1;0.84652;-0.09503;-0.15728;-0.02316;-0.05936;0.00528;steel top
3;2;-0.49869;0.83609;-0.12802;0.17201;0.02958;-0.01185;steel top
3;3;0.86220;0.15185;-0.07509;0.02392;-0.04554;0.03112;steel top
3;4;0.08785;0.76774;-0.05590;0.16685;-0.00352;-0.10412;steel top
;;;;;;;;
4;1;0.00000;0.00000;-0.08974;0.00000;0.00000;0.00000;concrete part
4;2;0.00000;0.00000;-0.12176;0.00000;0.00000;0.00000;concrete part
4;3;0.00000;0.00000;-0.06346;0.00000;0.00000;0.00000;concrete part
4;4;0.00000;0.00000;-0.03479;0.00000;0.00000;0.00000;concrete part
;;;;;;;;
5;1;0.04722;-0.00507;-0.08978;-0.00237;-0.02142;0.00011;concrete top + steel bottom
5;2;0.00166;0.13153;-0.12182;0.05906;-0.00127;-0.00002;concrete top + steel bottom
5;3;0.00819;0.05546;-0.06349;0.02482;-0.00322;0.00053;concrete top + steel bottom
5;4;-0.00100;0.02538;-0.03481;0.01128;-0.00394;-0.00366;concrete top + steel bottom
;;;;;;;;
6;1;0.17637;0.00710;-0.08981;0.00329;-0.03813;-0.15927;steel top
6;2;-0.08443;0.40718;-0.12189;0.06901;0.03377;0.02544;steel top
6;3;-0.09346;0.19091;-0.06354;0.03422;0.04072;-0.25435;steel top
6;4;-0.70977;0.08521;-0.03481;0.01577;0.27665;-0.40387;steel top
;;;;;;;;
7;1;0.00000;0.00000;-0.02649;0.00000;0.00000;0.00000;concrete part
7;2;0.00000;0.00000;-0.11767;0.00000;0.00000;0.00000;concrete part
7;3;0.00000;0.00000;-0.05456;0.00000;0.00000;0.00000;concrete part
