Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_x;u_y / u_u;u_z / u_v;φ_x;φ_y / φ_u;φ_z / φ_v;Section (Material) | Member Comment
1;1;0.0000000000000000;M;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;;113.7;-113.7;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;;113.7;-113.7;0.0;0.0;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;;113.8;-113.8;0.0;0.1;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;1;0.0000000000000000;M;u_x;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;u_x;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;u_y;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;u_y;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;u_z;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;u_z;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;M;φ_x;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;φ_x;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;φ_y;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;φ_y;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;φ_z;113.8;-113.8;0.0;0.2;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;φ_z;113.7;-113.7;0.0;0.0;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;113.8;-113.7;0.0;0.2;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
