Surface No.;Grid;Grid Point Coordinates [m];;;;Axial stresses [N/mm^2 ];;;;Shear stresses [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_x,+;σ_y,+;σ_x,-;σ_y,-;τ_xy,+;τ_xy,-;τ_xz;τ_yz;Surface Comment
1;1;0.000;0.000;-3.600;;-1.518;-0.307;1.352;0.253;-0.394;0.343;0.396;0.185;
1;2;0.500;0.000;-3.600;;-0.570;0.033;0.468;-0.037;0.012;-0.025;0.222;0.018;
1;3;1.000;0.000;-3.600;;-0.002;0.037;-0.055;-0.038;0.051;-0.053;0.115;0.004;
1;4;1.500;0.000;-3.600;;0.238;0.012;-0.266;-0.014;0.055;-0.060;0.070;0.012;
1;5;2.000;0.000;-3.600;;0.394;0.019;-0.396;-0.019;-0.010;0.009;0.032;0.004;
1;6;2.500;0.000;-3.600;;0.482;0.020;-0.452;-0.013;-0.044;0.036;-0.008;-0.035;
1;7;3.000;0.000;-3.600;;-0.381;-0.186;0.336;0.169;-0.220;0.180;0.165;0.185;
1;8;3.500;0.000;-3.600;;-0.181;0.049;0.088;-0.053;0.069;-0.082;0.219;0.018;
1;9;4.000;0.000;-3.600;;0.313;0.025;-0.371;-0.025;0.076;-0.075;0.105;0.004;
1;10;4.500;0.000;-3.600;;0.462;0.017;-0.504;-0.016;0.031;-0.031;0.046;0.012;
1;11;5.000;0.000;-3.600;;0.517;0.022;-0.549;-0.021;-0.015;0.015;-0.011;0.014;
1;12;5.500;0.000;-3.600;;0.454;0.023;-0.475;-0.019;-0.071;0.068;-0.084;-0.018;
1;13;6.000;0.000;-3.600;;-0.262;-0.187;0.208;0.171;-0.099;0.083;0.071;0.182;
1;14;6.500;0.000;-3.600;;0.153;0.022;-0.222;-0.023;0.075;-0.081;0.173;0.008;
1;15;7.000;0.000;-3.600;;0.467;0.023;-0.521;-0.023;0.051;-0.050;0.070;0.008;
1;16;7.500;0.000;-3.600;;0.533;0.017;-0.583;-0.015;0.007;-0.007;0.010;0.013;
1;17;8.000;0.000;-3.600;;0.500;0.023;-0.552;-0.022;-0.037;0.036;-0.050;0.010;
1;18;8.500;0.000;-3.600;;0.253;0.030;-0.317;-0.030;-0.071;0.076;-0.144;0.000;
1;19;9.000;0.000;-3.600;;-0.287;-0.155;0.233;0.138;0.041;-0.028;-0.023;0.182;
1;20;9.500;0.000;-3.600;;0.364;0.028;-0.389;-0.025;0.077;-0.074;0.117;-0.009;
1;21;10.000;0.000;-3.600;;0.508;0.023;-0.542;-0.022;0.030;-0.030;0.033;0.012;
1;22;10.500;0.000;-3.600;;0.491;0.016;-0.532;-0.015;-0.015;0.014;-0.025;0.013;
1;23;11.000;0.000;-3.600;;0.377;0.022;-0.432;-0.023;-0.058;0.057;-0.085;0.006;
1;24;11.500;0.000;-3.600;;-0.040;0.037;-0.048;-0.041;-0.068;0.081;-0.193;0.012;
1;25;12.000;0.000;-3.600;;-0.372;-0.174;0.332;0.160;0.162;-0.124;-0.110;0.184;
1;26;12.500;0.000;-3.600;;0.426;0.023;-0.401;-0.016;0.069;-0.059;0.056;-0.027;
1;27;13.000;0.000;-3.600;;0.404;0.022;-0.410;-0.021;0.008;-0.008;-0.006;0.015;
