Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Bach [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Bach,Max;σ_eqv,Bach,+;σ_eqv,Bach,-;σ_eqv,Bach,m;Surface Comment
1;1;0.000;0.000;-3.600;;1.597;1.597;1.420;0.089;
1;2;0.500;0.000;-3.600;;0.577;0.577;0.477;0.051;
1;3;1.000;0.000;-3.600;;0.101;0.080;0.101;0.028;
1;4;1.500;0.000;-3.600;;0.279;0.251;0.279;0.014;
1;5;2.000;0.000;-3.600;;0.393;0.391;0.393;0.001;
1;6;2.500;0.000;-3.600;;0.483;0.483;0.453;0.016;
1;7;3.000;0.000;-3.600;;0.756;0.756;0.634;0.062;
1;8;3.500;0.000;-3.600;;0.214;0.214;0.144;0.047;
1;9;4.000;0.000;-3.600;;0.385;0.331;0.385;0.029;
1;10;4.500;0.000;-3.600;;0.503;0.461;0.503;0.021;
1;11;5.000;0.000;-3.600;;0.545;0.513;0.545;0.016;
1;12;5.500;0.000;-3.600;;0.483;0.464;0.483;0.011;
1;13;6.000;0.000;-3.600;;0.359;0.359;0.304;0.029;
1;14;6.500;0.000;-3.600;;0.252;0.189;0.252;0.035;
1;15;7.000;0.000;-3.600;;0.522;0.469;0.522;0.027;
1;16;7.500;0.000;-3.600;;0.580;0.530;0.580;0.025;
1;17;8.000;0.000;-3.600;;0.551;0.499;0.551;0.026;
1;18;8.500;0.000;-3.600;;0.334;0.272;0.334;0.032;
1;19;9.000;0.000;-3.600;;0.272;0.272;0.218;0.028;
1;20;9.500;0.000;-3.600;;0.402;0.378;0.402;0.013;
1;21;10.000;0.000;-3.600;;0.539;0.506;0.539;0.017;
1;22;10.500;0.000;-3.600;;0.530;0.488;0.530;0.021;
1;23;11.000;0.000;-3.600;;0.437;0.384;0.437;0.027;
1;24;11.500;0.000;-3.600;;0.133;0.095;0.133;0.045;
1;25;12.000;0.000;-3.600;;0.542;0.542;0.456;0.060;
1;26;12.500;0.000;-3.600;;0.435;0.435;0.408;0.014;
1;27;13.000;0.000;-3.600;;0.406;0.400;0.406;0.003;
1;28;13.500;0.000;-3.600;;0.327;0.301;0.327;0.013;
1;29;14.000;0.000;-3.600;;0.179;0.144;0.179;0.025;
1;30;14.500;0.000;-3.600;;0.465;0.465;0.372;0.050;
1;31;15.000;0.000;-3.600;;1.449;1.449;1.265;0.093;
1;32;0.000;0.500;-3.600;;0.725;0.725;0.720;0.009;
1;33;0.500;0.500;-3.600;;0.313;0.313;0.294;0.018;
1;34;1.000;0.500;-3.600;;0.103;0.081;0.103;0.022;
1;35;1.500;0.500;-3.600;;0.268;0.236;0.268;0.019;
1;36;2.000;0.500;-3.600;;0.368;0.344;0.368;0.015;
1;37;2.500;0.500;-3.600;;0.354;0.327;0.354;0.017;
1;38;3.000;0.500;-3.600;;0.317;0.311;0.302;0.020;
1;39;3.500;0.500;-3.600;;0.150;0.119;0.150;0.024;
1;40;4.000;0.500;-3.600;;0.352;0.301;0.352;0.026;
1;41;4.500;0.500;-3.600;;0.457;0.413;0.457;0.022;
1;42;5.000;0.500;-3.600;;0.488;0.449;0.488;0.021;
1;43;5.500;0.500;-3.600;;0.442;0.405;0.442;0.021;
1;44;6.000;0.500;-3.600;;0.170;0.153;0.170;0.021;
1;45;6.500;0.500;-3.600;;0.296;0.249;0.296;0.024;
1;46;7.000;0.500;-3.600;;0.474;0.423;0.474;0.026;
1;47;7.500;0.500;-3.600;;0.528;0.477;0.528;0.025;
1;48;8.000;0.500;-3.600;;0.497;0.446;0.497;0.026;
1;49;8.500;0.500;-3.600;;0.360;0.312;0.360;0.024;
1;50;9.000;0.500;-3.600;;0.137;0.121;0.137;0.021;
1;51;9.500;0.500;-3.600;;0.404;0.367;0.404;0.021;
1;52;10.000;0.500;-3.600;;0.487;0.447;0.487;0.021;
1;53;10.500;0.500;-3.600;;0.479;0.436;0.479;0.022;
1;54;11.000;0.500;-3.600;;0.393;0.343;0.393;0.025;
1;55;11.500;0.500;-3.600;;0.187;0.144;0.187;0.023;
1;56;12.000;0.500;-3.600;;0.237;0.234;0.223;0.019;
1;57;12.500;0.500;-3.600;;0.360;0.348;0.360;0.015;
1;58;13.000;0.500;-3.600;;0.353;0.337;0.353;0.014;
1;59;13.500;0.500;-3.600;;0.292;0.264;0.292;0.016;
1;60;14.000;0.500;-3.600;;0.184;0.148;0.184;0.021;
1;61;14.500;0.500;-3.600;;0.221;0.221;0.209;0.021;
1;62;15.000;0.500;-3.600;;0.632;0.632;0.624;0.013;
1;63;0.000;1.000;-3.600;;0.309;0.303;0.309;0.004;
1;64;0.500;1.000;-3.600;;0.216;0.203;0.216;0.009;
1;65;1.000;1.000;-3.600;;0.152;0.152;0.151;0.007;
1;66;1.500;1.000;-3.600;;0.312;0.277;0.312;0.019;
1;67;2.000;1.000;-3.600;;0.415;0.362;0.415;0.028;
1;68;2.500;1.000;-3.600;;0.234;0.204;0.234;0.020;
1;69;3.000;1.000;-3.600;;0.215;0.214;0.215;0.013;
1;70;3.500;1.000;-3.600;;0.209;0.191;0.209;0.017;
1;71;4.000;1.000;-3.600;;0.315;0.278;0.315;0.019;
1;72;4.500;1.000;-3.600;;0.402;0.361;0.402;0.020;
1;73;5.000;1.000;-3.600;;0.428;0.387;0.428;0.021;
1;74;5.500;1.000;-3.600;;0.389;0.349;0.389;0.021;
1;75;6.000;1.000;-3.600;;0.268;0.237;0.268;0.021;
1;76;6.500;1.000;-3.600;;0.322;0.279;0.322;0.022;
1;77;7.000;1.000;-3.600;;0.425;0.380;0.425;0.023;
1;78;7.500;1.000;-3.600;;0.471;0.424;0.471;0.024;
1;79;8.000;1.000;-3.600;;0.443;0.397;0.443;0.023;
1;80;8.500;1.000;-3.600;;0.356;0.312;0.356;0.022;
1;81;9.000;1.000;-3.600;;0.272;0.237;0.272;0.021;
1;82;9.500;1.000;-3.600;;0.376;0.336;0.376;0.021;
1;83;10.000;1.000;-3.600;;0.431;0.391;0.431;0.021;
1;84;10.500;1.000;-3.600;;0.424;0.383;0.424;0.021;
1;85;11.000;1.000;-3.600;;0.347;0.309;0.347;0.019;
1;86;11.500;1.000;-3.600;;0.219;0.191;0.219;0.016;
1;87;12.000;1.000;-3.600;;0.211;0.208;0.211;0.014;
1;88;12.500;1.000;-3.600;;0.292;0.276;0.292;0.015;
1;89;13.000;1.000;-3.600;;0.294;0.273;0.294;0.014;
1;90;13.500;1.000;-3.600;;0.244;0.217;0.244;0.014;
1;91;14.000;1.000;-3.600;;0.214;0.196;0.214;0.013;
