Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.0000000000000000;M;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;max;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;M;min;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;1;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;M;ε_x;0.00;0.00;0.00;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
