Node No.;;Support Forces [kN];;;Support Moments [kNm];;;
;;P_x;P_y;P_z;M_x;M_y;M_z;Node Comment
1;P_x;0.02;0.00;0.00;-0.01;-0.05;0.00;concrete part
1;P_x;-0.02;0.00;0.00;0.01;0.05;0.00;concrete part
1;P_y;0.01;0.01;0.01;0.01;0.03;0.00;concrete part
1;P_y;-0.01;-0.01;-0.01;-0.01;-0.03;0.00;concrete part
1;P_z;0.00;0.00;0.01;0.00;0.10;0.00;concrete part
1;P_z;0.00;0.00;-0.01;0.00;-0.10;0.00;concrete part
1;M_x;-0.01;0.00;0.00;0.02;0.00;0.00;concrete part
1;M_x;0.01;0.00;0.00;-0.02;0.00;0.00;concrete part
1;M_y;-0.01;0.00;0.01;0.00;0.10;0.00;concrete part
1;M_y;0.01;0.00;-0.01;0.00;-0.10;0.00;concrete part
1;M_z;0.00;-0.01;0.00;-0.01;0.00;0.00;concrete part
1;M_z;0.00;0.01;0.00;0.01;0.00;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.10;0.00;
1;;-0.02;-0.01;-0.01;-0.02;-0.10;0.00;
1;;;;;;;;
4;P_x;0.02;0.00;-0.01;0.00;-0.09;0.00;concrete part
4;P_x;-0.02;0.00;0.01;0.00;0.09;0.00;concrete part
4;P_y;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
4;P_y;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
4;P_z;-0.01;0.00;0.01;-0.01;0.11;0.00;concrete part
4;P_z;0.01;0.00;-0.01;0.01;-0.11;0.00;concrete part
4;M_x;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
4;M_x;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
4;M_y;-0.02;0.00;0.01;-0.01;0.11;0.00;concrete part
4;M_y;0.02;0.00;-0.01;0.01;-0.11;0.00;concrete part
4;M_z;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
4;M_z;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
4;;-0.02;-0.01;-0.01;-0.02;-0.11;0.00;
4;;;;;;;;
7;P_x;0.02;0.00;0.00;0.01;-0.10;0.00;concrete part
7;P_x;-0.02;0.00;0.00;-0.01;0.10;0.00;concrete part
7;P_y;0.01;0.01;0.00;0.02;-0.04;0.00;concrete part
7;P_y;-0.01;-0.01;0.00;-0.02;0.04;0.00;concrete part
7;P_z;-0.02;0.00;0.00;-0.01;0.11;0.00;concrete part
7;P_z;0.02;0.00;0.00;0.01;-0.11;0.00;concrete part
7;M_x;0.02;0.00;0.00;0.02;-0.06;0.00;concrete part
7;M_x;-0.02;0.00;0.00;-0.02;0.06;0.00;concrete part
7;M_y;-0.02;0.00;0.00;-0.01;0.11;0.00;concrete part
7;M_y;0.02;0.00;0.00;0.01;-0.11;0.00;concrete part
7;M_z;-0.01;-0.01;0.00;-0.01;0.03;0.00;concrete part
7;M_z;0.01;0.01;0.00;0.01;-0.03;0.00;concrete part
Extremes;;0.02;0.01;0.00;0.02;0.11;0.00;
7;;-0.02;-0.01;0.00;-0.02;-0.11;0.00;
7;;;;;;;;
10;P_x;0.02;0.00;0.00;0.01;-0.10;0.00;concrete part
10;P_x;-0.02;0.00;0.00;-0.01;0.10;0.00;concrete part
10;P_y;0.01;0.00;0.00;0.01;-0.04;0.00;concrete part
10;P_y;-0.01;0.00;0.00;-0.01;0.04;0.00;concrete part
10;P_z;0.02;0.00;0.00;0.00;-0.11;0.00;concrete part
10;P_z;-0.02;0.00;0.00;0.00;0.11;0.00;concrete part
10;M_x;0.02;0.00;0.00;0.01;-0.06;0.00;concrete part
10;M_x;-0.02;0.00;0.00;-0.01;0.06;0.00;concrete part
10;M_y;-0.02;0.00;0.00;-0.01;0.12;0.00;concrete part
10;M_y;0.02;0.00;0.00;0.01;-0.12;0.00;concrete part
10;M_z;-0.01;0.00;0.00;-0.01;0.03;0.00;concrete part
10;M_z;0.01;0.00;0.00;0.01;-0.03;0.00;concrete part
Extremes;;0.02;0.00;0.00;0.01;0.12;0.00;
10;;-0.02;0.00;0.00;-0.01;-0.12;0.00;
10;;;;;;;;
13;P_x;0.03;0.00;0.01;0.01;-0.09;0.00;concrete part
13;P_x;-0.03;0.00;-0.01;-0.01;0.09;0.00;concrete part
13;P_y;0.00;0.01;0.00;0.01;-0.02;0.00;concrete part
13;P_y;0.00;-0.01;0.00;-0.01;0.02;0.00;concrete part
13;P_z;0.02;0.00;0.01;0.01;-0.11;0.00;concrete part
13;P_z;-0.02;0.00;-0.01;-0.01;0.11;0.00;concrete part
13;M_x;0.01;0.00;0.00;0.01;-0.05;0.00;concrete part
13;M_x;-0.01;0.00;0.00;-0.01;0.05;0.00;concrete part
13;M_y;-0.02;0.00;-0.01;-0.01;0.11;0.00;concrete part
13;M_y;0.02;0.00;0.01;0.01;-0.11;0.00;concrete part
13;M_z;-0.01;0.00;0.00;0.00;0.02;0.00;concrete part
13;M_z;0.01;0.00;0.00;0.00;-0.02;0.00;concrete part
Extremes;;0.03;0.01;0.01;0.01;0.11;0.00;
13;;-0.03;-0.01;-0.01;-0.01;-0.11;0.00;
13;;;;;;;;
16;P_x;0.02;0.00;0.01;0.00;-0.08;0.00;concrete part
16;P_x;-0.02;0.00;-0.01;0.00;0.08;0.00;concrete part
16;P_y;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
16;P_y;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
16;P_z;0.01;0.00;0.01;0.01;-0.10;0.00;concrete part
16;P_z;-0.01;0.00;-0.01;-0.01;0.10;0.00;concrete part
16;M_x;0.00;0.01;0.00;0.02;-0.04;0.00;concrete part
16;M_x;0.00;-0.01;0.00;-0.02;0.04;0.00;concrete part
16;M_y;-0.01;0.00;-0.01;-0.01;0.11;0.00;concrete part
16;M_y;0.01;0.00;0.01;0.01;-0.11;0.00;concrete part
16;M_z;0.00;0.01;0.00;0.02;-0.03;0.00;concrete part
16;M_z;0.00;-0.01;0.00;-0.02;0.03;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
16;;-0.02;-0.01;-0.01;-0.02;-0.11;0.00;
16;;;;;;;;
19;P_x;0.02;0.00;-0.01;0.00;-0.09;0.00;concrete part
19;P_x;-0.02;0.00;0.01;0.00;0.09;0.00;concrete part
19;P_y;0.00;0.01;0.01;0.01;0.03;0.00;concrete part
19;P_y;0.00;-0.01;-0.01;-0.01;-0.03;0.00;concrete part
19;P_z;-0.01;0.00;0.01;0.00;0.11;0.00;concrete part
19;P_z;0.01;0.00;-0.01;0.00;-0.11;0.00;concrete part
19;M_x;0.00;0.00;0.00;0.02;-0.02;0.00;concrete part
19;M_x;0.00;0.00;0.00;-0.02;0.02;0.00;concrete part
19;M_y;-0.02;0.00;0.01;0.00;0.11;0.00;concrete part
19;M_y;0.02;0.00;-0.01;0.00;-0.11;0.00;concrete part
19;M_z;0.00;0.00;0.01;-0.02;0.04;0.00;concrete part
19;M_z;0.00;0.00;-0.01;0.02;-0.04;0.00;concrete part
Extremes;;0.02;0.01;0.01;0.02;0.11;0.00;
