Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;1;0.000;0.000;-3.600;max;0.020;0.007;0.012;0.100;0.013;0.315;0.103;0.095;
1;1;0.000;0.000;-3.600;min;-0.020;-0.007;-0.012;-0.100;-0.013;-0.315;-0.103;-0.095;
1;2;0.500;0.000;-3.600;max;0.011;0.000;0.008;0.097;0.005;0.200;0.009;0.022;
1;2;0.500;0.000;-3.600;min;-0.011;0.000;-0.008;-0.097;-0.005;-0.200;-0.009;-0.022;
1;3;1.000;0.000;-3.600;max;0.011;0.002;0.008;0.093;0.005;0.116;0.001;0.002;
1;3;1.000;0.000;-3.600;min;-0.011;-0.002;-0.008;-0.093;-0.005;-0.116;-0.001;-0.002;
1;4;1.500;0.000;-3.600;max;0.018;0.003;0.010;0.090;0.001;0.060;0.002;0.011;
1;4;1.500;0.000;-3.600;min;-0.018;-0.003;-0.010;-0.090;-0.001;-0.060;-0.002;-0.011;
1;5;2.000;0.000;-3.600;max;0.029;0.001;0.008;0.090;0.004;0.019;0.002;0.002;
1;5;2.000;0.000;-3.600;min;-0.029;-0.001;-0.008;-0.090;-0.004;-0.019;-0.002;-0.002;
1;6;2.500;0.000;-3.600;max;0.040;0.001;0.008;0.099;0.007;0.027;0.002;0.003;
1;6;2.500;0.000;-3.600;min;-0.040;-0.001;-0.008;-0.099;-0.007;-0.027;-0.002;-0.003;
1;7;3.000;0.000;-3.600;max;0.048;0.004;0.008;0.083;0.003;0.055;0.023;0.020;
1;7;3.000;0.000;-3.600;min;-0.048;-0.004;-0.008;-0.083;-0.003;-0.055;-0.023;-0.020;
1;8;3.500;0.000;-3.600;max;0.026;0.001;0.003;0.035;0.008;0.040;0.003;0.005;
1;8;3.500;0.000;-3.600;min;-0.026;-0.001;-0.003;-0.035;-0.008;-0.040;-0.003;-0.005;
1;9;4.000;0.000;-3.600;max;0.027;0.000;0.003;0.028;0.002;0.031;0.001;0.000;
1;9;4.000;0.000;-3.600;min;-0.027;0.000;-0.003;-0.028;-0.002;-0.031;-0.001;0.000;
1;10;4.500;0.000;-3.600;max;0.028;0.000;0.003;0.026;0.001;0.031;0.001;0.000;
1;10;4.500;0.000;-3.600;min;-0.028;0.000;-0.003;-0.026;-0.001;-0.031;-0.001;0.000;
1;11;5.000;0.000;-3.600;max;0.030;0.000;0.002;0.025;0.006;0.037;0.001;0.000;
1;11;5.000;0.000;-3.600;min;-0.030;0.000;-0.002;-0.025;-0.006;-0.037;-0.001;0.000;
1;12;5.500;0.000;-3.600;max;0.046;0.001;0.003;0.046;0.018;0.057;0.004;0.008;
1;12;5.500;0.000;-3.600;min;-0.046;-0.001;-0.003;-0.046;-0.018;-0.057;-0.004;-0.008;
1;13;6.000;0.000;-3.600;max;0.060;0.005;0.023;0.098;0.003;0.087;0.028;0.029;
1;13;6.000;0.000;-3.600;min;-0.060;-0.005;-0.023;-0.098;-0.003;-0.087;-0.028;-0.029;
1;14;6.500;0.000;-3.600;max;0.029;0.000;0.002;0.061;0.024;0.045;0.004;0.009;
