Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;1;0.000;0.000;-3.600;max;0.026;0.018;-0.010;0.026;0.018;-0.010;0.410;0.197;-0.115;
1;1;0.000;0.000;-3.600;min;0.000;-0.003;-0.024;0.000;-0.003;-0.024;0.000;-0.074;-0.344;
1;2;0.500;0.000;-3.600;max;0.014;0.009;-0.004;0.014;0.009;-0.004;0.222;0.031;-0.012;
1;2;0.500;0.000;-3.600;min;0.000;0.000;-0.017;0.000;0.000;-0.017;0.000;-0.006;-0.202;
1;3;1.000;0.000;-3.600;max;0.016;0.009;-0.010;0.016;0.009;-0.010;0.118;0.003;-0.003;
1;3;1.000;0.000;-3.600;min;0.000;0.001;-0.015;0.000;0.001;-0.015;0.000;-0.001;-0.116;
1;4;1.500;0.000;-3.600;max;0.027;0.013;-0.015;0.027;0.013;-0.015;0.071;0.012;-0.017;
1;4;1.500;0.000;-3.600;min;0.000;0.001;-0.022;0.000;0.001;-0.022;0.000;0.000;-0.062;
1;5;2.000;0.000;-3.600;max;0.037;0.009;-0.012;0.037;0.009;-0.012;0.020;0.002;-0.002;
1;5;2.000;0.000;-3.600;min;0.000;0.001;-0.032;0.000;0.001;-0.032;0.000;0.000;-0.019;
1;6;2.500;0.000;-3.600;max;0.048;0.009;-0.002;0.048;0.009;-0.002;0.028;0.005;-0.001;
1;6;2.500;0.000;-3.600;min;0.000;0.000;-0.042;0.000;0.000;-0.042;0.000;-0.002;-0.027;
1;7;3.000;0.000;-3.600;max;0.049;0.009;-0.001;0.049;0.009;-0.001;0.073;0.043;-0.001;
1;7;3.000;0.000;-3.600;min;0.000;-0.003;-0.048;0.000;-0.003;-0.048;0.000;-0.014;-0.062;
1;8;3.500;0.000;-3.600;max;0.027;0.003;-0.001;0.027;0.003;-0.001;0.044;0.007;-0.001;
1;8;3.500;0.000;-3.600;min;0.000;0.000;-0.026;0.000;0.000;-0.026;0.000;-0.002;-0.040;
1;9;4.000;0.000;-3.600;max;0.028;0.003;-0.002;0.028;0.003;-0.002;0.031;0.001;0.000;
1;9;4.000;0.000;-3.600;min;0.000;0.000;-0.027;0.000;0.000;-0.027;0.000;-0.001;-0.031;
1;10;4.500;0.000;-3.600;max;0.029;0.003;-0.001;0.029;0.003;-0.001;0.031;0.001;0.000;
1;10;4.500;0.000;-3.600;min;0.000;0.000;-0.028;0.000;0.000;-0.028;0.000;0.000;-0.031;
1;11;5.000;0.000;-3.600;max;0.032;0.002;-0.001;0.032;0.002;-0.001;0.037;0.001;0.000;
1;11;5.000;0.000;-3.600;min;0.000;0.000;-0.031;0.000;0.000;-0.031;0.000;-0.001;-0.037;
1;12;5.500;0.000;-3.600;max;0.048;0.002;-0.002;0.048;0.002;-0.002;0.064;0.012;-0.006;
1;12;5.500;0.000;-3.600;min;0.000;0.001;-0.046;0.000;0.001;-0.046;0.000;-0.003;-0.058;
