Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Total Strains - Rankine [‰];;;
;Point No.;X;Y;Z;;ε_eqv,Rankine,+;ε_eqv,Rankine,-;ε_eqv,Rankine;Surface Comment
1;1;0.000;0.000;-3.600;max;0.00;0.00;0.00;
1;1;0.000;0.000;-3.600;min;0.00;0.00;0.00;
1;2;0.500;0.000;-3.600;max;0.00;0.00;0.00;
1;2;0.500;0.000;-3.600;min;0.00;0.00;0.00;
1;3;1.000;0.000;-3.600;max;0.00;0.00;0.00;
1;3;1.000;0.000;-3.600;min;0.00;0.00;0.00;
1;4;1.500;0.000;-3.600;max;0.00;0.00;0.00;
1;4;1.500;0.000;-3.600;min;0.00;0.00;0.00;
1;5;2.000;0.000;-3.600;max;0.00;0.00;0.00;
1;5;2.000;0.000;-3.600;min;0.00;0.00;0.00;
1;6;2.500;0.000;-3.600;max;0.00;0.00;0.00;
1;6;2.500;0.000;-3.600;min;0.00;0.00;0.00;
1;7;3.000;0.000;-3.600;max;0.00;0.00;0.00;
1;7;3.000;0.000;-3.600;min;0.00;0.00;0.00;
1;8;3.500;0.000;-3.600;max;0.00;0.00;0.00;
1;8;3.500;0.000;-3.600;min;0.00;0.00;0.00;
1;9;4.000;0.000;-3.600;max;0.00;0.00;0.00;
1;9;4.000;0.000;-3.600;min;0.00;0.00;0.00;
1;10;4.500;0.000;-3.600;max;0.00;0.00;0.00;
1;10;4.500;0.000;-3.600;min;0.00;0.00;0.00;
1;11;5.000;0.000;-3.600;max;0.00;0.00;0.00;
1;11;5.000;0.000;-3.600;min;0.00;0.00;0.00;
1;12;5.500;0.000;-3.600;max;0.00;0.00;0.00;
1;12;5.500;0.000;-3.600;min;0.00;0.00;0.00;
1;13;6.000;0.000;-3.600;max;0.00;0.00;0.00;
1;13;6.000;0.000;-3.600;min;0.00;0.00;0.00;
1;14;6.500;0.000;-3.600;max;0.00;0.00;0.00;
1;14;6.500;0.000;-3.600;min;0.00;0.00;0.00;
1;15;7.000;0.000;-3.600;max;0.00;0.00;0.00;
1;15;7.000;0.000;-3.600;min;0.00;0.00;0.00;
1;16;7.500;0.000;-3.600;max;0.00;0.00;0.00;
1;16;7.500;0.000;-3.600;min;0.00;0.00;0.00;
1;17;8.000;0.000;-3.600;max;0.00;0.00;0.00;
1;17;8.000;0.000;-3.600;min;0.00;0.00;0.00;
1;18;8.500;0.000;-3.600;max;0.00;0.00;0.00;
1;18;8.500;0.000;-3.600;min;0.00;0.00;0.00;
1;19;9.000;0.000;-3.600;max;0.00;0.00;0.00;
1;19;9.000;0.000;-3.600;min;0.00;0.00;0.00;
1;20;9.500;0.000;-3.600;max;0.00;0.00;0.00;
1;20;9.500;0.000;-3.600;min;0.00;0.00;0.00;
1;21;10.000;0.000;-3.600;max;0.00;0.00;0.00;
1;21;10.000;0.000;-3.600;min;0.00;0.00;0.00;
