Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;1;0.000;0.000;-3.600;max;0.023;0.003;72.77;0.012;0.101;9.09;0.351;0.066;21.04;0.143;
1;1;0.000;0.000;-3.600;min;-0.003;-0.023;-43.35;0.009;0.080;-176.42;-0.066;-0.351;-69.39;0.087;
1;2;0.500;0.000;-3.600;max;0.011;0.000;42.54;0.009;0.097;178.88;0.202;0.006;6.62;0.098;
1;2;0.500;0.000;-3.600;min;0.000;-0.011;-79.66;0.004;0.015;-18.22;-0.006;-0.202;-84.10;0.030;
1;3;1.000;0.000;-3.600;max;0.013;-0.001;35.58;0.008;0.093;3.29;0.116;0.001;0.98;0.058;
1;3;1.000;0.000;-3.600;min;0.001;-0.013;-67.44;0.007;0.058;-177.17;-0.001;-0.116;-89.06;0.040;
1;4;1.500;0.000;-3.600;max;0.022;-0.001;28.92;0.012;0.090;0.91;0.062;0.000;10.72;0.031;
1;4;1.500;0.000;-3.600;min;0.001;-0.022;-67.05;0.011;0.068;-179.48;0.000;-0.062;-80.48;0.025;
1;5;2.000;0.000;-3.600;max;0.031;-0.001;17.41;0.016;0.090;178.72;0.019;-0.001;9.33;0.010;
1;5;2.000;0.000;-3.600;min;0.001;-0.031;-77.56;0.012;0.067;-3.34;0.001;-0.019;-87.00;0.005;
1;6;2.500;0.000;-3.600;max;0.042;0.000;11.51;0.021;0.099;178.31;0.027;0.002;88.82;0.013;
1;6;2.500;0.000;-3.600;min;0.000;-0.042;-78.99;0.002;0.016;-6.79;-0.002;-0.027;-34.94;0.003;
1;7;3.000;0.000;-3.600;max;0.048;0.003;82.95;0.023;0.083;179.75;0.064;0.012;71.36;0.026;
1;7;3.000;0.000;-3.600;min;-0.003;-0.048;-87.21;0.004;0.013;-178.49;-0.012;-0.064;-87.20;0.004;
1;8;3.500;0.000;-3.600;max;0.026;0.000;83.53;0.013;0.036;145.57;0.040;0.002;31.26;0.019;
1;8;3.500;0.000;-3.600;min;0.000;-0.026;-88.55;0.001;0.003;-175.62;-0.002;-0.040;-88.23;0.002;
1;9;4.000;0.000;-3.600;max;0.027;0.000;21.31;0.013;0.028;179.07;0.031;0.001;63.36;0.015;
1;9;4.000;0.000;-3.600;min;0.000;-0.027;-87.27;0.003;0.012;-7.53;-0.001;-0.031;-89.86;0.000;
1;10;4.500;0.000;-3.600;max;0.028;0.000;55.21;0.014;0.026;179.94;0.031;0.000;2.18;0.016;
1;10;4.500;0.000;-3.600;min;0.000;-0.028;-87.67;0.001;0.011;-179.43;0.000;-0.031;-89.94;0.003;
1;11;5.000;0.000;-3.600;max;0.031;0.000;6.28;0.015;0.026;176.31;0.037;0.001;89.98;0.019;
1;11;5.000;0.000;-3.600;min;0.000;-0.031;-88.88;0.006;0.003;-169.87;-0.001;-0.037;-89.97;0.001;
1;12;5.500;0.000;-3.600;max;0.046;-0.001;88.38;0.023;0.049;159.78;0.058;0.003;84.54;0.028;
1;12;5.500;0.000;-3.600;min;0.001;-0.046;-4.78;0.017;0.037;-23.57;-0.003;-0.058;-9.37;0.015;
1;13;6.000;0.000;-3.600;max;0.067;-0.001;47.85;0.035;0.098;178.92;0.099;0.016;51.06;0.041;
1;13;6.000;0.000;-3.600;min;0.001;-0.067;-46.63;0.025;0.068;-2.74;-0.016;-0.099;-44.50;0.025;
1;14;6.500;0.000;-3.600;max;0.029;0.000;87.79;0.015;0.066;23.64;0.046;0.002;76.56;0.022;
1;14;6.500;0.000;-3.600;min;0.000;-0.029;-88.63;0.005;0.038;-161.33;-0.002;-0.046;-80.92;0.005;
1;15;7.000;0.000;-3.600;max;0.021;0.000;87.44;0.011;0.035;178.90;0.029;0.001;89.90;0.014;
1;15;7.000;0.000;-3.600;min;0.000;-0.021;-81.57;0.002;0.002;-178.29;-0.001;-0.029;-89.94;0.001;
1;16;7.500;0.000;-3.600;max;0.024;0.000;89.22;0.012;0.032;180.00;0.029;0.001;89.16;0.014;
1;16;7.500;0.000;-3.600;min;0.000;-0.024;-89.30;0.003;0.004;-179.31;-0.001;-0.029;-89.88;0.000;
1;17;8.000;0.000;-3.600;max;0.029;0.000;81.48;0.015;0.034;122.08;0.035;0.001;89.99;0.017;
1;17;8.000;0.000;-3.600;min;0.000;-0.029;-89.94;0.002;0.001;-169.64;-0.001;-0.035;-89.95;0.002;
1;18;8.500;0.000;-3.600;max;0.049;-0.001;87.61;0.025;0.069;157.24;0.061;0.003;81.11;0.029;
1;18;8.500;0.000;-3.600;min;0.001;-0.049;-4.56;0.016;0.044;-25.25;-0.003;-0.061;-13.53;0.021;
1;19;9.000;0.000;-3.600;max;0.085;0.001;46.29;0.045;0.118;179.81;0.132;0.023;52.75;0.055;
1;19;9.000;0.000;-3.600;min;-0.001;-0.085;-82.50;0.010;0.016;-179.81;-0.023;-0.132;-46.55;0.008;
1;20;9.500;0.000;-3.600;max;0.046;0.000;5.25;0.023;0.065;25.51;0.078;0.003;22.14;0.038;
1;20;9.500;0.000;-3.600;min;0.000;-0.046;-86.83;0.012;0.047;-157.08;-0.003;-0.078;-81.95;0.008;
1;21;10.000;0.000;-3.600;max;0.028;0.000;88.81;0.014;0.030;169.03;0.048;0.001;89.98;0.024;
1;21;10.000;0.000;-3.600;min;0.000;-0.028;-89.04;0.002;0.007;-22.83;-0.001;-0.048;-0.38;0.003;
1;22;10.500;0.000;-3.600;max;0.023;0.000;89.41;0.011;0.028;179.64;0.037;0.000;89.97;0.018;
1;22;10.500;0.000;-3.600;min;0.000;-0.023;-87.65;0.002;0.002;-179.88;0.000;-0.037;-89.96;0.002;
1;23;11.000;0.000;-3.600;max;0.021;0.000;87.12;0.011;0.032;138.08;0.030;0.001;89.77;0.015;
1;23;11.000;0.000;-3.600;min;0.000;-0.021;-86.02;0.002;0.002;-174.16;-0.001;-0.030;-89.59;0.001;
