Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;1;0.000;0.000;-3.600;max;0.001;0.000;85.07;0.001;0.000;70.24;0.001;0.000;77.78;0.000;
1;1;0.000;0.000;-3.600;min;0.000;-0.001;-80.35;0.000;-0.001;-82.94;0.000;-0.001;-77.78;0.000;
1;2;0.500;0.000;-3.600;max;0.001;0.000;77.04;0.001;0.000;71.75;0.000;0.000;83.99;0.000;
1;2;0.500;0.000;-3.600;min;0.000;-0.001;-71.02;0.000;-0.001;-76.71;0.000;0.000;-83.99;0.000;
1;3;1.000;0.000;-3.600;max;0.001;0.000;73.37;0.001;0.000;72.80;0.000;0.000;89.04;0.000;
1;3;1.000;0.000;-3.600;min;0.000;-0.001;-70.32;0.000;-0.001;-72.87;0.000;0.000;-89.04;0.000;
1;4;1.500;0.000;-3.600;max;0.001;0.000;72.48;0.001;0.000;69.94;0.000;0.000;80.27;0.000;
1;4;1.500;0.000;-3.600;min;0.000;-0.001;-66.34;0.000;-0.001;-70.08;0.000;0.000;-80.27;0.000;
1;5;2.000;0.000;-3.600;max;0.001;0.000;76.22;0.001;0.000;75.78;0.000;0.000;84.96;0.000;
1;5;2.000;0.000;-3.600;min;0.000;-0.001;-75.27;0.000;-0.001;-75.88;0.000;0.000;-84.96;0.000;
1;6;2.500;0.000;-3.600;max;0.001;0.000;80.22;0.001;0.000;79.59;0.000;0.000;83.81;0.000;
1;6;2.500;0.000;-3.600;min;0.000;-0.001;-79.17;0.000;-0.001;-79.75;0.000;0.000;-83.81;0.000;
1;7;3.000;0.000;-3.600;max;0.001;0.000;82.62;0.001;0.000;80.40;0.000;0.000;76.66;0.000;
1;7;3.000;0.000;-3.600;min;0.000;-0.001;-80.62;0.000;-0.001;-81.29;0.000;0.000;-76.66;0.000;
1;8;3.500;0.000;-3.600;max;0.001;0.000;85.41;0.001;0.000;83.91;0.000;0.000;83.56;0.000;
1;8;3.500;0.000;-3.600;min;0.000;-0.001;-84.14;0.000;-0.001;-85.19;0.000;0.000;-83.56;0.000;
1;9;4.000;0.000;-3.600;max;0.001;0.000;84.71;0.001;0.000;84.58;0.000;0.000;89.25;0.000;
1;9;4.000;0.000;-3.600;min;0.000;-0.001;-84.49;0.000;-0.001;-84.62;0.000;0.000;-89.25;0.000;
1;10;4.500;0.000;-3.600;max;0.001;0.000;85.30;0.001;0.000;85.24;0.000;0.000;89.64;0.000;
1;10;4.500;0.000;-3.600;min;0.000;-0.001;-85.21;0.000;-0.001;-85.27;0.000;0.000;-89.64;0.000;
1;11;5.000;0.000;-3.600;max;0.001;0.000;86.76;0.001;0.000;86.69;0.000;0.000;89.61;0.000;
1;11;5.000;0.000;-3.600;min;0.000;-0.001;-86.60;0.000;-0.001;-86.70;0.000;0.000;-89.61;0.000;
1;12;5.500;0.000;-3.600;max;0.001;0.000;87.45;0.001;0.000;86.78;0.000;0.000;82.60;0.000;
1;12;5.500;0.000;-3.600;min;0.000;-0.001;-86.88;0.000;-0.001;-87.39;0.000;0.000;-82.60;0.000;
1;13;6.000;0.000;-3.600;max;0.002;0.000;74.98;0.002;0.000;72.11;0.000;0.000;76.60;0.000;
1;13;6.000;0.000;-3.600;min;0.000;-0.002;-71.89;0.000;-0.002;-73.36;0.000;0.000;-76.60;0.000;
1;14;6.500;0.000;-3.600;max;0.001;0.000;87.01;0.001;0.000;86.00;0.000;0.000;80.16;0.000;
1;14;6.500;0.000;-3.600;min;0.000;-0.001;-86.15;0.000;-0.001;-86.92;0.000;0.000;-80.16;0.000;
1;15;7.000;0.000;-3.600;max;0.001;0.000;83.50;0.001;0.000;83.41;0.000;0.000;89.54;0.000;
1;15;7.000;0.000;-3.600;min;0.000;-0.001;-83.16;0.000;-0.001;-83.44;0.000;0.000;-89.54;0.000;
1;16;7.500;0.000;-3.600;max;0.001;0.000;84.18;0.001;0.000;84.12;0.000;0.000;89.69;0.000;
1;16;7.500;0.000;-3.600;min;0.000;-0.001;-84.01;0.000;-0.001;-84.15;0.000;0.000;-89.69;0.000;
1;17;8.000;0.000;-3.600;max;0.001;0.000;85.95;0.001;0.000;85.91;0.000;0.000;89.74;0.000;
1;17;8.000;0.000;-3.600;min;0.000;-0.001;-85.79;0.000;-0.001;-85.92;0.000;0.000;-89.74;0.000;
1;18;8.500;0.000;-3.600;max;0.001;0.000;87.37;0.001;0.000;86.66;0.000;0.000;80.60;0.000;
1;18;8.500;0.000;-3.600;min;0.000;-0.001;-86.79;0.000;-0.001;-87.29;0.000;0.000;-80.60;0.000;
1;19;9.000;0.000;-3.600;max;0.002;0.000;74.76;0.002;0.000;71.75;0.000;0.000;76.43;0.000;
1;19;9.000;0.000;-3.600;min;0.000;-0.002;-71.43;0.000;-0.002;-72.92;0.000;0.000;-76.43;0.000;
1;20;9.500;0.000;-3.600;max;0.001;0.000;87.37;0.001;0.000;86.36;0.000;0.000;82.23;0.000;
1;20;9.500;0.000;-3.600;min;0.000;-0.001;-86.54;0.000;-0.001;-87.27;0.000;0.000;-82.23;0.000;
