Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;1;0.000;0.000;-3.600;max;0.00;0.00;89.71;0.00;0.00;52.75;
1;1;0.000;0.000;-3.600;min;0.00;0.00;-17.22;0.00;0.00;-58.24;
1;2;0.500;0.000;-3.600;max;0.00;0.00;68.11;0.00;0.00;25.35;
1;2;0.500;0.000;-3.600;min;0.00;0.00;-81.17;0.00;0.00;-82.66;
1;3;1.000;0.000;-3.600;max;0.00;0.00;80.01;0.00;0.00;72.55;
1;3;1.000;0.000;-3.600;min;0.00;0.00;-54.79;0.00;0.00;-74.48;
1;4;1.500;0.000;-3.600;max;0.00;0.00;33.23;0.00;0.00;25.40;
1;4;1.500;0.000;-3.600;min;0.00;0.00;-81.74;0.00;0.00;-80.00;
1;5;2.000;0.000;-3.600;max;0.00;0.00;18.38;0.00;0.00;16.45;
1;5;2.000;0.000;-3.600;min;0.00;0.00;-77.47;0.00;0.00;-77.64;
1;6;2.500;0.000;-3.600;max;0.00;0.00;11.02;0.00;0.00;14.51;
1;6;2.500;0.000;-3.600;min;0.00;0.00;-82.51;0.00;0.00;-78.55;
1;7;3.000;0.000;-3.600;max;0.00;0.00;86.40;0.00;0.00;86.59;
1;7;3.000;0.000;-3.600;min;0.00;0.00;-88.36;0.00;0.00;-88.46;
1;8;3.500;0.000;-3.600;max;0.00;0.00;88.98;0.00;0.00;80.09;
1;8;3.500;0.000;-3.600;min;0.00;0.00;-89.41;0.00;0.00;-88.96;
1;9;4.000;0.000;-3.600;max;0.00;0.00;32.87;0.00;0.00;14.76;
1;9;4.000;0.000;-3.600;min;0.00;0.00;-87.29;0.00;0.00;-87.24;
1;10;4.500;0.000;-3.600;max;0.00;0.00;76.54;0.00;0.00;19.98;
1;10;4.500;0.000;-3.600;min;0.00;0.00;-87.67;0.00;0.00;-87.67;
1;11;5.000;0.000;-3.600;max;0.00;0.00;7.22;0.00;0.00;6.10;
1;11;5.000;0.000;-3.600;min;0.00;0.00;-87.11;0.00;0.00;-87.38;
1;12;5.500;0.000;-3.600;max;0.00;0.00;89.36;0.00;0.00;87.60;
1;12;5.500;0.000;-3.600;min;0.00;0.00;-4.73;0.00;0.00;-4.83;
1;13;6.000;0.000;-3.600;max;0.00;0.00;48.00;0.00;0.00;47.71;
1;13;6.000;0.000;-3.600;min;0.00;0.00;-46.82;0.00;0.00;-45.66;
1;14;6.500;0.000;-3.600;max;0.00;0.00;89.60;0.00;0.00;65.92;
1;14;6.500;0.000;-3.600;min;0.00;0.00;-88.70;0.00;0.00;-89.13;
1;15;7.000;0.000;-3.600;max;0.00;0.00;87.47;0.00;0.00;87.36;
1;15;7.000;0.000;-3.600;min;0.00;0.00;-83.50;0.00;0.00;-77.18;
1;16;7.500;0.000;-3.600;max;0.00;0.00;89.21;0.00;0.00;89.22;
1;16;7.500;0.000;-3.600;min;0.00;0.00;-89.31;0.00;0.00;-89.30;
1;17;8.000;0.000;-3.600;max;0.00;0.00;76.40;0.00;0.00;83.92;
1;17;8.000;0.000;-3.600;min;0.00;0.00;-89.94;0.00;0.00;-89.93;
1;18;8.500;0.000;-3.600;max;0.00;0.00;88.31;0.00;0.00;86.36;
1;18;8.500;0.000;-3.600;min;0.00;0.00;-4.59;0.00;0.00;-5.28;
1;19;9.000;0.000;-3.600;max;0.00;0.00;46.52;0.00;0.00;46.09;
1;19;9.000;0.000;-3.600;min;0.00;0.00;-83.81;0.00;0.00;-81.09;
1;20;9.500;0.000;-3.600;max;0.00;0.00;89.50;0.00;0.00;5.04;
1;20;9.500;0.000;-3.600;min;0.00;0.00;-88.56;0.00;0.00;-86.37;
1;21;10.000;0.000;-3.600;max;0.00;0.00;88.71;0.00;0.00;88.90;
1;21;10.000;0.000;-3.600;min;0.00;0.00;-89.22;0.00;0.00;-89.27;
1;22;10.500;0.000;-3.600;max;0.00;0.00;89.50;0.00;0.00;89.30;
1;22;10.500;0.000;-3.600;min;0.00;0.00;-87.58;0.00;0.00;-87.68;
1;23;11.000;0.000;-3.600;max;0.00;0.00;85.84;0.00;0.00;87.81;
1;23;11.000;0.000;-3.600;min;0.00;0.00;-85.84;0.00;0.00;-86.29;
1;24;11.500;0.000;-3.600;max;0.00;0.00;89.51;0.00;0.00;87.60;
1;24;11.500;0.000;-3.600;min;0.00;0.00;-89.16;0.00;0.00;-6.66;
1;25;12.000;0.000;-3.600;max;0.00;0.00;48.27;0.00;0.00;46.96;
1;25;12.000;0.000;-3.600;min;0.00;0.00;-44.57;0.00;0.00;-46.17;
1;26;12.500;0.000;-3.600;max;0.00;0.00;6.33;0.00;0.00;6.38;
1;26;12.500;0.000;-3.600;min;0.00;0.00;-86.55;0.00;0.00;-85.64;
1;27;13.000;0.000;-3.600;max;0.00;0.00;89.39;0.00;0.00;89.60;
1;27;13.000;0.000;-3.600;min;0.00;0.00;-89.36;0.00;0.00;-89.57;
1;28;13.500;0.000;-3.600;max;0.00;0.00;87.93;0.00;0.00;88.70;
1;28;13.500;0.000;-3.600;min;0.00;0.00;-6.81;0.00;0.00;-4.28;
1;29;14.000;0.000;-3.600;max;0.00;0.00;84.56;0.00;0.00;86.40;
1;29;14.000;0.000;-3.600;min;0.00;0.00;-15.06;0.00;0.00;-8.04;
1;30;14.500;0.000;-3.600;max;0.00;0.00;86.29;0.00;0.00;89.64;
1;30;14.500;0.000;-3.600;min;0.00;0.00;-88.57;0.00;0.00;-7.74;
1;31;15.000;0.000;-3.600;max;0.00;0.00;74.06;0.00;0.00;72.90;
1;31;15.000;0.000;-3.600;min;0.00;0.00;-20.05;0.00;0.00;-19.27;
1;32;0.000;0.500;-3.600;max;0.00;0.00;63.73;0.00;0.00;62.01;
1;32;0.000;0.500;-3.600;min;0.00;0.00;-42.16;0.00;0.00;-39.78;
1;33;0.500;0.500;-3.600;max;0.00;0.00;55.39;0.00;0.00;50.80;
1;33;0.500;0.500;-3.600;min;0.00;0.00;-84.46;0.00;0.00;-78.13;
1;34;1.000;0.500;-3.600;max;0.00;0.00;38.55;0.00;0.00;32.22;
1;34;1.000;0.500;-3.600;min;0.00;0.00;-61.82;0.00;0.00;-63.86;
1;35;1.500;0.500;-3.600;max;0.00;0.00;25.15;0.00;0.00;26.63;
1;35;1.500;0.500;-3.600;min;0.00;0.00;-70.73;0.00;0.00;-66.84;
1;36;2.000;0.500;-3.600;max;0.00;0.00;24.30;0.00;0.00;26.35;
1;36;2.000;0.500;-3.600;min;0.00;0.00;-70.05;0.00;0.00;-66.61;
1;37;2.500;0.500;-3.600;max;0.00;0.00;18.97;0.00;0.00;18.36;
1;37;2.500;0.500;-3.600;min;0.00;0.00;-74.53;0.00;0.00;-73.82;
1;38;3.000;0.500;-3.600;max;0.00;0.00;48.09;0.00;0.00;49.40;
1;38;3.000;0.500;-3.600;min;0.00;0.00;-87.41;0.00;0.00;-86.55;
1;39;3.500;0.500;-3.600;max;0.00;0.00;85.71;0.00;0.00;35.99;
1;39;3.500;0.500;-3.600;min;0.00;0.00;-88.35;0.00;0.00;-88.46;
1;40;4.000;0.500;-3.600;max;0.00;0.00;83.59;0.00;0.00;89.66;
1;40;4.000;0.500;-3.600;min;0.00;0.00;-86.26;0.00;0.00;-85.06;
1;41;4.500;0.500;-3.600;max;0.00;0.00;81.30;0.00;0.00;82.35;
1;41;4.500;0.500;-3.600;min;0.00;0.00;-84.81;0.00;0.00;-84.75;
1;42;5.000;0.500;-3.600;max;0.00;0.00;87.69;0.00;0.00;86.99;
1;42;5.000;0.500;-3.600;min;0.00;0.00;-85.77;0.00;0.00;-89.44;
1;43;5.500;0.500;-3.600;max;0.00;0.00;88.91;0.00;0.00;89.33;
1;43;5.500;0.500;-3.600;min;0.00;0.00;-88.77;0.00;0.00;-89.77;
1;44;6.000;0.500;-3.600;max;0.00;0.00;60.11;0.00;0.00;60.23;
1;44;6.000;0.500;-3.600;min;0.00;0.00;-76.44;0.00;0.00;-77.60;
1;45;6.500;0.500;-3.600;max;0.00;0.00;87.90;0.00;0.00;88.66;
1;45;6.500;0.500;-3.600;min;0.00;0.00;-84.35;0.00;0.00;-88.91;
1;46;7.000;0.500;-3.600;max;0.00;0.00;83.98;0.00;0.00;87.51;
1;46;7.000;0.500;-3.600;min;0.00;0.00;-83.70;0.00;0.00;-88.62;
1;47;7.500;0.500;-3.600;max;0.00;0.00;87.84;0.00;0.00;88.44;
1;47;7.500;0.500;-3.600;min;0.00;0.00;-86.91;0.00;0.00;-88.29;
1;48;8.000;0.500;-3.600;max;0.00;0.00;89.09;0.00;0.00;87.38;
1;48;8.000;0.500;-3.600;min;0.00;0.00;-87.27;0.00;0.00;-88.10;
1;49;8.500;0.500;-3.600;max;0.00;0.00;86.93;0.00;0.00;84.62;
1;49;8.500;0.500;-3.600;min;0.00;0.00;-89.66;0.00;0.00;-17.01;
1;50;9.000;0.500;-3.600;max;0.00;0.00;59.27;0.00;0.00;55.85;
1;50;9.000;0.500;-3.600;min;0.00;0.00;-83.13;0.00;0.00;-81.89;
1;51;9.500;0.500;-3.600;max;0.00;0.00;71.09;0.00;0.00;88.33;
1;51;9.500;0.500;-3.600;min;0.00;0.00;-85.89;0.00;0.00;-84.20;
1;52;10.000;0.500;-3.600;max;0.00;0.00;88.43;0.00;0.00;87.27;
1;52;10.000;0.500;-3.600;min;0.00;0.00;-87.56;0.00;0.00;-88.83;
1;53;10.500;0.500;-3.600;max;0.00;0.00;83.55;0.00;0.00;83.96;
1;53;10.500;0.500;-3.600;min;0.00;0.00;-85.30;0.00;0.00;-89.77;
1;54;11.000;0.500;-3.600;max;0.00;0.00;87.05;0.00;0.00;86.91;
1;54;11.000;0.500;-3.600;min;0.00;0.00;-82.81;0.00;0.00;-85.76;
1;55;11.500;0.500;-3.600;max;0.00;0.00;81.24;0.00;0.00;87.82;
1;55;11.500;0.500;-3.600;min;0.00;0.00;-88.42;0.00;0.00;-87.65;
1;56;12.000;0.500;-3.600;max;0.00;0.00;52.51;0.00;0.00;49.03;
1;56;12.000;0.500;-3.600;min;0.00;0.00;-55.05;0.00;0.00;-60.79;
1;57;12.500;0.500;-3.600;max;0.00;0.00;88.57;0.00;0.00;17.19;
1;57;12.500;0.500;-3.600;min;0.00;0.00;-86.53;0.00;0.00;-88.68;
1;58;13.000;0.500;-3.600;max;0.00;0.00;89.39;0.00;0.00;88.92;
1;58;13.000;0.500;-3.600;min;0.00;0.00;-87.14;0.00;0.00;-89.69;
1;59;13.500;0.500;-3.600;max;0.00;0.00;88.88;0.00;0.00;88.76;
1;59;13.500;0.500;-3.600;min;0.00;0.00;-79.75;0.00;0.00;-12.19;
1;60;14.000;0.500;-3.600;max;0.00;0.00;88.55;0.00;0.00;82.47;
1;60;14.000;0.500;-3.600;min;0.00;0.00;-8.65;0.00;0.00;-10.39;
1;61;14.500;0.500;-3.600;max;0.00;0.00;82.24;0.00;0.00;77.40;
1;61;14.500;0.500;-3.600;min;0.00;0.00;-11.49;0.00;0.00;-15.71;
1;62;15.000;0.500;-3.600;max;0.00;0.00;68.69;0.00;0.00;65.56;
1;62;15.000;0.500;-3.600;min;0.00;0.00;-53.53;0.00;0.00;-50.42;
1;63;0.000;1.000;-3.600;max;0.00;0.00;51.09;0.00;0.00;51.93;
1;63;0.000;1.000;-3.600;min;0.00;0.00;-82.03;0.00;0.00;-75.04;
1;64;0.500;1.000;-3.600;max;0.00;0.00;67.62;0.00;0.00;68.81;
1;64;0.500;1.000;-3.600;min;0.00;0.00;-48.18;0.00;0.00;-40.01;
1;65;1.000;1.000;-3.600;max;0.00;0.00;36.16;0.00;0.00;40.77;
1;65;1.000;1.000;-3.600;min;0.00;0.00;-78.02;0.00;0.00;-63.83;
1;66;1.500;1.000;-3.600;max;0.00;0.00;22.10;0.00;0.00;23.62;
1;66;1.500;1.000;-3.600;min;0.00;0.00;-75.62;0.00;0.00;-71.55;
1;67;2.000;1.000;-3.600;max;0.00;0.00;34.70;0.00;0.00;33.79;
1;67;2.000;1.000;-3.600;min;0.00;0.00;-59.59;0.00;0.00;-58.36;
1;68;2.500;1.000;-3.600;max;0.00;0.00;21.01;0.00;0.00;21.87;
