Member No.;Node;Location;;;Displacements [mm];;;;Rotations [mrad];;;
;No.;x [m];Flags;;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Section (Material) | Member Comment
1;1;0.0000000000000000;L | M;;220.2;0.0;0.0;220.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;;220.3;0.0;0.0;220.3;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;;220.3;0.1;0.0;220.3;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;;220.3;0.2;0.1;220.3;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;;220.3;0.2;0.1;220.3;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;;220.3;0.3;0.2;220.3;0.2;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;;220.3;0.3;0.2;220.3;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;;220.3;0.3;0.3;220.3;0.2;0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;;220.3;0.2;0.4;220.3;0.2;0.4;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;;220.3;0.1;0.5;220.3;0.2;0.6;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;;2.1600000000000001;E;u_X;220.3;0.3;0.2;220.3;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_X;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_Y;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;u_Y;220.2;0.0;0.0;220.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;u_Z;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;u_Z;220.2;0.0;0.0;220.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;φ_X;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;φ_X;220.2;0.0;0.0;220.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;φ_Y;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;φ_Y;220.3;0.2;0.1;220.3;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;φ_Z;220.2;0.0;0.0;220.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;φ_Z;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;220.3;0.3;0.5;220.3;0.2;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;;;;220.2;-0.2;0.0;220.2;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
2;2;0.0000000000000000;L | M;;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;0.4444444444444444;E;;220.4;-1.8;0.4;220.4;-0.4;5.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;0.8888888888888887;E;;220.5;-5.2;0.1;220.5;-0.9;9.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.3333333333333330;R | E;;220.7;-9.6;-0.4;220.5;-1.1;10.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.7777777777777775;E;;221.0;-13.9;-0.9;220.6;-1.1;9.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.9999999999999998;E;;221.2;-15.9;-1.2;220.6;-1.0;7.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;2.2222222222222219;E;;221.3;-17.5;-1.4;220.6;-0.9;6.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;2.6666666666666665;R | E;;221.5;-19.3;-1.8;220.7;-0.4;1.5;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;3.1111111111111112;E;;221.5;-18.6;-1.9;220.7;0.3;-5.2;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;3.5555555555555558;E;;221.2;-14.5;-1.6;220.8;1.2;-13.8;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;2;0.0000000000000000;L | M;u_X;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;2.6666666666666665;R | E;u_X;221.5;-19.3;-1.8;220.7;-0.4;1.5;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;u_Y;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;3.1111111111111112;E;u_Y;221.5;-18.6;-1.9;220.7;0.3;-5.2;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;u_Z;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;u_Z;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_X;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.3333333333333330;R | E;φ_X;220.7;-9.6;-0.4;220.5;-1.1;10.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;1.3333333333333330;R | E;φ_Y;220.7;-9.6;-0.4;220.5;-1.1;10.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_Y;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;3;3.9999999999999996;L | M;φ_Z;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;2;0.0000000000000000;L | M;φ_Z;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;221.5;-0.2;0.5;220.8;2.3;10.0;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
2;;;;;220.3;-19.3;-1.9;220.3;-1.1;-24.1;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
3;4;0.0000000000000000;L | M;;217.1;0.0;0.0;217.1;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.3600000000000000;E;;217.2;0.0;0.0;217.2;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;0.7200000000000001;E;;217.2;0.1;0.0;217.2;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;;217.2;0.1;0.0;217.2;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.4400000000000002;E;;217.2;0.2;0.1;217.2;0.1;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.8000000000000000;R | E;;217.2;0.3;0.1;217.2;0.1;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.1600000000000001;E;;217.2;0.3;0.2;217.2;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.5200000000000000;E;;217.2;0.3;0.2;217.2;0.2;0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;2.8799999999999999;E;;217.2;0.2;0.3;217.2;0.3;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;3.2399999999999998;E;;217.2;0.1;0.4;217.2;0.3;0.5;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;;2.1600000000000001;E;u_X;217.2;0.3;0.2;217.2;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_X;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_Y;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;u_Y;217.1;0.0;0.0;217.1;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;u_Z;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;u_Z;217.1;0.0;0.0;217.1;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_X;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;φ_X;217.1;0.0;0.0;217.1;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_Y;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;1.0800000000000001;E;φ_Y;217.2;0.1;0.0;217.2;0.1;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;4;0.0000000000000000;L | M;φ_Z;217.1;0.0;0.0;217.1;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;5;3.6000000000000001;L | M;φ_Z;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;217.2;0.3;0.6;217.2;0.4;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
3;;;;;217.1;-0.2;0.0;217.1;0.0;-0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
4;5;0.0000000000000000;L | M;;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.4444444444444444;E;;217.3;-0.5;0.7;217.3;0.2;0.7;0.2;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;;217.3;-0.8;0.7;217.3;0.1;0.8;0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.3333333333333330;R | E;;217.3;-1.2;0.7;217.3;0.1;0.8;0.7;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.7777777777777775;E;;217.3;-1.5;0.8;217.3;0.2;0.8;0.9;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;1.9999999999999998;E;;217.3;-1.7;0.8;217.3;0.3;0.8;1.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.2222222222222219;E;;217.3;-1.9;0.9;217.3;0.4;0.8;1.1;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;2.6666666666666665;R | E;;217.4;-2.2;1.1;217.4;0.7;0.8;1.3;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.1111111111111112;E;;217.4;-2.6;1.5;217.4;1.1;0.8;1.5;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;3.5555555555555558;E;;217.4;-3.0;2.1;217.4;1.6;0.8;1.8;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;5;0.0000000000000000;L | M;u_X;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_X;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_Y;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;u_Y;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;u_Z;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;u_Z;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_X;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;0.8888888888888887;E;φ_X;217.3;-0.8;0.7;217.3;0.1;0.8;0.4;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_Y;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;φ_Y;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;6;3.9999999999999996;L | M;φ_Z;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;5;0.0000000000000000;L | M;φ_Z;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Total;;;;;217.4;-0.2;2.9;217.4;2.2;0.8;2.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
4;;;;;217.2;-3.3;0.6;217.2;0.1;0.7;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
;;;;;;;;;;;;
5;7;0.0000000000000000;L | M;;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.3600000000000000;E;;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;0.7200000000000001;E;;215.2;0.0;0.0;215.2;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;;215.2;0.0;0.0;215.2;0.1;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.4400000000000002;E;;215.2;0.1;0.1;215.2;0.1;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.8000000000000000;R | E;;215.2;0.1;0.1;215.2;0.1;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.1600000000000001;E;;215.2;0.1;0.2;215.2;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.5200000000000000;E;;215.3;0.1;0.2;215.3;0.2;0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;2.8799999999999999;E;;215.3;0.0;0.3;215.3;0.3;0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;3.2399999999999998;E;;215.3;0.0;0.4;215.3;0.3;0.2;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;;2.1600000000000001;E;u_X;215.2;0.1;0.2;215.2;0.2;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_X;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_Y;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;u_Y;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;u_Z;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;u_Z;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_X;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;φ_X;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_Y;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;1.0800000000000001;E;φ_Y;215.2;0.0;0.0;215.2;0.1;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;7;0.0000000000000000;L | M;φ_Z;215.2;0.0;0.0;215.2;0.0;0.0;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;8;3.6000000000000001;L | M;φ_Z;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Total;;;;;215.3;0.1;0.6;215.3;0.4;0.3;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
5;;;;;215.2;-0.1;0.0;215.2;0.0;-0.1;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
;;;;;;;;;;;;
6;8;0.0000000000000000;L | M;;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.4444444444444444;E;;215.3;-0.3;0.6;215.3;0.1;0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;0.8888888888888887;E;;215.3;-0.4;0.6;215.3;-0.1;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.3333333333333330;R | E;;215.3;-0.6;0.6;215.3;-0.1;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.7777777777777775;E;;215.4;-0.8;0.5;215.4;-0.1;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.9999999999999998;E;;215.4;-0.9;0.5;215.4;0.0;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.2222222222222219;E;;215.4;-0.9;0.4;215.4;0.0;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.6666666666666665;R | E;;215.4;-1.1;0.5;215.4;0.3;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;3.1111111111111112;E;;215.4;-1.3;0.7;215.4;0.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;3.5555555555555558;E;;215.4;-1.4;1.1;215.4;1.1;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
Extremes;8;0.0000000000000000;L | M;u_X;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_X;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_Y;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;2.2222222222222219;E;u_Y;215.4;-0.9;0.4;215.4;0.0;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;u_Z;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;8;0.0000000000000000;L | M;u_Z;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;9;3.9999999999999996;L | M;φ_X;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
6;;1.3333333333333330;R | E;φ_X;215.3;-0.6;0.6;215.3;-0.1;0.4;0.0;Beam | 4 - HEB 200 | L : 4.000 m | steel column
