Member No.;Node;Location;;;Axial and Shear Strains [‰];;;Torsional and Bending Strains [mrad/m];;;
;No.;x [m];Flags;;ε_x;γ_xy / γ_xu;γ_xz / γ_xv;κ_x;κ_y / κ_u;κ_z / κ_v;Section (Material) | Member Comment
1;1;0.0000000000000000;L | M;;-0.03;0.00;0.02;0.0;-0.4;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.3600000000000000;E;;-0.03;0.00;0.02;0.0;-0.3;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;0.7200000000000001;E;;-0.03;0.00;0.02;0.0;-0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.0800000000000001;E;;-0.03;0.00;0.02;0.0;0.0;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.4400000000000002;E;;-0.03;0.00;0.02;0.0;0.1;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;1.8000000000000000;R | E;;-0.03;0.00;0.02;0.0;0.2;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.1600000000000001;E;;-0.03;0.00;0.02;0.0;0.4;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.5200000000000000;E;;-0.02;0.00;0.02;0.0;0.5;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;2.8799999999999999;E;;-0.02;0.00;0.02;0.0;0.6;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;;-0.02;0.00;0.02;0.0;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;2;3.6000000000000001;L | M;;-0.02;0.00;0.02;0.0;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
Extremes;2;3.6000000000000001;L | M;ε_x;-0.02;0.00;0.02;0.0;0.9;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;ε_x;-0.03;0.00;0.02;0.0;-0.4;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;;3.2399999999999998;E;γ_xy;-0.02;0.00;0.02;0.0;0.7;0.0;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
1;1;0.0000000000000000;L | M;γ_xy;-0.03;0.00;0.02;0.0;-0.4;0.1;Beam | 3 - SQ_M1 500 | L : 3.600 m | concrete column
