Node No.;Displacements [mm];;;;Rotations [mrad];;;
;|u|;u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Node Comment
1;220.2;0.0;0.0;220.2;0.0;0.0;0.0;concrete part
2;220.3;-0.2;0.5;220.3;0.2;0.9;0.0;concrete top + steel bottom
3;220.9;-6.1;-0.9;220.8;2.3;-24.1;0.0;steel top
4;217.1;0.0;0.0;217.1;0.0;0.0;0.0;concrete part
5;217.2;-0.2;0.6;217.2;0.4;0.7;0.0;concrete top + steel bottom
6;217.4;-3.3;2.9;217.4;2.2;0.8;2.0;steel top
7;215.2;0.0;0.0;215.2;0.0;0.0;0.0;concrete part
8;215.3;-0.1;0.6;215.3;0.4;0.3;0.0;concrete top + steel bottom
9;215.4;-1.6;1.6;215.4;1.7;0.4;0.0;steel top
10;214.9;0.0;0.0;214.9;0.0;0.0;0.0;concrete part
11;215.0;-0.1;0.6;215.0;0.4;-0.2;0.0;concrete top + steel bottom
12;215.1;0.5;1.6;215.1;1.7;-0.2;0.0;steel top
13;216.3;0.0;0.0;216.3;0.0;0.0;0.0;concrete part
14;216.4;-0.1;0.6;216.4;0.4;-0.6;0.0;concrete top + steel bottom
15;216.5;2.4;1.6;216.5;1.7;-0.7;0.0;steel top
16;218.9;0.0;0.0;218.9;0.0;0.0;0.0;concrete part
17;219.0;-0.1;0.6;219.0;0.3;-0.7;0.0;concrete top + steel bottom
18;219.5;-6.3;1.5;219.4;1.7;25.8;0.2;steel top
19;221.3;0.0;0.0;221.3;0.0;0.0;0.0;concrete part
20;221.4;-0.2;0.5;221.4;0.3;0.8;0.0;concrete top + steel bottom
21;221.8;-2.3;-0.9;221.8;-2.1;-23.5;0.1;steel top
22;218.5;0.0;0.0;218.5;0.0;0.0;0.0;concrete part
23;218.6;-0.2;0.6;218.6;0.3;0.7;0.0;concrete top + steel bottom
24;219.2;-11.6;2.9;218.9;-2.8;8.9;2.1;steel top
25;216.5;0.0;0.0;216.5;0.0;0.0;0.0;concrete part
26;216.6;-0.1;0.6;216.6;0.3;0.4;0.0;concrete top + steel bottom
27;216.8;-1.7;1.6;216.8;-1.3;0.4;0.0;steel top
28;216.2;0.0;0.0;216.2;0.0;0.0;0.0;concrete part
29;216.3;-0.1;0.6;216.3;0.3;-0.1;0.0;concrete top + steel bottom
30;216.4;0.5;1.6;216.4;-1.3;-0.2;0.0;steel top
31;217.6;0.0;0.0;217.6;0.0;0.0;0.0;concrete part
32;217.7;-0.1;0.6;217.7;0.3;-0.6;0.0;concrete top + steel bottom
33;217.9;2.4;1.5;217.8;-1.3;-0.7;0.0;steel top
34;220.2;0.0;0.0;220.2;0.0;0.0;0.0;concrete part
35;220.3;-0.1;0.6;220.3;0.3;-0.7;0.0;concrete top + steel bottom
36;220.8;-2.5;1.5;220.7;-1.4;25.3;0.1;steel top
37;219.6;-0.2;0.5;219.6;0.3;1.0;0.0;opening node
38;219.8;-0.2;0.5;219.8;0.3;1.0;0.0;opening node
39;218.9;-0.2;0.6;218.9;0.3;0.9;0.0;opening node
40;218.5;-0.2;0.6;218.5;0.3;1.0;0.0;opening node
Total;221.8;2.4;2.9;221.8;2.3;25.8;2.1;
max/min;214.9;-11.6;-0.9;214.9;-2.8;-24.1;0.0;
