Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;Shear Forces [kN/m];;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x;m_y;m_xy;v_x;v_y;n_x;n_y;n_xy;Surface Comment
1;1;0.000;0.000;-3.600;;126.549;11.283;22.888;-253.276;-21.972;430.198;127.828;122.646;
1;2;0.500;0.000;-3.600;;58.333;-0.575;-6.800;-183.588;-24.160;271.938;13.287;32.208;
1;3;1.000;0.000;-3.600;;11.752;0.094;-9.260;-143.110;-3.238;159.718;0.309;2.965;
1;4;1.500;0.000;-3.600;;-15.111;-3.139;-10.882;-136.114;-1.685;91.827;3.117;10.258;
1;5;2.000;0.000;-3.600;;-47.985;1.335;-9.716;-134.336;4.523;36.386;-1.810;2.629;
1;6;2.500;0.000;-3.600;;-94.490;0.946;-3.749;-166.214;9.135;-11.283;-7.890;5.512;
1;7;3.000;0.000;-3.600;;-57.050;-16.584;29.729;-198.962;58.356;59.643;10.447;39.320;
1;8;3.500;0.000;-3.600;;-1.990;-0.580;-3.096;-99.232;-48.293;113.320;3.904;12.452;
1;9;4.000;0.000;-3.600;;-31.772;0.521;-3.846;-57.550;6.525;78.226;-0.017;-0.111;
1;10;4.500;0.000;-3.600;;-45.661;-0.402;-3.508;-48.861;-1.105;62.931;-1.096;-0.056;
1;11;5.000;0.000;-3.600;;-59.310;1.252;-2.620;-42.378;-4.591;52.756;-0.802;0.142;
1;12;5.500;0.000;-3.600;;-84.230;0.300;2.808;-47.897;-7.609;40.381;-3.728;3.540;
1;13;6.000;0.000;-3.600;;-70.702;-18.127;15.076;-70.224;65.372;71.280;12.142;16.224;
1;14;6.500;0.000;-3.600;;-48.658;-1.364;-2.425;-35.216;-34.563;88.640;0.876;5.842;
1;15;7.000;0.000;-3.600;;-56.855;0.767;-0.303;-9.644;1.994;74.459;-0.234;-0.177;
1;16;7.500;0.000;-3.600;;-59.005;-0.374;0.215;-0.512;-1.165;71.201;-1.106;-0.002;
1;17;8.000;0.000;-3.600;;-59.539;0.845;0.822;8.407;1.078;73.686;-0.274;0.178;
1;18;8.500;0.000;-3.600;;-56.213;-1.165;3.227;29.993;-30.939;86.099;0.397;-5.093;
1;19;9.000;0.000;-3.600;;-74.118;-18.090;-10.248;55.703;65.529;73.738;13.143;-13.346;
1;20;9.500;0.000;-3.600;;-83.789;0.083;-2.118;40.197;-11.694;46.218;-3.338;-2.589;
1;21;10.000;0.000;-3.600;;-63.420;1.193;2.739;39.295;-3.544;55.884;-0.701;-0.163;
1;22;10.500;0.000;-3.600;;-51.742;-0.410;3.444;45.881;-0.869;64.494;-1.073;0.085;
1;23;11.000;0.000;-3.600;;-39.081;0.520;3.578;54.317;6.498;78.416;0.106;0.217;
1;24;11.500;0.000;-3.600;;-11.406;-0.153;3.928;94.291;-47.396;112.708;4.025;-12.522;
1;25;12.000;0.000;-3.600;;-56.671;-18.090;-29.963;178.182;62.104;60.459;11.119;-40.270;
1;26;12.500;0.000;-3.600;;-90.277;1.256;0.182;133.507;12.726;1.273;-7.825;-10.756;
1;27;13.000;0.000;-3.600;;-42.193;1.067;8.215;103.895;-8.213;41.985;-2.051;-0.391;
1;28;13.500;0.000;-3.600;;-15.708;-1.436;7.360;107.551;-0.588;76.632;-2.193;-0.680;
1;29;14.000;0.000;-3.600;;8.426;-0.214;7.453;112.995;6.622;128.439;1.674;-2.105;
1;30;14.500;0.000;-3.600;;55.556;-1.112;2.978;155.185;-29.181;234.286;16.368;-36.741;
1;31;15.000;0.000;-3.600;;121.484;9.891;-28.583;231.166;-21.478;395.768;117.274;-112.928;
1;32;0.000;0.500;-3.600;;64.450;11.168;8.342;-26.109;0.112;-7.510;6.053;33.161;
1;33;0.500;0.500;-3.600;;39.619;2.531;-8.676;-37.994;-36.077;57.440;23.467;45.709;
1;34;1.000;0.500;-3.600;;12.474;0.137;-14.527;-46.946;11.153;86.515;-6.296;43.821;
1;35;1.500;0.500;-3.600;;-19.916;0.086;-13.814;-46.973;-2.763;73.280;0.489;43.676;
1;36;2.000;0.500;-3.600;;-47.349;-2.005;-15.112;-41.885;-17.494;60.537;18.516;27.045;
