Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;;;Axial Forces [kN/m];;;
;Point No.;X;Y;Z;;m_x,D+;m_y,D+;m_c,D+;m_x,D-;m_y,D-;m_c,D-;n_x,D;n_y,D;n_c,D;Surface Comment
1;1;0.000;0.000;-3.600;;149.436;34.170;-45.775;0.000;-7.143;-130.688;552.845;250.474;-245.293;
1;2;0.500;0.000;-3.600;;65.133;6.225;-13.600;0.000;1.368;-59.126;304.146;45.495;-64.417;
1;3;1.000;0.000;-3.600;;21.011;9.353;-18.519;0.000;7.203;-19.048;162.683;3.274;-5.931;
1;4;1.500;0.000;-3.600;;0.000;4.697;-22.947;25.993;14.021;-21.763;102.085;13.375;-20.516;
1;5;2.000;0.000;-3.600;;0.000;3.302;-49.952;57.701;8.381;-19.432;39.015;0.819;-5.258;
1;6;2.500;0.000;-3.600;;0.000;1.094;-94.639;98.239;2.803;-7.498;0.000;-5.197;-13.976;
1;7;3.000;0.000;-3.600;;31.146;-1.493;-103.287;97.520;41.081;-64.967;109.107;43.544;-82.561;
1;8;3.500;0.000;-3.600;;1.106;2.517;-6.193;5.087;3.676;-6.193;125.772;16.356;-24.905;
1;9;4.000;0.000;-3.600;;0.000;0.987;-32.237;35.618;3.325;-7.692;78.338;0.094;-0.222;
1;10;4.500;0.000;-3.600;;0.000;-0.133;-45.930;49.168;3.910;-7.016;62.934;0.000;-1.099;
1;11;5.000;0.000;-3.600;;0.000;1.368;-59.425;61.929;1.367;-5.239;52.782;0.000;-0.827;
1;12;5.500;0.000;-3.600;;0.000;0.393;-84.323;87.037;2.508;-5.615;43.743;0.000;-7.090;
1;13;6.000;0.000;-3.600;;0.000;-14.729;-74.100;85.778;33.203;-30.151;87.504;28.365;-32.447;
1;14;6.500;0.000;-3.600;;0.000;-1.244;-48.779;51.083;3.789;-4.849;94.482;6.719;-11.685;
1;15;7.000;0.000;-3.600;;0.000;0.769;-56.857;56.974;0.000;-0.887;74.593;0.000;-0.367;
1;16;7.500;0.000;-3.600;;0.000;-0.374;-59.006;59.219;0.589;-0.429;71.201;0.000;-1.106;
1;17;8.000;0.000;-3.600;;0.000;0.856;-59.550;60.338;0.000;-1.644;73.801;0.000;-0.390;
1;18;8.500;0.000;-3.600;;0.000;-0.980;-56.398;59.440;4.393;-6.455;91.192;5.490;-10.186;
1;19;9.000;0.000;-3.600;;0.000;-15.774;-76.433;85.573;29.545;-22.910;87.084;26.489;-26.692;
