Surface No.;Grid;Grid Point Coordinates [m];;;;Stresses from Moments [N/mm^2 ];;;Stresses from Axial Forces [N/mm^2 ];;;
;Point No.;X;Y;Z;;σ_x,b;σ_y,b;τ_xy,b;σ_x,m;σ_y,m;τ_xy,m;Surface Comment
1;1;0.000;0.000;-3.600;;3.037;0.271;0.549;0.860;0.256;0.245;
1;2;0.500;0.000;-3.600;;1.400;-0.014;-0.163;0.544;0.027;0.064;
1;3;1.000;0.000;-3.600;;0.282;0.002;-0.222;0.319;0.001;0.006;
1;4;1.500;0.000;-3.600;;-0.363;-0.075;-0.261;0.184;0.006;0.021;
1;5;2.000;0.000;-3.600;;-1.152;0.032;-0.233;0.073;-0.004;0.005;
1;6;2.500;0.000;-3.600;;-2.268;0.023;-0.090;-0.023;-0.016;0.011;
1;7;3.000;0.000;-3.600;;-1.369;-0.398;0.714;0.119;0.021;0.079;
1;8;3.500;0.000;-3.600;;-0.048;-0.014;-0.074;0.227;0.008;0.025;
1;9;4.000;0.000;-3.600;;-0.763;0.013;-0.092;0.156;0.000;0.000;
1;10;4.500;0.000;-3.600;;-1.096;-0.010;-0.084;0.126;-0.002;0.000;
1;11;5.000;0.000;-3.600;;-1.423;0.030;-0.063;0.106;-0.002;0.000;
1;12;5.500;0.000;-3.600;;-2.022;0.007;0.067;0.081;-0.007;0.007;
1;13;6.000;0.000;-3.600;;-1.697;-0.435;0.362;0.143;0.024;0.032;
1;14;6.500;0.000;-3.600;;-1.168;-0.033;-0.058;0.177;0.002;0.012;
1;15;7.000;0.000;-3.600;;-1.365;0.018;-0.007;0.149;0.000;0.000;
1;16;7.500;0.000;-3.600;;-1.416;-0.009;0.005;0.142;-0.002;0.000;
1;17;8.000;0.000;-3.600;;-1.429;0.020;0.020;0.147;-0.001;0.000;
1;18;8.500;0.000;-3.600;;-1.349;-0.028;0.077;0.172;0.001;-0.010;
1;19;9.000;0.000;-3.600;;-1.779;-0.434;-0.246;0.147;0.026;-0.027;
1;20;9.500;0.000;-3.600;;-2.011;0.002;-0.051;0.092;-0.007;-0.005;
1;21;10.000;0.000;-3.600;;-1.522;0.029;0.066;0.112;-0.001;0.000;
1;22;10.500;0.000;-3.600;;-1.242;-0.010;0.083;0.129;-0.002;0.000;
1;23;11.000;0.000;-3.600;;-0.938;0.012;0.086;0.157;0.000;0.000;
1;24;11.500;0.000;-3.600;;-0.274;-0.004;0.094;0.225;0.008;-0.025;
1;25;12.000;0.000;-3.600;;-1.360;-0.434;-0.719;0.121;0.022;-0.081;
1;26;12.500;0.000;-3.600;;-2.167;0.030;0.004;0.003;-0.016;-0.022;
1;27;13.000;0.000;-3.600;;-1.013;0.026;0.197;0.084;-0.004;-0.001;
1;28;13.500;0.000;-3.600;;-0.377;-0.034;0.177;0.153;-0.004;-0.001;
1;29;14.000;0.000;-3.600;;0.202;-0.005;0.179;0.257;0.003;-0.004;
1;30;14.500;0.000;-3.600;;1.333;-0.027;0.071;0.469;0.033;-0.073;
1;31;15.000;0.000;-3.600;;2.916;0.237;-0.686;0.792;0.235;-0.226;
1;32;0.000;0.500;-3.600;;1.547;0.268;0.200;-0.015;0.012;0.066;
1;33;0.500;0.500;-3.600;;0.951;0.061;-0.208;0.115;0.047;0.091;
1;34;1.000;0.500;-3.600;;0.299;0.003;-0.349;0.173;-0.013;0.088;
1;35;1.500;0.500;-3.600;;-0.478;0.002;-0.332;0.147;0.001;0.087;
1;36;2.000;0.500;-3.600;;-1.136;-0.048;-0.363;0.121;0.037;0.054;
1;37;2.500;0.500;-3.600;;-1.665;-0.192;-0.198;0.123;-0.013;0.037;
1;38;3.000;0.500;-3.600;;-1.152;-0.236;0.355;0.119;0.018;0.032;
1;39;3.500;0.500;-3.600;;-0.407;-0.007;-0.004;0.129;0.018;0.037;
1;40;4.000;0.500;-3.600;;-0.778;-0.021;-0.072;0.140;0.009;0.027;
1;41;4.500;0.500;-3.600;;-1.083;-0.030;-0.088;0.130;0.004;0.017;
1;42;5.000;0.500;-3.600;;-1.382;-0.055;-0.052;0.123;0.001;0.013;
1;43;5.500;0.500;-3.600;;-1.729;-0.150;0.022;0.125;-0.001;0.011;
1;44;6.000;0.500;-3.600;;-1.654;-0.258;0.189;0.129;0.017;0.011;
1;45;6.500;0.500;-3.600;;-1.285;-0.087;0.024;0.139;0.010;0.014;
1;46;7.000;0.500;-3.600;;-1.358;-0.045;0.012;0.148;0.005;0.008;
1;47;7.500;0.500;-3.600;;-1.402;-0.036;0.011;0.147;0.004;0.000;
1;48;8.000;0.500;-3.600;;-1.418;-0.047;0.014;0.148;0.005;-0.007;
1;49;8.500;0.500;-3.600;;-1.412;-0.097;0.011;0.141;0.009;-0.013;
1;50;9.000;0.500;-3.600;;-1.738;-0.264;-0.111;0.132;0.018;-0.009;
1;51;9.500;0.500;-3.600;;-1.774;-0.144;0.006;0.129;0.000;-0.008;
1;52;10.000;0.500;-3.600;;-1.488;-0.052;0.066;0.128;0.001;-0.011;
1;53;10.500;0.500;-3.600;;-1.234;-0.026;0.093;0.133;0.004;-0.014;
1;54;11.000;0.500;-3.600;;-0.960;-0.017;0.069;0.141;0.008;-0.025;
1;55;11.500;0.500;-3.600;;-0.608;-0.009;-0.001;0.127;0.018;-0.035;
1;56;12.000;0.500;-3.600;;-1.289;-0.197;-0.399;0.109;0.018;-0.031;
1;57;12.500;0.500;-3.600;;-1.614;-0.166;0.050;0.101;-0.006;-0.039;
1;58;13.000;0.500;-3.600;;-0.981;-0.028;0.182;0.099;0.003;-0.045;
1;59;13.500;0.500;-3.600;;-0.413;-0.008;0.253;0.121;0.011;-0.055;
1;60;14.000;0.500;-3.600;;0.185;-0.021;0.224;0.143;0.021;-0.083;
1;61;14.500;0.500;-3.600;;0.831;0.061;0.063;0.102;0.037;-0.103;
1;62;15.000;0.500;-3.600;;1.486;0.272;-0.345;-0.008;-0.001;-0.079;
1;63;0.000;1.000;-3.600;;0.608;0.056;0.025;-0.042;-0.041;0.007;
1;64;0.500;1.000;-3.600;;0.555;0.022;-0.177;-0.031;0.066;0.049;
1;65;1.000;1.000;-3.600;;0.241;0.115;-0.281;-0.011;-0.001;0.049;
1;66;1.500;1.000;-3.600;;-0.639;0.095;-0.297;0.131;0.000;0.058;
1;67;2.000;1.000;-3.600;;-0.904;-0.253;-0.525;0.213;0.082;0.092;
1;68;2.500;1.000;-3.600;;-1.137;-0.170;-0.191;0.141;-0.004;0.060;
1;69;3.000;1.000;-3.600;;-0.995;-0.104;0.099;0.108;0.017;0.022;
1;70;3.500;1.000;-3.600;;-0.666;-0.040;0.025;0.111;0.028;0.025;
1;71;4.000;1.000;-3.600;;-0.821;-0.051;-0.046;0.118;0.016;0.023;
1;72;4.500;1.000;-3.600;;-1.072;-0.055;-0.068;0.125;0.009;0.018;
1;73;5.000;1.000;-3.600;;-1.341;-0.075;-0.051;0.129;0.004;0.012;
1;74;5.500;1.000;-3.600;;-1.574;-0.114;0.015;0.132;0.003;0.006;
1;75;6.000;1.000;-3.600;;-1.606;-0.144;0.100;0.132;0.014;0.001;
1;76;6.500;1.000;-3.600;;-1.395;-0.091;0.058;0.135;0.016;0.007;
1;77;7.000;1.000;-3.600;;-1.380;-0.076;0.032;0.140;0.010;0.004;
1;78;7.500;1.000;-3.600;;-1.402;-0.068;0.016;0.143;0.008;0.000;
1;79;8.000;1.000;-3.600;;-1.434;-0.078;0.003;0.141;0.009;-0.004;
1;80;8.500;1.000;-3.600;;-1.491;-0.098;-0.013;0.137;0.016;-0.007;
1;81;9.000;1.000;-3.600;;-1.699;-0.149;-0.042;0.134;0.015;-0.002;
1;82;9.500;1.000;-3.600;;-1.657;-0.114;0.025;0.134;0.004;-0.005;
1;83;10.000;1.000;-3.600;;-1.460;-0.073;0.074;0.133;0.004;-0.010;
1;84;10.500;1.000;-3.600;;-1.233;-0.050;0.081;0.129;0.008;-0.015;
1;85;11.000;1.000;-3.600;;-1.016;-0.044;0.048;0.121;0.015;-0.019;
1;86;11.500;1.000;-3.600;;-0.880;-0.032;-0.036;0.113;0.028;-0.019;
1;87;12.000;1.000;-3.600;;-1.196;-0.086;-0.153;0.108;0.017;-0.010;
1;88;12.500;1.000;-3.600;;-1.278;-0.091;0.041;0.103;-0.001;-0.027;
1;89;13.000;1.000;-3.600;;-0.886;-0.048;0.166;0.093;0.010;-0.042;
1;90;13.500;1.000;-3.600;;-0.404;-0.030;0.202;0.077;0.023;-0.054;
1;91;14.000;1.000;-3.600;;0.085;-0.036;0.164;0.048;0.034;-0.060;
1;92;14.500;1.000;-3.600;;0.455;-0.010;0.023;0.016;0.043;-0.047;
1;93;15.000;1.000;-3.600;;0.596;0.054;-0.169;-0.029;-0.052;-0.001;
1;94;0.000;1.500;-3.600;;0.338;-0.011;-0.078;-0.018;-0.051;0.027;
1;95;0.500;1.500;-3.600;;0.269;-0.039;-0.141;-0.010;0.034;0.041;
1;96;1.000;1.500;-3.600;;0.042;-0.036;-0.164;-0.009;0.082;0.037;
1;98;2.000;1.500;-3.600;;-0.279;-0.100;-0.245;-0.027;-0.003;0.022;
1;99;2.500;1.500;-3.600;;-0.759;-0.093;-0.112;0.039;0.013;0.031;
1;100;3.000;1.500;-3.600;;-0.865;-0.033;-0.003;0.095;0.019;0.026;
1;101;3.500;1.500;-3.600;;-0.758;-0.045;0.010;0.100;0.026;0.014;
1;102;4.000;1.500;-3.600;;-0.872;-0.065;-0.010;0.111;0.021;0.013;
1;103;4.500;1.500;-3.600;;-1.074;-0.059;-0.024;0.121;0.013;0.010;
1;104;5.000;1.500;-3.600;;-1.304;-0.052;-0.016;0.129;0.008;0.007;
1;105;5.500;1.500;-3.600;;-1.491;-0.055;0.014;0.133;0.008;0.003;
1;106;6.000;1.500;-3.600;;-1.532;-0.068;0.057;0.134;0.014;0.001;
1;107;6.500;1.500;-3.600;;-1.437;-0.071;0.052;0.136;0.015;0.002;
1;108;7.000;1.500;-3.600;;-1.411;-0.081;0.038;0.139;0.014;0.002;
1;109;7.500;1.500;-3.600;;-1.418;-0.081;0.020;0.140;0.012;0.000;
1;110;8.000;1.500;-3.600;;-1.458;-0.081;0.004;0.140;0.013;-0.002;
1;111;8.500;1.500;-3.600;;-1.520;-0.074;-0.007;0.138;0.015;-0.003;
1;112;9.000;1.500;-3.600;;-1.628;-0.075;-0.008;0.136;0.014;-0.002;
1;113;9.500;1.500;-3.600;;-1.592;-0.061;0.029;0.135;0.008;-0.003;
1;114;10.000;1.500;-3.600;;-1.436;-0.056;0.050;0.132;0.008;-0.006;
1;115;10.500;1.500;-3.600;;-1.247;-0.057;0.048;0.126;0.012;-0.008;
1;116;11.000;1.500;-3.600;;-1.085;-0.057;0.020;0.118;0.019;-0.010;
1;117;11.500;1.500;-3.600;;-0.999;-0.035;-0.020;0.110;0.023;-0.009;
1;118;12.000;1.500;-3.600;;-1.109;-0.017;-0.054;0.104;0.017;-0.008;
1;119;12.500;1.500;-3.600;;-1.103;-0.006;0.031;0.093;0.012;-0.015;
1;120;13.000;1.500;-3.600;;-0.806;-0.009;0.091;0.076;0.018;-0.024;
1;121;13.500;1.500;-3.600;;-0.406;-0.037;0.106;0.051;0.031;-0.029;
1;122;14.000;1.500;-3.600;;-0.018;-0.066;0.073;0.023;0.038;-0.029;
1;123;14.500;1.500;-3.600;;0.250;-0.069;0.002;0.002;0.015;-0.016;
1;124;15.000;1.500;-3.600;;0.324;-0.018;-0.075;-0.021;-0.064;0.002;
1;125;0.000;2.000;-3.600;;0.275;-0.039;-0.120;-0.004;-0.059;0.018;
1;126;0.500;2.000;-3.600;;0.166;-0.081;-0.151;0.029;0.020;0.021;
1;127;1.000;2.000;-3.600;;-0.068;-0.127;-0.162;0.082;0.122;0.044;
1;128;1.500;2.000;-3.600;;-0.493;-0.014;-0.177;0.073;-0.002;0.007;
1;129;2.000;2.000;-3.600;;-0.571;0.055;0.024;0.042;-0.021;-0.014;
1;130;2.500;2.000;-3.600;;-0.727;0.033;-0.050;0.055;0.019;-0.006;
1;131;3.000;2.000;-3.600;;-0.775;0.013;-0.044;0.075;0.019;0.003;
1;132;3.500;2.000;-3.600;;-0.749;-0.027;-0.012;0.097;0.026;0.001;
1;133;4.000;2.000;-3.600;;-0.873;-0.054;0.013;0.110;0.022;0.001;
1;134;4.500;2.000;-3.600;;-1.070;-0.047;0.026;0.121;0.015;0.001;
1;135;5.000;2.000;-3.600;;-1.289;-0.029;0.028;0.130;0.010;0.001;
1;136;5.500;2.000;-3.600;;-1.461;-0.022;0.030;0.134;0.010;0.001;
1;137;6.000;2.000;-3.600;;-1.496;-0.030;0.028;0.137;0.014;0.000;
1;138;6.500;2.000;-3.600;;-1.442;-0.046;0.029;0.138;0.015;0.000;
1;139;7.000;2.000;-3.600;;-1.423;-0.068;0.029;0.140;0.015;-0.001;
1;140;7.500;2.000;-3.600;;-1.430;-0.074;0.025;0.141;0.014;-0.001;
1;141;8.000;2.000;-3.600;;-1.470;-0.068;0.019;0.141;0.014;-0.001;
1;142;8.500;2.000;-3.600;;-1.525;-0.050;0.017;0.140;0.015;-0.001;
1;143;9.000;2.000;-3.600;;-1.594;-0.039;0.016;0.139;0.014;-0.001;
1;144;9.500;2.000;-3.600;;-1.567;-0.032;0.017;0.137;0.010;-0.001;
1;145;10.000;2.000;-3.600;;-1.430;-0.038;0.017;0.133;0.009;-0.001;
1;146;10.500;2.000;-3.600;;-1.258;-0.049;0.013;0.127;0.013;-0.001;
1;147;11.000;2.000;-3.600;;-1.112;-0.048;0.008;0.119;0.019;-0.001;
1;148;11.500;2.000;-3.600;;-1.027;-0.018;0.007;0.111;0.021;-0.001;
1;149;12.000;2.000;-3.600;;-1.072;0.016;0.008;0.104;0.018;-0.001;
1;150;12.500;2.000;-3.600;;-1.045;0.028;0.009;0.090;0.016;-0.001;
1;151;13.000;2.000;-3.600;;-0.780;0.015;0.008;0.070;0.023;-0.001;
1;152;13.500;2.000;-3.600;;-0.415;-0.027;0.002;0.044;0.034;-0.001;
1;153;14.000;2.000;-3.600;;-0.053;-0.072;-0.006;0.019;0.036;-0.001;
1;154;14.500;2.000;-3.600;;0.185;-0.069;-0.008;0.001;0.005;-0.002;
1;155;15.000;2.000;-3.600;;0.265;-0.018;-0.003;-0.015;-0.066;-0.002;
1;156;0.000;2.500;-3.600;;0.318;-0.002;-0.196;-0.016;-0.068;0.005;
1;157;0.500;2.500;-3.600;;0.212;-0.064;-0.176;0.008;0.032;-0.007;
1;158;1.000;2.500;-3.600;;-0.034;-0.074;-0.155;0.035;0.072;0.000;
1;159;1.500;2.500;-3.600;;-0.419;0.008;-0.122;0.062;0.015;-0.005;
1;160;2.000;2.500;-3.600;;-0.717;0.078;-0.050;0.087;-0.004;-0.008;
1;161;2.500;2.500;-3.600;;-0.832;0.058;-0.073;0.093;0.005;-0.015;
1;162;3.000;2.500;-3.600;;-0.731;0.014;-0.116;0.094;0.022;-0.013;
1;163;3.500;2.500;-3.600;;-0.667;-0.012;-0.031;0.105;0.028;-0.012;
1;164;4.000;2.500;-3.600;;-0.822;-0.034;0.037;0.116;0.022;-0.012;
1;165;4.500;2.500;-3.600;;-1.053;-0.031;0.077;0.126;0.013;-0.009;
1;166;5.000;2.500;-3.600;;-1.300;-0.021;0.076;0.134;0.008;-0.006;
1;167;5.500;2.500;-3.600;;-1.489;-0.019;0.047;0.138;0.009;-0.002;
1;168;6.000;2.500;-3.600;;-1.511;-0.025;-0.003;0.140;0.015;-0.001;
1;169;6.500;2.500;-3.600;;-1.429;-0.037;0.003;0.142;0.016;-0.003;
1;170;7.000;2.500;-3.600;;-1.413;-0.055;0.018;0.144;0.014;-0.003;
