Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - Rankine [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Rankine,Max;σ_eqv,Rankine,+;σ_eqv,Rankine,-;σ_eqv,Rankine,m;Surface Comment
1;1;0.000;0.000;-3.600;;4.075;4.075;2.219;0.947;
1;2;0.500;0.000;-3.600;;1.949;1.949;0.911;0.552;
1;3;1.000;0.000;-3.600;;0.671;0.671;0.247;0.320;
1;4;1.500;0.000;-3.600;;0.679;0.371;0.679;0.186;
1;5;2.000;0.000;-3.600;;1.268;1.124;1.268;0.073;
1;6;2.500;0.000;-3.600;;2.293;2.293;2.250;0.031;
1;7;3.000;0.000;-3.600;;2.845;2.845;2.335;0.262;
1;8;3.500;0.000;-3.600;;0.309;0.191;0.309;0.229;
1;9;4.000;0.000;-3.600;;0.928;0.620;0.928;0.156;
1;10;4.500;0.000;-3.600;;1.228;0.977;1.228;0.126;
1;11;5.000;0.000;-3.600;;1.531;1.321;1.531;0.106;
1;12;5.500;0.000;-3.600;;2.104;1.944;2.104;0.081;
1;13;6.000;0.000;-3.600;;1.922;1.680;1.922;0.151;
1;14;6.500;0.000;-3.600;;1.349;0.993;1.349;0.178;
1;15;7.000;0.000;-3.600;;1.513;1.216;1.513;0.149;
1;16;7.500;0.000;-3.600;;1.559;1.274;1.559;0.142;
1;17;8.000;0.000;-3.600;;1.577;1.282;1.577;0.147;
1;18;8.500;0.000;-3.600;;1.526;1.181;1.526;0.173;
1;19;9.000;0.000;-3.600;;1.990;1.701;1.990;0.154;
1;20;9.500;0.000;-3.600;;2.104;1.920;2.104;0.093;
1;21;10.000;0.000;-3.600;;1.636;1.413;1.636;0.112;
1;22;10.500;0.000;-3.600;;1.376;1.119;1.376;0.129;
1;23;11.000;0.000;-3.600;;1.101;0.790;1.101;0.157;
1;24;11.500;0.000;-3.600;;0.527;0.096;0.527;0.228;
1;25;12.000;0.000;-3.600;;2.652;2.652;2.144;0.262;
1;26;12.500;0.000;-3.600;;2.169;2.164;2.169;0.030;
1;27;13.000;0.000;-3.600;;1.130;0.968;1.130;0.084;
1;28;13.500;0.000;-3.600;;0.587;0.329;0.587;0.153;
1;29;14.000;0.000;-3.600;;0.518;0.518;0.216;0.257;
1;30;14.500;0.000;-3.600;;1.802;1.802;0.887;0.481;
1;31;15.000;0.000;-3.600;;3.946;3.946;2.220;0.872;
1;32;0.000;0.500;-3.600;;1.586;1.586;1.575;0.069;
1;33;0.500;0.500;-3.600;;1.080;1.080;0.934;0.178;
1;34;1.000;0.500;-3.600;;0.587;0.587;0.511;0.208;
1;35;1.500;0.500;-3.600;;0.835;0.460;0.835;0.187;
1;36;2.000;0.500;-3.600;;1.391;1.103;1.391;0.148;
1;37;2.500;0.500;-3.600;;1.822;1.561;1.822;0.133;
1;38;3.000;0.500;-3.600;;1.431;1.303;1.418;0.130;
1;39;3.500;0.500;-3.600;;0.539;0.281;0.539;0.140;
1;40;4.000;0.500;-3.600;;0.928;0.641;0.928;0.145;
1;41;4.500;0.500;-3.600;;1.223;0.959;1.223;0.132;
1;42;5.000;0.500;-3.600;;1.508;1.260;1.508;0.125;
1;43;5.500;0.500;-3.600;;1.854;1.604;1.854;0.126;
1;44;6.000;0.500;-3.600;;1.804;1.555;1.804;0.131;
1;45;6.500;0.500;-3.600;;1.424;1.147;1.424;0.141;
1;46;7.000;0.500;-3.600;;1.506;1.211;1.506;0.148;
1;47;7.500;0.500;-3.600;;1.549;1.256;1.549;0.147;
1;48;8.000;0.500;-3.600;;1.566;1.271;1.566;0.148;
1;49;8.500;0.500;-3.600;;1.553;1.271;1.553;0.142;
1;50;9.000;0.500;-3.600;;1.878;1.618;1.878;0.133;
1;51;9.500;0.500;-3.600;;1.903;1.645;1.903;0.129;
1;52;10.000;0.500;-3.600;;1.619;1.362;1.619;0.129;
1;53;10.500;0.500;-3.600;;1.376;1.107;1.376;0.135;
1;54;11.000;0.500;-3.600;;1.109;0.821;1.109;0.146;
