Section No.;Member;Node;Location;;;Forces [kN];;;Moments [kNm];;;
;No.;No.;x [m];Flags;;N;V_y / V_u;V_z / V_v;M_T;M_y / M_u;M_z / M_v;Section (Material) | Member Comment
1;IPE 200 | 1 - S235;;;;;;;;;;;
1;26;3;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;21;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;6;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;28;24;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;9;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;30;27;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;12;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;32;30;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;15;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;34;33;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;18;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.3333333333333333;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;1.7777777777777777;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.0000000000000000;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.2222222222222223;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;2.6666666666666665;R | E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.1111111111111116;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;;3.5555555555555562;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;36;36;4.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Extremes;26;3;0.0000000000000000;M;N;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;N;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;V_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;V_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;V_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;V_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_T;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_T;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_y;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
1;26;3;0.0000000000000000;M;M_z;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 1 - IPE 200 | L : 4.000 m | steel beam
Total;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;
1;;;;;;0.00;0.00;0.00;0.00;0.00;0.00;
;;;;;;;;;;;;
2;R_M1 500/1000 | 2 - C20/25;;;;;;;;;;;
2;25;2;0.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.4444444444444444;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.5000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;0.8888888888888888;E;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
2;25;;1.0000000000000000;M;;0.00;0.00;0.00;0.00;0.00;0.00;Beam | 2 - R_M1 500/1000 | L : 4.000 m | concrete beam
