Mode No.;Member;Node;Location;Normalized Displacements [--];;;Normalized Rotations [--];;;
;No.;No.;x [m];u_X;u_Y;u_Z;φ_X;φ_Y;φ_Z;Member Comment
1;1;1;0.000;0.00000;0.00000;-0.15700;0.00000;0.00000;0.00000;concrete column
1;1;2;3.600;0.04726;-0.00547;-0.15708;-0.00301;-0.02381;0.00015;concrete column
1;2;2;0.000;0.04726;-0.00547;-0.15708;-0.00301;-0.02381;0.00015;steel column
1;2;3;4.000;0.84652;-0.09503;-0.15728;-0.02316;-0.05936;0.00528;steel column
1;3;4;0.000;0.00000;0.00000;-0.08974;0.00000;0.00000;0.00000;concrete column
1;3;5;3.600;0.04722;-0.00507;-0.08978;-0.00237;-0.02142;0.00011;concrete column
1;4;5;0.000;0.04722;-0.00507;-0.08978;-0.00237;-0.02142;0.00011;steel column
1;4;6;4.000;0.17637;0.00710;-0.08981;0.00329;-0.03813;-0.15927;steel column
1;5;7;0.000;0.00000;0.00000;-0.02649;0.00000;0.00000;0.00000;concrete column
1;5;8;3.600;0.04720;-0.00470;-0.02651;-0.00207;-0.02068;0.00010;concrete column
1;6;8;0.000;0.04720;-0.00470;-0.02651;-0.00207;-0.02068;0.00010;steel column
1;6;9;4.000;0.20108;-0.01356;-0.02650;-0.00220;-0.04791;-0.00004;steel column
1;7;10;0.000;0.00000;0.00000;0.03524;0.00000;0.00000;0.00000;concrete column
1;7;11;3.600;0.04719;-0.00434;0.03526;-0.00189;-0.02062;0.00010;concrete column
1;8;11;0.000;0.04719;-0.00434;0.03526;-0.00189;-0.02062;0.00010;steel column
1;8;12;4.000;0.20063;-0.01264;0.03526;-0.00208;-0.04777;0.00003;steel column
1;9;13;0.000;0.00000;0.00000;0.09820;0.00000;0.00000;0.00000;concrete column
1;9;14;3.600;0.04719;-0.00399;0.09825;-0.00174;-0.02135;0.00010;concrete column
1;10;14;0.000;0.04719;-0.00399;0.09825;-0.00174;-0.02135;0.00010;steel column
1;10;15;4.000;0.20612;-0.01189;0.09825;-0.00201;-0.04948;0.00010;steel column
1;11;16;0.000;0.00000;0.00000;0.16538;0.00000;0.00000;0.00000;concrete column
1;11;17;3.600;0.04721;-0.00365;0.16546;-0.00173;-0.02359;0.00013;concrete column
1;12;17;0.000;0.04721;-0.00365;0.16546;-0.00173;-0.02359;0.00013;steel column
1;12;18;4.000;0.84663;-0.01953;0.16578;-0.00443;-0.06119;0.00372;steel column
1;13;19;0.000;0.00000;0.00000;-0.16882;0.00000;0.00000;0.00000;concrete column
1;13;20;3.600;0.04676;-0.00546;-0.16890;-0.00300;-0.02432;0.00008;concrete column
1;14;20;0.000;0.04676;-0.00546;-0.16890;-0.00300;-0.02432;0.00008;steel column
1;14;21;4.000;0.98098;-0.09482;-0.16940;-0.02157;-0.06825;0.00423;steel column
1;15;22;0.000;0.00000;0.00000;-0.09904;0.00000;0.00000;0.00000;concrete column
1;15;23;3.600;0.04674;-0.00507;-0.09909;-0.00219;-0.02223;0.00011;concrete column
1;16;23;0.000;0.04674;-0.00507;-0.09909;-0.00219;-0.02223;0.00011;steel column
1;16;24;4.000;0.70737;0.00724;-0.09902;0.00012;-0.23387;-0.07426;steel column
1;17;25;0.000;0.00000;0.00000;-0.03466;0.00000;0.00000;0.00000;concrete column
1;17;26;3.600;0.04672;-0.00470;-0.03468;-0.00201;-0.02077;0.00013;concrete column
1;18;26;0.000;0.04672;-0.00470;-0.03468;-0.00201;-0.02077;0.00013;steel column
1;18;27;4.000;0.20125;-0.01355;-0.03468;-0.00222;-0.04810;-0.00004;steel column
1;19;28;0.000;0.00000;0.00000;0.02758;0.00000;0.00000;0.00000;concrete column
1;19;29;3.600;0.04672;-0.00434;0.02760;-0.00193;-0.02067;0.00013;concrete column
1;20;29;0.000;0.04672;-0.00434;0.02760;-0.00193;-0.02067;0.00013;steel column
1;20;30;4.000;0.20050;-0.01264;0.02759;-0.00206;-0.04787;0.00004;steel column
1;21;31;0.000;0.00000;0.00000;0.09090;0.00000;0.00000;0.00000;concrete column
1;21;32;3.600;0.04674;-0.00399;0.09094;-0.00190;-0.02138;0.00012;concrete column
1;22;32;0.000;0.04674;-0.00399;0.09094;-0.00190;-0.02138;0.00012;steel column
1;22;33;4.000;0.20574;-0.01189;0.09094;-0.00194;-0.04949;0.00010;steel column
1;23;34;0.000;0.00000;0.00000;0.15844;0.00000;0.00000;0.00000;concrete column
1;23;35;3.600;0.04678;-0.00366;0.15851;-0.00174;-0.02387;0.00007;concrete column
1;24;35;0.000;0.04678;-0.00366;0.15851;-0.00174;-0.02387;0.00007;steel column
1;24;36;4.000;0.98098;-0.01953;0.15885;-0.00437;-0.06832;0.00428;steel column
1;25;2;0.000;0.04726;-0.00547;-0.15708;-0.00301;-0.02381;0.00015;concrete beam
1;25;20;4.000;0.04676;-0.00546;-0.16890;-0.00300;-0.02432;0.00008;concrete beam
1;26;3;0.000;0.84652;-0.09503;-0.15728;-0.02316;-0.05936;0.00528;steel beam
1;26;21;4.000;0.98098;-0.09482;-0.16940;-0.02157;-0.06825;0.00423;steel beam
1;27;5;0.000;0.04722;-0.00507;-0.08978;-0.00237;-0.02142;0.00011;concrete beam
1;27;23;4.000;0.04674;-0.00507;-0.09909;-0.00219;-0.02223;0.00011;concrete beam
1;28;6;0.000;0.17637;0.00710;-0.08981;0.00329;-0.03813;-0.15927;steel beam
1;28;24;4.000;0.70737;0.00724;-0.09902;0.00012;-0.23387;-0.07426;steel beam
1;29;8;0.000;0.04720;-0.00470;-0.02651;-0.00207;-0.02068;0.00010;concrete beam
1;29;26;4.000;0.04672;-0.00470;-0.03468;-0.00201;-0.02077;0.00013;concrete beam
1;30;9;0.000;0.20108;-0.01356;-0.02650;-0.00220;-0.04791;-0.00004;steel beam
