Surface No.;Grid;Grid Point Coordinates [m];;;;Equivalent Stresses - von Mises [N/mm^2 ];;;;
;Point No.;X;Y;Z;;σ_eqv,Mises,Max;σ_eqv,Mises,+;σ_eqv,Mises,-;σ_eqv,Mises,m;Surface Comment
1;1;0.000;0.000;-3.600;;1.548;1.548;1.380;0.085;
1;2;0.500;0.000;-3.600;;0.588;0.588;0.490;0.051;
1;3;1.000;0.000;-3.600;;0.103;0.097;0.103;0.028;
1;4;1.500;0.000;-3.600;;0.279;0.251;0.279;0.014;
1;5;2.000;0.000;-3.600;;0.387;0.385;0.387;0.001;
1;6;2.500;0.000;-3.600;;0.478;0.478;0.450;0.015;
1;7;3.000;0.000;-3.600;;0.771;0.771;0.657;0.060;
1;8;3.500;0.000;-3.600;;0.242;0.242;0.188;0.047;
1;9;4.000;0.000;-3.600;;0.382;0.329;0.382;0.029;
1;10;4.500;0.000;-3.600;;0.499;0.457;0.499;0.021;
1;11;5.000;0.000;-3.600;;0.539;0.507;0.539;0.016;
1;12;5.500;0.000;-3.600;;0.480;0.460;0.480;0.012;
1;13;6.000;0.000;-3.600;;0.359;0.359;0.308;0.028;
1;14;6.500;0.000;-3.600;;0.254;0.193;0.254;0.035;
1;15;7.000;0.000;-3.600;;0.517;0.464;0.517;0.027;
1;16;7.500;0.000;-3.600;;0.575;0.525;0.575;0.025;
1;17;8.000;0.000;-3.600;;0.545;0.494;0.545;0.026;
1;18;8.500;0.000;-3.600;;0.331;0.270;0.331;0.032;
1;19;9.000;0.000;-3.600;;0.264;0.264;0.214;0.027;
1;20;9.500;0.000;-3.600;;0.399;0.375;0.399;0.014;
1;21;10.000;0.000;-3.600;;0.534;0.500;0.534;0.017;
1;22;10.500;0.000;-3.600;;0.525;0.483;0.525;0.021;
1;23;11.000;0.000;-3.600;;0.433;0.380;0.433;0.027;
1;24;11.500;0.000;-3.600;;0.147;0.136;0.147;0.044;
1;25;12.000;0.000;-3.600;;0.565;0.565;0.460;0.057;
1;26;12.500;0.000;-3.600;;0.432;0.432;0.406;0.014;
1;27;13.000;0.000;-3.600;;0.400;0.394;0.400;0.003;
1;28;13.500;0.000;-3.600;;0.323;0.297;0.323;0.013;
1;29;14.000;0.000;-3.600;;0.178;0.147;0.178;0.025;
1;30;14.500;0.000;-3.600;;0.479;0.479;0.390;0.050;
1;31;15.000;0.000;-3.600;;1.397;1.397;1.222;0.089;
1;32;0.000;0.500;-3.600;;0.721;0.721;0.716;0.012;
1;33;0.500;0.500;-3.600;;0.328;0.328;0.315;0.018;
1;34;1.000;0.500;-3.600;;0.104;0.085;0.104;0.024;
1;35;1.500;0.500;-3.600;;0.258;0.226;0.258;0.021;
1;36;2.000;0.500;-3.600;;0.352;0.329;0.352;0.015;
1;37;2.500;0.500;-3.600;;0.334;0.309;0.334;0.019;
1;38;3.000;0.500;-3.600;;0.319;0.312;0.305;0.020;
1;39;3.500;0.500;-3.600;;0.146;0.119;0.146;0.024;
1;40;4.000;0.500;-3.600;;0.336;0.286;0.336;0.026;
1;41;4.500;0.500;-3.600;;0.435;0.392;0.435;0.022;
1;42;5.000;0.500;-3.600;;0.464;0.426;0.464;0.021;
1;43;5.500;0.500;-3.600;;0.418;0.383;0.418;0.021;
1;44;6.000;0.500;-3.600;;0.177;0.161;0.168;0.020;
1;45;6.500;0.500;-3.600;;0.280;0.235;0.280;0.024;
1;46;7.000;0.500;-3.600;;0.452;0.401;0.452;0.026;
1;47;7.500;0.500;-3.600;;0.503;0.453;0.503;0.025;
1;48;8.000;0.500;-3.600;;0.473;0.423;0.473;0.025;
1;49;8.500;0.500;-3.600;;0.340;0.295;0.340;0.023;
1;50;9.000;0.500;-3.600;;0.142;0.123;0.142;0.020;
1;51;9.500;0.500;-3.600;;0.383;0.347;0.383;0.021;
1;52;10.000;0.500;-3.600;;0.463;0.425;0.463;0.021;
1;53;10.500;0.500;-3.600;;0.456;0.414;0.456;0.022;
1;54;11.000;0.500;-3.600;;0.373;0.325;0.373;0.025;
1;55;11.500;0.500;-3.600;;0.177;0.136;0.177;0.023;
1;56;12.000;0.500;-3.600;;0.248;0.242;0.235;0.018;
1;57;12.500;0.500;-3.600;;0.341;0.329;0.341;0.017;
1;58;13.000;0.500;-3.600;;0.334;0.319;0.334;0.015;
1;59;13.500;0.500;-3.600;;0.276;0.249;0.276;0.017;
1;60;14.000;0.500;-3.600;;0.177;0.141;0.177;0.022;
1;61;14.500;0.500;-3.600;;0.247;0.247;0.244;0.022;
1;62;15.000;0.500;-3.600;;0.631;0.631;0.621;0.017;
1;63;0.000;1.000;-3.600;;0.383;0.380;0.383;0.004;
1;64;0.500;1.000;-3.600;;0.296;0.281;0.296;0.011;
1;65;1.000;1.000;-3.600;;0.150;0.150;0.150;0.009;
1;66;1.500;1.000;-3.600;;0.306;0.271;0.306;0.020;
1;67;2.000;1.000;-3.600;;0.397;0.345;0.397;0.028;
1;68;2.500;1.000;-3.600;;0.259;0.242;0.259;0.022;
