Surface No.;Grid;Grid Point Coordinates [m];;;;Moments [kNm/m];;;;Shear Forces [kN/m];;Axial Forces [kN/m];;;;
;Point No.;X;Y;Z;;m_1;m_2;α_b [deg];m_T,max,b;v_max,b;β_b [deg];n_1;n_2;α_m [deg];v_max,m;Surface Comment
1;1;0.000;0.000;-3.600;;-7.186;-64.282;-73.74;28.548;145.700;25.03;-8.676;-46.285;-68.98;18.804;
1;2;0.500;0.000;-3.600;;1.495;-21.656;88.11;11.575;74.316;4.68;-0.706;-25.827;-82.81;12.561;
1;3;1.000;0.000;-3.600;;3.507;-0.847;48.08;2.177;38.237;2.20;-0.060;-14.138;-88.82;7.039;
1;4;1.500;0.000;-3.600;;11.055;-0.008;12.83;5.531;23.782;9.90;-0.235;-7.153;-81.47;3.459;
1;5;2.000;0.000;-3.600;;16.478;0.784;-1.46;7.847;10.728;6.67;0.278;-0.567;-67.55;0.423;
1;6;2.500;0.000;-3.600;;19.590;0.552;-5.05;9.519;11.900;-103.54;8.089;1.253;-16.58;3.418;
1;7;3.000;0.000;-3.600;;3.260;-25.601;-47.64;14.431;104.447;66.63;5.756;-20.935;-47.01;13.346;
1;8;3.500;0.000;-3.600;;3.248;-6.731;70.43;4.989;73.302;4.58;-0.501;-23.833;-81.79;11.666;
1;9;4.000;0.000;-3.600;;14.966;0.331;12.72;7.317;35.175;2.35;-0.038;-14.326;89.87;7.144;
1;10;4.500;0.000;-3.600;;20.203;0.613;3.74;9.795;16.020;14.99;0.280;-10.502;89.96;5.391;
1;11;5.000;0.000;-3.600;;22.219;0.873;-1.66;10.673;5.942;127.20;0.197;-7.995;-89.59;4.096;
1;12;5.500;0.000;-3.600;;19.804;0.414;-8.72;9.695;28.740;-168.28;1.146;-5.171;-82.42;3.158;
1;13;6.000;0.000;-3.600;;-2.862;-14.367;-48.89;5.753;104.091;82.00;-2.526;-15.084;-67.41;6.279;
1;14;6.500;0.000;-3.600;;9.101;-0.346;21.67;4.723;57.800;2.56;0.003;-17.383;-84.74;8.693;
1;15;7.000;0.000;-3.600;;20.801;0.727;6.04;10.037;23.522;6.63;0.059;-13.360;89.75;6.710;
1;16;7.500;0.000;-3.600;;23.251;0.662;0.78;11.295;5.389;52.44;0.299;-12.417;89.99;6.358;
1;17;8.000;0.000;-3.600;;22.042;0.823;-4.12;10.609;16.965;168.43;0.078;-12.944;-89.75;6.511;
1;18;8.500;0.000;-3.600;;12.714;0.409;-15.02;6.152;48.081;180.00;0.106;-16.126;85.44;8.116;
1;19;9.000;0.000;-3.600;;-5.623;-11.327;68.93;2.852;103.932;92.53;-3.029;-14.615;77.95;5.793;
1;20;9.500;0.000;-3.600;;16.327;0.447;11.68;7.940;39.021;-4.48;0.915;-6.376;85.87;3.646;
1;21;10.000;0.000;-3.600;;21.947;0.855;3.40;10.546;11.754;20.39;0.170;-8.414;89.61;4.292;
1;22;10.500;0.000;-3.600;;21.325;0.642;-1.67;10.342;9.423;153.57;0.273;-10.404;-89.93;5.339;
1;23;11.000;0.000;-3.600;;17.217;0.584;-8.38;8.317;28.303;175.83;-0.037;-13.711;-89.78;6.837;
1;24;11.500;0.000;-3.600;;4.091;-2.294;-51.58;3.192;64.346;176.36;-0.496;-22.472;81.84;10.988;
1;25;12.000;0.000;-3.600;;-0.779;-20.845;49.73;10.033;103.905;103.41;6.203;-19.582;46.63;12.893;
1;26;12.500;0.000;-3.600;;17.659;0.412;8.99;8.624;20.808;-25.59;7.377;0.681;23.54;3.348;
1;27;13.000;0.000;-3.600;;16.955;0.886;1.18;8.035;5.400;109.89;0.269;-1.481;87.13;0.875;
1;28;13.500;0.000;-3.600;;13.189;0.580;-6.83;6.304;20.049;168.89;0.175;-6.540;89.49;3.357;
1;29;14.000;0.000;-3.600;;6.683;-0.102;-31.06;3.393;38.128;178.92;-0.201;-12.640;89.25;6.220;
1;30;14.500;0.000;-3.600;;1.892;-17.064;-85.49;9.478;75.795;175.63;-0.847;-25.179;80.37;12.166;
1;31;15.000;0.000;-3.600;;-8.213;-58.192;74.79;24.990;147.321;154.67;-9.172;-48.347;68.39;19.587;
1;32;0.000;0.500;-3.600;;-0.566;-30.226;-74.19;14.830;45.489;56.56;3.091;-4.070;-34.70;3.580;
1;33;0.500;0.500;-3.600;;2.056;-12.225;87.29;7.140;29.358;36.95;0.961;-8.700;-55.03;4.830;
1;34;1.000;0.500;-3.600;;3.707;-0.237;58.79;1.972;17.122;5.44;2.886;-10.345;-66.95;6.615;
1;35;1.500;0.500;-3.600;;10.844;1.812;7.16;4.516;11.158;-0.65;2.324;-9.285;-62.46;5.805;
1;36;2.000;0.500;-3.600;;15.431;2.954;5.93;6.238;9.169;45.61;0.282;-7.297;-61.59;3.790;
1;37;2.500;0.500;-3.600;;15.223;5.257;-4.38;4.983;4.458;-110.06;2.772;-8.025;-71.78;5.399;
1;38;3.000;0.500;-3.600;;6.901;-4.112;-56.85;5.506;41.467;82.00;-0.434;-10.223;-62.92;4.894;
1;39;3.500;0.500;-3.600;;5.629;0.335;58.46;2.647;25.173;37.52;-0.210;-12.228;-65.15;6.009;
1;40;4.000;0.500;-3.600;;14.285;3.345;18.04;5.470;15.177;23.06;-0.111;-12.835;-73.82;6.362;
1;41;4.500;0.500;-3.600;;19.034;4.489;5.49;7.272;7.806;42.59;-0.101;-11.143;-79.25;5.521;
1;42;5.000;0.500;-3.600;;20.481;4.881;-2.67;7.800;5.251;93.14;0.052;-10.240;-81.24;5.146;
1;43;5.500;0.500;-3.600;;18.653;5.136;-10.88;6.759;6.579;151.74;0.157;-10.381;-83.23;5.269;
