Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Stresses [N/mm^2 ];;;;;;;;;;
;Point No.;X;Y;Z;;σ_1,+;σ_2,+;α_+ [deg];σ_1,-;σ_2,-;α_- [deg];σ_1,m;σ_2,m;α_m [deg];τ_max;Surface Comment
1;1;0.000;0.000;-3.600;;-0.190;-1.635;-73.49;1.451;0.155;15.99;-0.017;-0.093;-68.98;0.437;
1;2;0.500;0.000;-3.600;;0.033;-0.570;88.85;0.469;-0.039;-2.78;-0.001;-0.052;-82.81;0.223;
1;3;1.000;0.000;-3.600;;0.073;-0.037;55.48;0.007;-0.099;-49.58;0.000;-0.028;-88.82;0.115;
1;4;1.500;0.000;-3.600;;0.251;-0.001;13.07;0.000;-0.280;-77.38;0.000;-0.014;-81.47;0.071;
1;5;2.000;0.000;-3.600;;0.395;0.019;-1.56;-0.019;-0.396;88.63;0.001;-0.001;-67.55;0.032;
1;6;2.500;0.000;-3.600;;0.486;0.016;-5.38;-0.010;-0.455;85.30;0.016;0.003;-16.58;0.036;
1;7;3.000;0.000;-3.600;;0.089;-0.656;-47.56;0.573;-0.067;42.27;0.012;-0.042;-47.01;0.313;
1;8;3.500;0.000;-3.600;;0.068;-0.200;74.55;0.126;-0.091;-24.69;-0.001;-0.048;-81.79;0.220;
1;9;4.000;0.000;-3.600;;0.332;0.006;13.81;-0.009;-0.387;-78.22;0.000;-0.029;89.87;0.106;
1;10;4.500;0.000;-3.600;;0.464;0.015;3.92;-0.014;-0.506;-86.43;0.001;-0.021;89.96;0.048;
1;11;5.000;0.000;-3.600;;0.517;0.021;-1.73;-0.021;-0.549;88.40;0.000;-0.016;-89.59;0.018;
1;12;5.500;0.000;-3.600;;0.466;0.011;-9.15;-0.009;-0.485;81.69;0.002;-0.010;-82.42;0.086;
1;13;6.000;0.000;-3.600;;-0.075;-0.374;-49.13;0.316;0.062;41.32;-0.005;-0.030;-67.41;0.312;
1;14;6.500;0.000;-3.600;;0.187;-0.012;24.40;0.006;-0.251;-70.43;0.000;-0.035;-84.74;0.173;
1;15;7.000;0.000;-3.600;;0.473;0.017;6.41;-0.018;-0.526;-84.29;0.000;-0.027;89.75;0.071;
1;16;7.500;0.000;-3.600;;0.533;0.016;0.82;-0.015;-0.583;-89.25;0.001;-0.025;89.99;0.016;
1;17;8.000;0.000;-3.600;;0.503;0.020;-4.36;-0.020;-0.555;86.09;0.000;-0.026;-89.75;0.051;
1;18;8.500;0.000;-3.600;;0.274;0.009;-16.27;-0.011;-0.336;76.00;0.000;-0.032;85.44;0.144;
1;19;9.000;0.000;-3.600;;-0.142;-0.300;69.84;0.244;0.128;-22.05;-0.006;-0.029;77.95;0.312;
1;20;9.500;0.000;-3.600;;0.380;0.011;12.27;-0.010;-0.404;-78.88;0.002;-0.013;85.87;0.117;
1;21;10.000;0.000;-3.600;;0.510;0.021;3.53;-0.020;-0.543;-86.72;0.000;-0.017;89.61;0.035;
1;22;10.500;0.000;-3.600;;0.491;0.016;-1.75;-0.015;-0.533;88.40;0.001;-0.021;-89.93;0.028;
1;23;11.000;0.000;-3.600;;0.386;0.013;-9.00;-0.015;-0.440;82.17;0.000;-0.027;-89.78;0.085;
1;24;11.500;0.000;-3.600;;0.077;-0.080;-59.69;0.036;-0.125;46.29;-0.001;-0.045;81.84;0.193;
1;25;12.000;0.000;-3.600;;-0.007;-0.539;49.45;0.462;0.030;-39.94;0.012;-0.039;46.63;0.312;
1;26;12.500;0.000;-3.600;;0.438;0.012;9.42;-0.008;-0.410;-81.48;0.015;0.001;23.54;0.062;
1;27;13.000;0.000;-3.600;;0.404;0.022;1.22;-0.021;-0.410;-88.85;0.001;-0.003;87.13;0.016;
1;28;13.500;0.000;-3.600;;0.304;0.014;-7.12;-0.014;-0.329;83.43;0.000;-0.013;89.49;0.060;
1;29;14.000;0.000;-3.600;;0.142;-0.010;-35.16;-0.004;-0.180;62.47;0.000;-0.025;89.25;0.114;
1;30;14.500;0.000;-3.600;;0.041;-0.457;-86.81;0.362;-0.050;6.11;-0.002;-0.050;80.37;0.227;
1;31;15.000;0.000;-3.600;;-0.216;-1.492;74.40;1.301;0.178;-14.76;-0.018;-0.097;68.39;0.442;
1;32;0.000;0.500;-3.600;;-0.013;-0.728;-73.63;0.723;0.014;15.24;0.006;-0.008;-34.70;0.136;
1;33;0.500;0.500;-3.600;;0.044;-0.304;88.83;0.283;-0.055;-4.29;0.002;-0.017;-55.03;0.088;
1;34;1.000;0.500;-3.600;;0.079;-0.011;66.90;0.004;-0.102;-38.05;0.006;-0.021;-66.95;0.051;
1;35;1.500;0.500;-3.600;;0.245;0.045;4.99;-0.041;-0.276;-80.99;0.005;-0.019;-62.46;0.033;
1;36;2.000;0.500;-3.600;;0.358;0.069;4.87;-0.072;-0.383;-83.08;0.001;-0.015;-61.59;0.028;
1;37;2.500;0.500;-3.600;;0.353;0.128;-6.34;-0.124;-0.378;87.34;0.006;-0.016;-71.78;0.013;
1;38;3.000;0.500;-3.600;;0.160;-0.115;-58.18;0.083;-0.172;34.63;-0.001;-0.020;-62.92;0.124;
1;39;3.500;0.500;-3.600;;0.119;-0.001;63.79;-0.015;-0.153;-36.15;0.000;-0.024;-65.15;0.076;
1;40;4.000;0.500;-3.600;;0.317;0.080;18.24;-0.081;-0.368;-72.13;0.000;-0.026;-73.82;0.046;
1;41;4.500;0.500;-3.600;;0.435;0.107;5.13;-0.108;-0.479;-84.20;0.000;-0.022;-79.25;0.023;
1;42;5.000;0.500;-3.600;;0.472;0.116;-3.32;-0.118;-0.511;87.91;0.000;-0.020;-81.24;0.016;
1;43;5.500;0.500;-3.600;;0.429;0.122;-12.01;-0.125;-0.467;80.14;0.000;-0.021;-83.23;0.020;
1;44;6.000;0.500;-3.600;;0.162;0.045;-52.81;-0.075;-0.185;41.12;-0.005;-0.022;-79.74;0.118;
1;45;6.500;0.500;-3.600;;0.268;0.098;19.86;-0.103;-0.317;-72.12;-0.002;-0.025;-79.63;0.055;
1;46;7.000;0.500;-3.600;;0.443;0.105;8.46;-0.107;-0.496;-81.94;-0.001;-0.026;-84.62;0.031;
1;47;7.500;0.500;-3.600;;0.500;0.115;1.26;-0.117;-0.551;-88.80;-0.001;-0.026;-89.35;0.017;
1;48;8.000;0.500;-3.600;;0.468;0.112;-5.58;-0.115;-0.520;84.63;-0.001;-0.026;86.14;0.025;
1;49;8.500;0.500;-3.600;;0.334;0.108;-14.50;-0.112;-0.382;76.51;-0.002;-0.024;81.62;0.044;
1;50;9.000;0.500;-3.600;;0.137;0.081;56.76;-0.112;-0.160;-48.26;-0.005;-0.022;82.09;0.118;
1;51;9.500;0.500;-3.600;;0.389;0.111;14.77;-0.115;-0.427;-77.61;0.000;-0.021;85.48;0.031;
1;52;10.000;0.500;-3.600;;0.470;0.113;5.79;-0.115;-0.510;-85.45;0.000;-0.021;83.55;0.018;
1;53;10.500;0.500;-3.600;;0.458;0.112;-1.78;-0.113;-0.502;87.44;0.000;-0.022;81.15;0.020;
1;54;11.000;0.500;-3.600;;0.363;0.096;-11.00;-0.097;-0.412;78.46;-0.001;-0.025;75.45;0.039;
1;55;11.500;0.500;-3.600;;0.157;0.066;-39.30;-0.070;-0.201;55.80;-0.001;-0.023;66.31;0.066;
1;56;12.000;0.500;-3.600;;0.157;-0.061;59.01;0.031;-0.165;-33.67;-0.001;-0.019;62.27;0.121;
1;57;12.500;0.500;-3.600;;0.370;0.109;17.39;-0.114;-0.383;-76.73;0.005;-0.014;66.29;0.009;
1;58;13.000;0.500;-3.600;;0.359;0.109;5.13;-0.110;-0.375;-88.22;0.004;-0.013;61.96;0.017;
1;59;13.500;0.500;-3.600;;0.283;0.096;-10.11;-0.093;-0.311;77.42;0.003;-0.015;63.94;0.030;
1;60;14.000;0.500;-3.600;;0.155;0.035;-49.27;-0.034;-0.191;46.31;0.003;-0.020;61.43;0.055;
1;61;14.500;0.500;-3.600;;0.065;-0.208;-84.95;0.193;-0.081;10.16;0.005;-0.020;52.49;0.088;
1;62;15.000;0.500;-3.600;;-0.005;-0.633;75.20;0.625;0.009;-13.05;0.009;-0.011;39.47;0.140;
1;63;0.000;1.000;-3.600;;0.165;-0.270;-77.62;0.277;-0.160;12.04;0.004;0.001;-18.62;0.064;
1;64;0.500;1.000;-3.600;;0.172;-0.152;-86.79;0.157;-0.184;1.52;0.005;-0.008;-22.35;0.063;
1;65;1.000;1.000;-3.600;;0.153;0.004;85.98;-0.003;-0.151;-8.20;0.006;-0.005;-50.60;0.050;
1;66;1.500;1.000;-3.600;;0.282;0.023;1.98;-0.023;-0.317;-85.78;0.002;-0.019;-71.10;0.062;
1;67;2.000;1.000;-3.600;;0.378;0.080;36.68;-0.084;-0.432;-55.50;0.000;-0.028;-67.52;0.054;
1;68;2.500;1.000;-3.600;;0.250;0.233;67.71;-0.231;-0.280;-61.57;0.005;-0.019;-72.10;0.008;
1;69;3.000;1.000;-3.600;;0.233;0.094;-78.79;-0.122;-0.240;10.70;-0.003;-0.014;-76.99;0.065;
1;70;3.500;1.000;-3.600;;0.217;0.134;74.11;-0.155;-0.240;-24.98;-0.005;-0.018;-64.14;0.053;
