Surface No.;Grid;Grid Point Coordinates [m];;;;Principal Total Strains [‰];;;;;;
;Point No.;X;Y;Z;;ε_1,+;ε_2,+;α_+ [deg];ε_1,-;ε_2,-;α_- [deg];Surface Comment
1;1;0.000;0.000;-3.600;;0.00;-0.05;-73.49;0.05;0.00;15.99;
1;2;0.500;0.000;-3.600;;0.00;-0.02;88.85;0.02;0.00;-2.78;
1;3;1.000;0.000;-3.600;;0.00;0.00;55.48;0.00;0.00;-49.58;
1;4;1.500;0.000;-3.600;;0.01;0.00;13.07;0.00;-0.01;-77.38;
1;5;2.000;0.000;-3.600;;0.01;0.00;-1.56;0.00;-0.01;88.63;
1;6;2.500;0.000;-3.600;;0.02;0.00;-5.38;0.00;-0.02;85.30;
1;7;3.000;0.000;-3.600;;0.01;-0.02;-47.56;0.02;-0.01;42.27;
1;8;3.500;0.000;-3.600;;0.00;-0.01;74.55;0.00;0.00;-24.69;
1;9;4.000;0.000;-3.600;;0.01;0.00;13.81;0.00;-0.01;-78.22;
1;10;4.500;0.000;-3.600;;0.02;0.00;3.92;0.00;-0.02;-86.43;
1;11;5.000;0.000;-3.600;;0.02;0.00;-1.73;0.00;-0.02;88.40;
1;12;5.500;0.000;-3.600;;0.02;0.00;-9.15;0.00;-0.02;81.69;
1;13;6.000;0.000;-3.600;;0.00;-0.01;-49.13;0.01;0.00;41.32;
1;14;6.500;0.000;-3.600;;0.01;0.00;24.40;0.00;-0.01;-70.43;
1;15;7.000;0.000;-3.600;;0.02;0.00;6.41;0.00;-0.02;-84.29;
1;16;7.500;0.000;-3.600;;0.02;0.00;0.82;0.00;-0.02;-89.25;
1;17;8.000;0.000;-3.600;;0.02;0.00;-4.36;0.00;-0.02;86.09;
1;18;8.500;0.000;-3.600;;0.01;0.00;-16.27;0.00;-0.01;76.00;
1;19;9.000;0.000;-3.600;;0.00;-0.01;69.84;0.01;0.00;-22.05;
1;20;9.500;0.000;-3.600;;0.01;0.00;12.27;0.00;-0.01;-78.88;
1;21;10.000;0.000;-3.600;;0.02;0.00;3.53;0.00;-0.02;-86.72;
1;22;10.500;0.000;-3.600;;0.02;0.00;-1.75;0.00;-0.02;88.40;
1;23;11.000;0.000;-3.600;;0.01;0.00;-9.00;0.00;-0.01;82.17;
1;24;11.500;0.000;-3.600;;0.00;0.00;-59.69;0.00;0.00;46.29;
1;25;12.000;0.000;-3.600;;0.00;-0.02;49.45;0.02;0.00;-39.94;
1;26;12.500;0.000;-3.600;;0.01;0.00;9.42;0.00;-0.01;-81.48;
1;27;13.000;0.000;-3.600;;0.01;0.00;1.22;0.00;-0.01;-88.85;
